,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X600926.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600918.CH.Equity,X2886.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X601788.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.301235642055629,0.163831912883159,0.0533128791869206,0.318705894099568,0,0,0,0,0,-0.00723347334360832,0,0,0,0,0,0,0,0,0,0.0871545040609588,0,0,0,0.0429451499820244,0.071159814815816,0,0,0,0.0469721563240324,0,0,0,0,-0.0302343675480223,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0437761419193171,0,0
X601318.CH.EQUITY,0,0,0,0.06995300061912,0,0.027216299034137,0,0,0.171058097926689,0,0,0,0.0480713469221473,0,0.0762877679185431,0.077201021903417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184357761304129,0,0,0,0,0,0,0,0,0,0.123622371189399,0,-3.46944695195361e-18,0.0437750819074498,0,0.13282416057362,0,0.0212426411429227,0
X600036.CH.EQUITY,0,0,0,0,0,0.110121995961546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00380120196261573,0.215017214870929,0.0230188322363977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195634141414286,0.284390058510219,0,0,0,0,0.15789750690831,0,0,0.0604522445525059,0,-0.0140513304400764
X601939.CH.EQUITY,0.523118384266241,0,0,0,0,0,0,0,0.184568200070775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944719648878823,0,0,0,0,0,0.127404647119987,0,-0.0672285959046077,0,0,0,0,0,0.166944182252773,0.109152928042994,0,0,0,0,0,0.116285719526897,0,0,0,0
X601288.CH.EQUITY,0,0.0637753135473237,0,0.251705278234181,0,0,0.435748414966763,0,0,0,0,0,0,0,0,0,0.0768493799441195,0,0.0110051021170374,0,0,0,0.0901468151273913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140371386973813,0,0,0,0,0,-0.00038358433925506
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0609978702250078,0,0,0,0,0,0,0,0,-0.179872699430343,0,0,0,0,0,0.372833725321863,0,0.169432043655507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000514659961601344,0,0.251543535544275,0,0,0,0,0
X601988.CH.EQUITY,0.00273450016302074,0,0,0,0.346073988334593,0,0,0.0877487632653077,-0.0626421859803999,-0.148069667864852,0,0,-0.0121393881509866,0,0,0,0,0.117373739848828,0,0,0,0,0.247137723791861,0,0,0,0.0712023038606997,0,0,0,0,0,0.195909524906881,0,0,0.158004805795699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.173737043584049,0,0,0,0,0,0.174149208974399,0,0,0,0,0.0440816276978443,0,0,0,0,0,0.111870095914447,0,0,0.177019401313638,0,0,0,0.203516627092921,0,0,0,0,0.189883100075936,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.186134967278109,0,0.142000761700592,0,0,-0.0490867553247397,0,0,0,0,0.0421264637500647,0,0,0,0,0,0,0,0,0.100055660989926,0.288274957997362,0,-0.032899106436063,0,0.19407837683191,0,0,0,0,0,0,-0.0776605316062351,0,0,0,0.214777310125488,-0.112406626810498,-0.0304233742720068,0,0,0,0,0.187512411860681,0,0,-0.194964612985557,0,0,0
X601166.CH.EQUITY,0,0,0.0930072629529247,0,0,-0.119541020689569,0,0,0,0,-0.0902081340210202,0,0.517738168167287,0,0,0,0,0,0,0,0,0,0,0,0.328938643275933,0,0,-0.0135016827216769,0,0,0,0.0306284754614154,0,0,0,0,0.135594608490304,0,0,0.0585725753943558,0,0.205490229772082,0,0,0,0,-0.273656381915379,0,0.175130878641858,0
