,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.255062269340649,0,0.307518918754009,0,0,0,0,0.192791924030563,0,0.111445557479143,0,0,0,0,0,0,0,0.0556356191764356,-0.109024417252265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879619328293663,0,0,0,0,0,0,0,0,-0.0296390368654387,0.0207882394376992,0,0,0
X601939.CH.EQUITY,0.401579343431057,0,0,0.0980017848006726,0,0,-0.128032722276684,0,0,0.0171914558635398,0,0,0.29951753684507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148125859202479,0,0.0125074574052292,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.238506528089754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.109357375007023,0,0,0,0,0,0,0,0,0.0672571899802157,0.268364960923084,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.49920757724067,0,0,0,0.185319249877055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327337852954001,0,0.00726379891635013,0,0,0,0,0.0950991969550961,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.00452055296205299,0,0,0,0,0.137453672454835,0,0
X601988.CH.EQUITY,0,0.0685316026822443,0,0.358982099042982,0,0,0,0,0,0.266819999109845,0,0,0,0,0.159995545721158,0.00232613584717206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903095232137552,0,0.0769190746787291,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.115589943258261,0,0,0,0,0.0872241360394292,0,0.00186610330990332,0,0,0,0,0,0,0,0.00950134064421118,0,0,0,0,0.0303306613272199,0,0,0,0,0.245154505100083,0,0,0,0,0,0,0,0,0,0,0,0,0.165785643255643,0,0,0,0.282406154911201,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256834925704912,0,0.152134820288529,0,0,0,0,0.0135446182000476,0,0,0.138985430783494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262576031308597,0,0,0,0,0,0,0,0,0.0091896594967144,0,0,0
X5.HK.EQUITY,0,-0.280352558805379,0,0,0,0,0,0,0,0,0,0,0,0.246057195667472,0,0,0,0,0,0.999526566057882,-0.78683771359906,6.93889390390723e-18,0,0.522026662191805,0,0,0,0,0,0,0.295343876686048,0,0,-0.0121081486546746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0948416268976636,0,0,0,0.198536408787272,0,0,0,0,0,0,0.129948206398215,0,0,0,0,0,0,0,0.0199751197934086,0,0.16415693127057,0,0.0976183532043278,0,0,0,0,0,0.0114463432274237,0,0,0.0673190102865324,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.170663924177055,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358252664116059,0,0.245097321231311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265493448924288,0,0.259263120959519
X601328.CH.EQUITY,0.0450466440982291,0,0,0.421344672104985,0.00135593680881749,0,0,0,0,-0.0636404015715561,0,0,0.106254906790916,0,0,0,0,0.250387426101511,0,0,0.0153260244000187,-0.0220359360932709,0,0,0.0230268923331077,0,0,0,0.158997884695717,0,0,0,0.0877710819633977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323865357812773,0,0
X601166.CH.EQUITY,0.0181176865995825,0.0792731218704118,0,0,0,0.267347456610071,0,0,0,0,0.0873879834525736,0,0,0,0,0.106336948877503,0,0.0659341302178615,0,0,0,0,0,0,0.166676542619256,0,0,0.0344822577327701,0,0,0,0,0,0,0.0433204785590479,0,0.0962584972105688,0,0.0150904380723083,0,0,0,0,0,0.00792822655416814,0,0,0,0.0252105777924516,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.16112724259917,0,0,0,0,0,0,0.33805368434815,0,0,0,0,0.134364869648125,0,0,0,0,0.00323878712483251,0,0,0,0,0.0843260977705019,0.006498583335716,8.67361737988404e-19,0.0961048744571078,0,0,0,0,0,0,0.114009035645404,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.210829336725182,0,0,0,0.426841600991675,0,0,0,0,0,0,0,0,0.0362290807130496,0,0,0,0,0,0.0200855565671398,0,0,0,0,0,0,0,0,0,0,0,0.0511442373154586,0,0,0,0,0,0,0,0,0,0,0,0,0.0295571597840487,0,0,0
