,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.0267695247467997,0.423859868188032,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0974488764516842,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0967199745688314,0,0,0.0462008085295405,0,0,0.0161100407640359,0,0,0,0.110243608999773,0.0203132754135577,0,0,0,0.00532575185946395,0,0,0
X601318.CH.EQUITY,0,0,0.0768619043208548,0.145841582395193,0,0,0,0,0.0861246598531312,0,0,0,0,0,0,0,0.0741624380495881,0,0.179937793683013,0.0518702046838879,0,0,0,0,0,0,0,0,0,0,0,0.134992814998391,0,0,0,0,0,0,0.0174604631700144,0,0,0,0,0,0,0.105935077166642,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0590890780256087,0,-0.020464702749249,0,0,0,0,0.1218310535277,0,0,0.031708009970012,0,0,0,0,-0.0160467861900885,0.632994713325294,0,0,0.112710487554901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759930449580286,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.113598841527371,0.00255721353689559,0,0,0,0.169806681194133,0.323514485197687,0,0,0,-0.0447904574267299,0,0.269275546399709,0,0,0,0,0,0,0,0.146222832845239,0,0.228387112323734,0,0.0199865257961107,0,0,0,0,0,0,0,0,0,0,0,0,-0.0883732454836927,0,0.0234001022632731,0,0,0.082799480430568,0,0.100977442629653,0,0,0,0,0
X601288.CH.EQUITY,0.167593366799441,0,0.104055013227385,0,0,0.0582776274714239,0,0.0559118070144062,0,0,0,8.67361737988404e-19,0,0,0,0.156558359616715,0,0,0,0,0,0,0,0,0,0.1513538484353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618062533668732,0,0,0,0,0.112345532581984,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206945603436435,0,0,-0.156556880013328,0,0,0,0,0.595428589113875,0.174125184576271,-0.0483649673670729,0,-0.0376647292592249,0,0,0.122545039084665,0,0,0,0,0,0,0,0,0,0,0,0,-0.0554586731577575,0,0
X1299.HK.EQUITY,0,0,-0.110887582193647,0.0744586849195517,0,0,0,0,0,0,0.060672826542378,0,0,0,0,0,0,0,0,0,0,0.0321032217827896,0,0,0.320824133251402,0,0,0,0,0,0,0.0305605338316631,0,0,0.0221113127252838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.210573527141632,0.398578088479676,0,0,0,0,0,0,0,0.0505106446976852,0,0,0.141905429882399,0,0,0,0,0,0,0,0,0.0704635185090891,0,-0.127614040638117,0,-0.0536341928098213,0,0,0.00219241700235354,0,0,0,0,0,0,0,0,0.00197446293367083,0,0,0,0.0364092046195794,0.293427764222058,0,0,0,0
X5.HK.EQUITY,0,0.0695156900419624,0,0,0,0.0238183904139727,0,0,0,-0.0186831201882962,0.108572446777811,0,0,0,0,0,0,0,0.245452961436038,0,0,0.31179634473557,0,0,0.245861810683026,0,0,0,0,0,-0.0886512682469033,0.0442574047709629,-0.0857585888399128,0,0.331747970110386,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0903665969052326,0.0590374006453879,0,0,0,0,0,0,0,0,0.0493795840455006,0,0,0,0,0,0,0,0,0,0.119797345252281,0,0,0.388598055380358,0,0.0032307599177096,0.0253236722390483,0,0,0,0,0,0,0,0,0,0,0,0.0105606302328015,0,0,0,0.0347327906958106,0,0,0,0,0
