,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X000069.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0.69785122160348,0,0,0,0,0,0,0.0247390350879589,0,0.0852965939364841,0,0,0,0.0256653071969067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687021170905336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.179597275390989,0,0,0,0,0.0271501572311645,0.0257113317459036,0,0,0,0,0,0.199515644504805,0,0,0,0,0,0,0.157066635158921,-3.46944695195361e-18,0,0,0,0.0379709261100137,0,0.061605746493742,0.0720918851644789,0,0,0.132816394574438,0,0,0.0495203077683168,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.186919910744538,0.051564348709479,0,0.362527360959924,0,0.05367149502402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156297302521199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115254745357398,0,0
X601288.CH.EQUITY,0.0759957992848505,0,0.169952006626618,0,0,0.0910235231257363,0,0,0,0.230095707167151,0,0,0,0,0,0.0404812462199577,0,0,0.0545683877391166,0,0,0.208353963753154,0,0,0,0,0,0,0,0,0,0,0,0.0599155481976878,0,0,0,0,0,0,0,0,-0.00917755508468963,0,0,0,0.0447112823346199,0
X5.HK.EQUITY,0,0,0,0,0,0.251366330184478,0,0,0,0,0.350964777209018,0,0,0,0.163278509978586,0,0.239875568123695,-0.148839354297383,0,0,0,0,0,0,0,0.0826463907485554,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0237948660814588,0,0.213502948769223,0.0863039497594742,-0.838823984014009,0,0.231254433010296,0
X601988.CH.EQUITY,0.321817547101538,0,0,0,0,0,0,0,0.164607004189572,0,0,0,0.102312859619694,0,0,0.0312680363444215,0,0,0,0.339648761455673,0,0,0,0,0,0,0,0,0,0.026967332795127,0,0,0,0,0,0,0.0520220460113691,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,-0.0707403201570979,0,0,0,0,0,0,-0.0243207706904637,0,0,-0.0239614056170274,0,0,0,0,0,0,0.774812311276943,0.0711684932432051,0,0,0,0,0,0,0,0.0242359592897555,0.144711087481181,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.00207258817058324,0.0543942513353674
X1299.HK.EQUITY,0,0.406381779694625,0,0,0,0,0,0,0,-0.0294885232877161,0,0.0188886997247811,0,0,0.369143490888843,0,0,-0.0507446460729609,0,0,0,0,0,0,0.0376826864124534,-0.0821799062770089,0,0,0,0,0,0,0,-0.0830362002002013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.140384375187094,0,0.0345709332650796,0,0,0,0,0,0,0,0,0,0.0539710408112975,0,0.0358315333807796,-0.045938742526252,0,0,0,0,0.100162243253791,0,0,0,0.31970551727625,0,0,0.110271362944282,0,0,0.0937339047922733,0,0.0753775177289918,0,0,0.0108555390249849,0,-0.00532259925180817,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0784676668814357,0,0,0,0.172234756793708,0,0,0,0.00843119188788739,0,0.147951685236364,0,0,0,0,0,0.269944799413104,0,0,0,0.0219780768897111,0,0,1.73472347597681e-18,0,0,0.0790946381251851,0.221230852206531,0.0282898493941085,0,0,0,0,0.00518278743874531,0,0,0,0,0,0,0,0,0,0,0,0
