,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X267.HK.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X601577.CH.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2801.TT.EQUITY,X2885.TT.EQUITY
X601398.CH.EQUITY,0,0.0698272502620226,0,0,-0.0344554031063413,0,0.838627260981527,0,0,0,0,0.0772809195703144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325338589830973,0,0,0,0,0.179353218926656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313567055197033,0
X601288.CH.EQUITY,0,0,0,0.5052853012395,0,0,0,0,0,0.192664059458902,0,0,0,0,0,0.00539983009493611,0,0,0.253866892321,0,0,0,0,0,8.67361737988404e-19,0,-0.0231530881515872,0,0,0,0,0,0,-0.072483207582386,0,0,0,0.0542077606108053,0,0,0,0,0.0577788207676076,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,-4.33680868994202e-19,0,0,0,0,0.0532508275669208,0,0,0.096361687224763,0,-0.0176373898546,0.00854277803472661,-0.047680238481758,0,0,0,0,0,0.0415785312391218,0,0.869592189421114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445892940705244,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.110820228835019,0,0.0380712467539999,0,0,0,0,0,0,0.810646616439287,-0.0497004107511983,-0.0252102928919563,0,0,0,0,0,0,0,0,0.0432476143010639,0,0,0,-0.0724669982780002,0,0,0,0,0,0,0,0,0,-0.0123137019570191,0,0,0,0.0879391614330101,0,0.0104591900490924
X5.HK.EQUITY,0,0,0,0,0,0.0663513777347239,0,0,0.524039846493029,0,0,0,0,0,0,-0.239315740681752,0,0,0,0.0694473241637583,0,-0.10130226389965,0.0303660628468015,0,0,0,0,0,0.269260686450827,0,1.73472347597681e-18,0,0,-0.0554742289991453,0,0,-0.0608882704995839,0,0,0,0.255540771499324,0,0,0,0,0.283569846110816,0,0,0.0554854440793706,0
X601658.CH.Equity,0.0850955126139094,0,0,0,0,0,0.162431206525413,0,0,0.566944675038329,0,0,0,-0.246406310788691,0,0,0.270606401025181,0,0,0,0,0,-0.182667983446195,0,0,0,0,0.111459689509969,0,0,0,0.108137863910673,0,0,0,0,0,0.210175585818422,0,0.0405569593481423,0,0.0759632563540298,0,0,0,0,0,-0.109588674488076,0,0
X601328.CH.EQUITY,0.965269010508633,0,0,0,-0.0405141316116052,0.0186167945687323,0,0,0,0,0,0,0,0,0,0,0,0,-0.0802853698972961,0,0,0,0,-0.0631498807407354,0,-0.0705682513379312,0.0321234254195723,0,0,0,0,0,0,0,0,0,0,0,0.0239063413260103,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0497409981411463,0,0,0,0,0,0,0,0,0,0.017294438255007,0,0,0,0.102346932168029,0.447381257033887,6.93889390390723e-18,0,0,0,0,0.104916062321986,0,1.73472347597681e-18,0,0,0.0171363191583633,0,0.12668757657192,0,0,0,0,0.115818383126423,0,0,0.0838503071016785,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.0029516838377462,0
X267.HK.EQUITY,0,-0.110431964688539,0,0,0.511136499577609,0,0,0,0,0,0,0,0,0.471678189806543,0.124321656191421,0,0,0,0,-0.254410476753548,0,0,0,0,0,0,0,0.0412622900032243,0,0,0,0,-0.210606351252225,0,0,0,0.0447702573612516,0,0,0,0.0709041281832949,0,0,-0.00772230323695464,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.21766819890662,0,0.416660990878526,0,0,0.143648893851256,0,0,-0.0443651305923457,0,0,0,-0.0348124786411265,0.309174728378668,0,0,0,0,0,0,0.182464518146521,0,-0.0829818124203454,0.039760362106583,0.00729800926950483,0,0,0,0,0,0,-0.0313327479351194,-0.0601873901194409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
