,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.0672678367795815,0,0.0969204444466421,0.0501967750421434,0,0,0,0,0,-0.0913495171410406,0.571520951693261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139842247313933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199727898972464,0.108870126227695,0.10933670489668
X601318.CH.EQUITY,0,0,0,0,0,0,0.052651020950795,0,0.0407767597759448,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,-2.16840434497101e-19,0,0,0,0.00701724648020356,0.322846615003157,0,0,0.469061345315955,-0.287830333571022,0,0.0577362693726144,0,0,0,0,0,0,-0.103794226608741,0.230629622989751,0,0,0,0,0,0,0,-0.0495901357815538,0
X601939.CH.EQUITY,0.459933801209846,0,0,-6.93889390390723e-18,0.0483842256963174,0,0,-0.0234585231900835,0,0,0,0.0366342244602815,0,0.0805309313941134,0,0,0,0,0,0.117148562251574,0,0.170767227341943,0,0,0,0,0,0,0.0556393671112601,0,0.363963667847582,0,0,0,0,0,0,0,0,0,-0.0739211261560593,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.25805955159207,0,0.125043951242152,0,0,0.323175514078825,0,0,0,0,0,0,0,0,0,0.0820157255569706,0,0,0,0,0,-0.0302959886607015,0,0,0,0,-0.0957652737334116,0,0,0,0.216302136747696,0.027384064600373,0,0,0,0,0.0909434309665008,0,0,0,0.00884041395477017,0,0,0,0,0,0,-0.0690517105037582,-0.00433472576468965,0
X5.HK.EQUITY,0,0,0.151766749009995,0,0,0.248514801016018,0,-0.146300921389149,0,0,0,0,0.208471046908713,0,-0.0116295933742156,0,0,0,0.530425015381019,0,0,0,0.0866524422592388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.220844356289902,0,0,0,0,0,0.0260440477262051,0,0.0905027924711547,3.46944695195361e-18,0,-0.0773169753156201,0
X601988.CH.EQUITY,0.250410589846553,0.172608011670354,0.301232124946271,0.0328078906452335,0,0,0,0.0727453012086036,0.0636283740391435,0,0,0.100945725652864,0,0,0,0,0,0,0,0,0,0.0610208084530504,0,0,0,0,0,0,0,0.0916864583465943,0,0,0,0,0,0,0,0,0,0,0,0.0868280863059959,0,0,0,0.0512183642044345,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.264592344612844,0,0,0,0,0.279635815065319,0.214060126768758,0.0461559018384016,0,0,0,0,0,0,0,0,0,0,0,0.145646383073395,0,0.0530889216738349,0,0,0.00462773320886181,0,0,0,0,0,0,0,0,0,0,-7.58532713530111e-05,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173464623328411,0.432848760222456,0,0,0,0,0,0.208236150071167,0,0,-0.0880758189269153,0.0841219488566799,0,0,0,0,0,0.159208149118365,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153334283890844,0.106395892452804,0,0,0,0
X601628.CH.EQUITY,0,0.334132082718458,0,0,0,0,0,0.0854487169637799,0,0,0,0,0,0,0,0.0857965993347266,0,0,-0.187204798097238,0,0,0,0,0,0,0,0,0,0,0,0,0.191017710527923,0,0,0,0,0,0,0,0,-0.0311977778334261,0.0250227902357116,0,0,0,0.0788031482537998,0,0.00153488446595885,0,0
X601658.CH.Equity,0,0,0,0,-0.0194673446481814,0,0,0,0,0,0,-0.435882675584395,0,0,0,0,0,0,0,0,0.553062627930607,0,0,0,-0.0760712104064145,0,0,0,0,0,0,0.0167396815075233,0,0,0,0,-0.166066941941672,0,-0.24902942944111,0,0,0,0.591290223977813,0,0.365981701130976,0,0,0.115879342159479,0.00688330626506449,-0.0425693798078284
X601166.CH.EQUITY,0,0,0.0182562898734743,0,0,0,0.446992473117704,0.0696012237884695,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022366656091994,0,0,0,0,0,0,0,0.0401186762757771,0,0,0,0,0,0.506805222420292,-0.0265774754999367,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0523071769291069,0.0720017499373968,0,0,0,0,0,0.576388973466329,0,0,0,0,0,0,0.130886845561273,0,0,0,0,0,0,0,0,0.0723910912530308,0,0.0446037629816433,0,0.00373891683420418,0,0,0,0,0,0,0,-0.0590271620053244,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0261269602045011,0,0.135848838272427,0,0,0,0,0.462549450677967,0,0.0773579855290413,0,0,0,0,0,0,0,0,0,0.0249635152809964,0,0,0,0,0,0,0,0,0,0,0,0.086107166110704,0,0,0,0,0.127085022888332,0,0,0,0,0.0341870314629581,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.248532278500749,0,0,0,0,0,0,0,0,0.124065150634704,0.00493407453527649,0,0,0,0,0,0,0,0.179747293227335,0,0.245552472703157,0,0,0,0.0273928471719635,-0.0576819307588751,0.281055011748227,0,0,0,0,0,0,0,0,0,0,0,0.0787340868133441,-0.228671765404686,0.222753269645433,0,0,0
X601601.CH.EQUITY,0,0,0,0.0154773786871211,0,0,0,0.209373118563379,0.185515042693048,0,0.0554244676622241,0,0,0,0,0,0,0,0.11397173673729,0,0.0707839377975277,0.232038665535975,0,0,0,0,0,0,0,0,0.108564542321862,0.0175039013328981,0,0,0,0,0,0,0,0,0,0,0,0,0.0975663006929652,0,0,0,0,0.0118762396681586
