,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0,0.448749929631018,0,0,0,0.0157910798865258,0,0,0.217579319561993,0.0630249492128959,0,0,0.201101429662547,0.0682984914249012,0,0,0,0,0,0,0,0,0,0,0,0,0.0640378645084624,0,0,0,-0.0289588624509504,0,0,0,0,0,0,0,0,0,0,0,0.0627997068362251,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0780099754169305,0.173186001399904,0,0,0,0,0,0.298848364466752,0.0510870664604944,0,0,0,0,0,0.133362867088791,0,0,0,0,0,0.123233529184945,0,0,0,0.106436342364182,0,0,0.0483437828884918,0,0.0379528545935975,0,0,0.0196251184493958,0,0,0,0,0,0,0,-0.0742882732424003
X601939.CH.EQUITY,0.219317027502047,0,0,0.460006245453436,0,0.0836794135268141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109554035596002,0.128519128754139,0,0,0,0,0,0,0,0,0,0,0,0.0262381287793456,0,0,0,0,0,0,0,0,0.065771842374268,0,0,0.0288929337802521,0
X601288.CH.EQUITY,0,0,0.153328002841773,0,0,0,0,0,0.0165572506261348,0,0,0,0,0,0,0,0,0,0,0,0,0.202792451997485,0.245418781949233,0,0,0,0,0,0,0.0286983134548951,0.187245816418997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058792429856963,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.179927734739157,0,0.183133533820051,0,0,0,0,0,0,0,0.198812345611256,0,0.0747812867400705,0,0,0,0,0,0.173471605997158,0,0,0,0.0137197318296425,0,0,0,0,0,0,0.115791695281741,-0.0936012556601894,0,0,0.390139817749484,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,2.77555756156289e-17,0,0.253785365155507,0,0,0.299648876000218,1.38777878078145e-17,0,0,0,0,0.145493527199702,0,0,-0.21110706877591,0,0,0,0,0.233593693020258,0,0,0,0,0,0,0,0,0.162245757262413,0.0475421222200364,-0.0499239134403905,0,0,0,0,-0.019531373237464,0,0,0,0,0,0,0.109197471826336,0,0.254721745085682,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00918591610435448,0,-0.0113691684944002,0,-0.0497919880120251,0,0,0,0,0,0.683916772984703,0.117246464638198,0,0,0,0,0,0,0,0.176129197577823,0,0.017690597097262,-0.0560143625435102,0,0,0,0,0,0,0,0,0,0,0,0,0.0642532872630226,0
X1299.HK.EQUITY,0,0.175270685773437,0,0,0.215199053627684,0,0,0,0,0.0676384924077509,0,0,0,0.27530928620139,-0.0844469631527513,0,0,0.215739621333249,0,0.109777091862544,0,0,0,0,0,0,-0.0448790716990908,0,0,0,0,0.330978841994772,-0.0994087441479569,0,0,0,0,0.10899931966746,0,0,0,0,0,-0.44340283721928,-0.274920803349979,0,0,0
X601628.CH.EQUITY,0,0.148010867977067,0,0.00903885792130442,0,0,0,0,0,0,0,0,0,0,0.101964855179136,0,0,0,0,0,0,0.155688654686613,0,0,0,0,0.368532076033899,0,0,0.175746309152326,0.0120234613449996,0,0.0383692966588184,0,0,0,0,0,0,0.00237816314268481,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.213924641002742,0.00498134691632022,0.0119105857862473,0,0,0,0.0408720770753914,0,0,0,0,0,0.326718336290389,0,0,0,0,0,0,0.360541259670397,0,0,0,0,0,0,0,0,0,0,0.0845063414698074,0,0,0,0.081492221334752,0,0,0,0,0,0,0,0,-0.0158499762296986,0,0,0,0
X601166.CH.EQUITY,0,0,0.120921052445531,0.110884235565663,0,0,0.038396734041946,0,0,0.234983069984435,0,-0.0379309792373216,0.254934427518908,0.012279726938662,0,0,0,-0.0195506759039641,0,0,0,0.084482874484709,0,0,0,0,0,0,0,0,0,0.0030033237928082,0,0,0,0,0,0,0,0,0,0,0,0.102984378819444,-0.0890055067421902,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.223604893198333,0,0,0,0,0,0,0,0,0,0,0,0,0.251928846307638,0,0,0.431425514850191,0,0,0,0,0,0,-0.268674315949176,0,0,0,0,0,0,0,0,0,0,0,0.1304863218204,0.312274061692393,0,0,0.00550424349800331,0
X600000.CH.EQUITY,0,0,0,0,0.0729529015477202,0,0.0744849616026701,0,0,0,0.365284423779541,0,0,0.0167432096465765,0,0.0250650631579321,0,0,0,0,0,0,0,0,0,0,0,0.372947174907587,0,0,0,0,0,0,0,0,0,0.132748436738877,0,0,0,0,0,0,0,0,0.0237719682288391,0
X11.HK.EQUITY,0,0,0,0,0.160906501457825,0.0175174246808907,0,0,0,-0.0854387597120798,0,6.93889390390723e-18,0,0,0.324953742430951,0.0824611939762099,0.613877688337092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319180471916524,0,0,0,-0.0894431590259948,0,0,0,0,-0.0907882202844731,0,0,0,0,0.0516731448882436
