,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.146837559966246,0.212947333978972,0,0.197761455638156,0,-0.0717016641843999,-0.0139519944924218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114154387169852,0,0,0,0,0,0,0,0,0,0,0,-0.0251712178720582,0,6.93889390390723e-18,0,0,-0.260025804075388,0,0.169992691655621,0,0.0361402907125557,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.209880521590003,0.0186758528835826,0,0.276981228025644,-0.00357297945067478,0,0,0,0,0,0,0,0.0661779433054376,-1.73472347597681e-18,0,0,0,-0.279044775253617,0.267402456930554,0,0.207038500101838,0,0,0,0,0.0559108543690395,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.304061755396154,0,0,0,0,0,0,0,0,0,0,0,0.0124726167900665,0,0,0,0,0.176963047685725,0.305290665642103,0,0.0170395132845061,0,0,0,0,0,0,0,0.279512637710007,0,0,0,0,0,-0.0659037576572392,0,0,0,0,0,0,0,0,0.0368894137818718,0,0,0,0
X601288.CH.EQUITY,0.451050080382149,0,0.0542124445075212,0,0.0285479971472985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716967309794615,0,0,0,0.0731280395208464,0,0,0.226699225177167,0,0,0,0,0,0.0584732135862111,0,0,0,0,0.142998815414597,0.0602127782641229,0,0,0,0
X5.HK.EQUITY,-0.0327315087438976,-0.0975759736860693,0,0.120313844310799,0,0,0,0,-0.401836648698277,0,0,0,0,-0.0364345957567755,0,0,0,0,0.386783572972823,-0.150835168200166,0.410569513191454,0,-0.0378932012447578,0,0,0.0156706742263822,0.0307370580322956,0,0,0,0.246000448063691,0,0,0,0,0,0,0,0,0,0,0,0.132521134787125,0,0.185904475280528,-0.0496176073927072,0,0
X601988.CH.EQUITY,0.0397455066208849,0,0.153002059038823,0.491951148112163,0,0,0,0.153055963717682,0,0.0901672688765929,0.183869872685103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335506635253628,0.161967761100402,0,0,0,0,0,0,-0.00411882427626942,-0.0979830705497896,0,-0.294188461255679,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.380623992324477,0,0,0,0,0,0,0,0,0,0,0,0,0.0612489701357923,0,0.0217129572753227,0,0,0,0.218436273126247,0,0,0.284465627554054,0,0,0,0,0,0.0220825442680029,0,0,0,0,0,0.0264939846337598,0.0618425599813291,0,0,0,0,0,0,0,-0.00122645508622233,0.111731703822816,0,0
X601628.CH.EQUITY,0,0,0,0.359738499145647,3.46944695195361e-18,0,0,0,0,0.0256720223398781,0,0,0,0.418788804566269,0,0,0.0471504211119078,0,0.0901273900971801,0,-6.93889390390723e-18,0,0,-0.138072646634446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428292381695535,0,0,0
X1299.HK.EQUITY,0,0.118235469297857,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.14538011382203,0,0,0.161588800172527,0.314516809747542,0.194308955535814,-0.0105338117630374,0,0.164658224997817,0,0,0.0126940755585996,0,0,0,0,0,0,0,0,0,0,0.168820748105056,-0.109653965954648,0,0,0,0,0,0,0,0,0.0426283044277286,0,0,0
X601166.CH.EQUITY,0.00105572455371661,0,0.0292531246393695,0,0,0.15646050748757,0,0.0412305807939882,0,0,0,0,0,0,0.258281009641896,0,0,0,0,0,0,0,0,0.534970366502837,0.231028235137775,0,0,0,-0.0486865186945537,0.215183139174377,0,-0.210599538327022,0,0,0,0,0,0,0,0,-0.114352341876546,0,0,0,0,0,0,0
