,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601696.CH.Equity,X2884.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.160938942159738,0,0.574007670497438,0,0,0.0353714846998519,0,-0.0690187326850308,0,0,0,0,0,0,0.0364660398711738,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162855203541634,0,0,0.0427394712251374,0,0.00561668176569669,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0196324695915637,0,0,0,0.0594368948606549,0.155251538943525,0,0,0,0.487492520636359,0,0,0,0,0,0,0,0,0,0,0.00643947612963378,0,0.0989436049023124,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.124554902530292,0,0,0,-3.46944695195361e-18,0
X601939.CH.EQUITY,0,0,0,0,0.27536945236929,0,0.0573423820500235,0,0,0,0,0,0,0,0.160675146187231,0,0.0689649264274222,0,0,0,0.0731932192734375,0,0,0.114760937095435,0,0,0,0,0.106054140045557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199591939703906,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.18683933078292,0,0,0,0.0968527846016766,0,0,0,0.308416883651681,0,0,0.0768866439607311,0,0,-0.0827210477477508,0,0,0.146262157736038,0.0625860713018015,0,0.221671010128555,0,0,0,0,0.13014470836308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.440739121287893,0,0,0,0,0,0,-0.0570985270614468,0,0,0,0,0,0,0.105474415758451,0.0325566865097897,0,0,0,0,0,0,0,0,0,0.0507051629493373,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208467250681426,0.18823092965112,0.175437512402516,0,0,0,0,0.0169896255325507,0,-0.0387782744410507,0
X600036.CH.EQUITY,0,0.18682586806669,0,0,0.150574849523103,0,0,0,0,0,0,0,0,0,0.177972392288159,0.00410809445998313,0.065100142683075,0,0,0,0,0,0.124799110385252,0,0.0581818436802815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17540414606601,-0.0342799871652179,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.0732419283324067,0,0.0122796086418604,0,0,0,0,0,0,0,0,0,0,-0.0475031888630273,0,0,0,0,0,0.0388498012341526,0,0,-0.032302185393586,0,-0.158353952718932,0,0,0,0,0,0,-0.0564319129577386,0,0.938434057713569,0,0.0268608478324384,0.0262899973186963,0,0,0,-0.108768200067938,0.174744553486802,0,0,0
X1299.HK.EQUITY,0,0,-0.175380732008476,0,-0.0200263576990796,0,0,0,0,0.373471767910056,0,0,0,0.0890928393685828,0,0,0,0,0,0,0,0,0,0.211183579706908,0,0,0,0,0,0,-3.46944695195361e-18,0.126790696511982,0,0,-0.0398710474908009,0.228112220294331,0,0.0523896309775337,0,0,0,0.0968017826660502,0,0,0,-0.0541611204517405,0,-6.93889390390723e-18,0,0
X5.HK.EQUITY,0,0.109886187037628,0,0,0,0,0,0,0,0,0,0,-0.173051259102559,0,0,0,0,-0.041300168476245,0,0,0,0,0,0.0143449909997359,0.305693997086164,0,0,0,0,0,0,0.257131136097862,0,0,0,0.224705192823915,0,-0.0297287393833791,0,0.167719459099893,-0.0715346482402425,0,0,0,0,0,0,0,0.0531791592896638,-0.000124531012997349
X388.HK.EQUITY,0,0.117231179024685,0,0.251489437916977,0,0,0,0.0579804844882432,0.18153437575824,0,0,0,0,0,0.0773504159249595,0,-0.348625194784709,0,0,0.0756059901591489,0,0,0,0,0.0457980466334395,0,0,0,0,0,0,0.290282251959501,0,0,0,0,0,0,0,-0.0653128755422545,0,0,0.12643440438393,0,0,0,0,0,0,0
