,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.363846589723054,0,0,0,0,0,0,0.327146736108177,0,0.00514557346047213,0,0,0,0,0,0,0,0,-0.0323935220999567,0,0,0,0,0.197495256835955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653730201797413,0,0,0,0,0,0.0110739796667616,0
X601939.CH.EQUITY,0.499346075945597,0,0,0.0642094987045608,0,0,-0.128692980807158,0,0,0.0491785813400886,0,0,0.297800298176274,0,0,0,0,0,0,0,-0.0188442914067436,0,0,0,0,0,-0.0323398339754287,0,0,0,0,0,0,0,0,0,0,0.0910786807681867,0.0344485003344055,0,-0.00900357056426479,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,-3.46944695195361e-18,0,0,0,0.0240778127341565,0,0,0,0,0,0.0914559010536493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156244083911649,0,0,0,0,0.0935162641771381,0,0,0,0.0886139134823435,0.261126668123358,0,0,-1.73472347597681e-18,0,0,0,0
X601288.CH.EQUITY,0.486679355414887,0,0,0,0.190129790374539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320937028127348,0,0,0,0,0,0,0.0255570881685993,0,0.00934083661266339,0,0.0154182473574788,0,0,0.0933904966940272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117133913652292,0,0
X601988.CH.EQUITY,0,0.06854254430537,0,0.356411254835502,0,0,0,0,0,0.262793607139917,0,0,0,0,0.159627805072444,0.00230818781155105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0884959526447105,0,0,0,0.0770912044975545,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.0918417741352709,0,0,0,0,0.147086056255934,0,0,0,0.107117264028969,0,0,0,0.035529441527154,0.0236417699238949,0,0,0,0,0,0.0466937081759182,0,0,0,0,0.138822941812195,0,0,0,0,0.00804790703335589,0,0,0,0,0,0,0,0.137065453713528,0,0,0,0.24923341023564,0
X1299.HK.EQUITY,0,0,1.38777878078145e-17,0,0,0.294199473440406,0,0,0,0,0,0,0,0.162319537300972,0,0.0216524314475478,0,0,0,0,0,0,0,0.114863739030844,0,0,0,0,0,0,0,0,0,0.210154325694629,0,0,0.211955264098669,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0
X5.HK.EQUITY,0,0,0,-0.320616716380502,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.23282219905412,0,0,0,0,0,0.748722797205026,0.0431036434258743,-0.492849953306503,0,0.733761724175667,0,0,0,0,0,0.400789725370499,0,0,0,-0.432274510060075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.054854390574127,0,0,0,0,0,0,0,0,0,0,0,0,0.210709492718947,0,0.0239084525387447,0.0178193011665664,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0923892781776072,0.250592359500027,0,0,0.0689792932041285,0,0,0,0,0,0.0715637392398897,0,0,0,0,0.0486608765515273,0,0,0.0862166968860428
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157039056665537,0.268312066878828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559799842884793,0,0,0,0,0.056490300641351,0,0,0,0,0.188354993675037,0,0.229413929253962
