,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY
X601328.CH.EQUITY,0,0.232403090654496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233138758375614,0.076344107964967,0.314793918424274,0,0,0,0,0,0,0,0,0,0,0.0990328862474598,0,0,0,0,0,0,0.0205337822503916,0,0,0,0,0,0,-0.0129996091175176,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.048115188822105,0,0,0,0,0,0,0.0411105110629285,0,0,0,0.501413010354601,0,0,-0.0661161559830054,0,-0.10104214402727,0,0,0,0,0,0,0,0,0,0,0.0251814515164953,0,0,0.176823725427814,0,0,0,0,0,-0.038851340604721,0.119678708795189,0,0,0.0442578183329291,0,-0.0160154959966253,0,0,0.0245175177503181,0,0
X601601.CH.EQUITY,0,0.256185700520848,0,0.14080726201343,0.305428920506142,0,0,-0.0133467696311044,0,-0.0849143420765168,0,0.158242431245607,0,0,0,0,0,0,0.285996571747467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190327521810842,0,0,0,-0.123200108356299,0,0.0305090314006437,0.0909365261317138
X600000.CH.EQUITY,0,0.111558624236585,0,0,0,0,0,0,0,0,0,0.039932423292821,0,0,0.420568744867194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313205140771061,0.054152727911283,0,0,0,0.0140700136852239,0,0,0.0220374117337253,0,0.0568841566860329,0,0,0,0
X601319.CH.EQUITY,0,0.0653361266130037,0,0,0.083816186443039,0,0,-0.0513612303807731,0.0690413372340142,0.0483720759115145,0,0,0.295362736919278,0,0.155901940848063,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.235110465595034,0,0,-0.0927100180105789,0,0,0,0,0,0,0,0,0,0,0,0,0.0094281800384383,0,0,0,-0.139478962374821,0.182175990142369
X600016.CH.EQUITY,0.00267451353587598,0,0,0,0,0,0.0350662370613512,0,0.074254109832278,0,0,0,0,0,0,0,0,0.15791763005833,0,0,0.733821064578851,0,0,0,0,0,0,0,0.0243561549181649,0,0,0.049404561278322,0,0,0,0,0,0,0,0,0,-0.0780329492538017,-0.0679520981851809,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.12427195248142,0,0,0,0,0,0,0,0.161128427141343,0,0,0,0.399515767478385,0.0611304640312043,0,0.00743638542697941,0,0.119948448276547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.084137655886843,0,0,0,0,0,0,0.0219496727622646,0,-0.00238339133845857,0,0.16239596735521,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.311041258342857,0,-0.191560884925782,0,0,0,0,0,0,0,0,0.122517427860959,0,0,0,0,0,0,0,0,0,0,0,0.226874639379776,0,0,0,0.0420713714393648,0,0,0,0,0,0,0,0.116121005932706,0,0,0,0,0,0,0.0933868807391723,0.0100480614163588,0
X300059.CH.EQUITY,0,0.0743546526899568,0,0,0.0336214525011258,0,0,0,0,0.00603649646975319,0,0,0,0,-0.0719957999869432,0,0,0,0,0,0,0,0,0,0,0,0.180048723206005,0,0,0,0,-0.0279219390085995,-0.015589823351358,0,0,0,0,0,0,0.489071386004507,0,0.138896681512031,0,-0.0350459892610553,0,0,0,0.0215698267638591,-0.0300300887271229,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.357691179664101,0,-0.173432922012756,0,0.175723140849791,0,0,0,0,0,-0.0381240668956663,0,0,0,0,0,0.357157695819598,0,0,0,-0.0580684466826943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129979886555045,0,0,0,0,0,0,0
X2388.HK.EQUITY,0.109478260870479,0,0,0,0,-0.0798690980541577,0,0.0197887425676766,0.15836844223597,0.0344389005654986,0,0,0,-0.0914446313188159,0,0,0.0299199478946441,0,0,0,0,0,0,0,0,0.318326130358663,-0.222724557474946,-0.0881894964386833,-0.237201763532148,0,0,0.262521848553413,0,0.226965328014715,0,0,0,0,0,0,0,0,0.0163842665511143,-0.024253035947046,0,0,0,0,0,0
X601818.CH.EQUITY,0.241809265574123,0.113193760806516,0,0,0,0,0,0,0,0,0,0.180896312177039,0.0796927637515265,0,0,0,0.00777447480708017,0,0,0,0,0,0,0,0.0230183479056939,0,0,0,0,0,0,0,0,0,0,0.125164918681362,0,0,0,0,0,0,0,0,0,0.0106211552937669,0,0.130665563793749,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105331418316464,0.181758339290635,0.0285143604120793,0.0470777325079593,0,0,0,0.278706281831285,6.93889390390723e-18,0.230867864436585,0,0,0,0.0933307336161315,0.0334167785380515,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0.0266046239545414,0,0.183776641211363,0,0,0,0.021237400925692,0,0,0,0,0.275318141874151,0,-3.46944695195361e-18,0.0251508786573423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135338306342818,0,0,0,0,0.220629086496354,0,0,0.0586117703871947,0.261906663329898,0,0
