,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0186589882584235,0,0,0,-0.0155947566080829,0.374624866811722,0,0.130053944705799,0,0,0,-0.0722187193223791,-0.436213620997998,0.265082479687767,0,-0.0442644094717377,0.202880218949076,0,0,0.815426353574939,0,0,-0.447740299206852,0,0.135619700561914,0,0,0,0,0,0,0,0,0,0,0,-0.0922210796387773,0,0,0.0437979516488117,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.109983367149466,0.208440621735116,0.0308986383904904,0,0,0,0.177930544217906,0,0,0,0.0927466002871793,0,0,0,0,0,0,0,0,0.216075135292739,0,0.215966787963832,0,0.0034414811482005,0,0,0,0,0,0,0,0,-0.00731394842899304,0,0,0.120414587322893,0,0,0,0,0
X601939.CH.EQUITY,0.305141146224805,-0.0492123271407879,0,0,0,0,0,0,0,0.0117370995977025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46541825959907,0,0.134800036885432,0,0.474893749259859,-1.38777878078145e-17,0.0915480940447765,0,0,0,0.178468098778149,0,0,0,0,0.141085549334895,0,0.198929984048372,0,0.0819664045564138,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.326909568341638,0,0.0425226711486569,0.696755036495264,0,0,0,-0.0294726520813483,0,0,0,0,0,0,0,0,-0.784111870140066,0,0,0,0,-0.123224802025201,0,0,0,0,0.747125409981693,0,0.00164723315594546,0,0,0,0,0,0,-0.0866690011546129,0,0,0,-0.339948931367114,-0.152953253995212
X5.HK.EQUITY,0,0,0,0,0,0,0,0.133405796529009,0.0173083859837902,0,0.100294815752534,0,0,0,0.145522090681405,0,0,0.378335844253224,0,0,-0.120071411638189,0,0,0,0,0,0,0,0,0,0,0.0389493986347951,0,0,0,0,0,0,0.051675469866425,0.0282982723184769,0,0,0,0,0,0,0.146788545062809,0.158401641703313
X601988.CH.EQUITY,0,0,0,0.020156318756464,0.364598674353737,0,0,0,0,0,0,0,0,-0.0818790709922256,0,0,0.385706646769289,0,0,0,-0.0948694971607111,0,0,0,0,0,0,0,0,-0.0415848605609207,0,-0.185065965641082,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0545571155453487,0,0.271230485278722,0.0549360618070289
X600036.CH.EQUITY,0,0,-0.0537911367982178,0,0,0,0,0,0,0.287071330074087,0,0.295896743540778,0.158501929801475,0.186261510471358,0.22202768007086,0,0,-0.0175230709154246,0,0,0,0,0.135638100429288,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00396147368524263,0,0,0,0,-0.0101327907363461,0.319952967340795,0,0,0,0,0.102091593540905
X1299.HK.EQUITY,0,0.132810656172968,0,0,0.377962382537647,0,0,0,0.0136544614706432,0,0,-0.0632971249169816,0,0,0.0713716981919243,0.0584565456097532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122203982918092,0,0,0.0604992992251549,0,0,0,0,0,0,0,0,0,0,0,0,-0.0726068436562769
X601628.CH.EQUITY,0,0.0737598439918343,0,0.041260724530132,0,0,0,0,0,0,0.108482226430265,0,0.0321616421664051,0.384015881699479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157857916005559,0,0,0,0,0,0,0.0421199039437063,0,0,0,0,0,0,0.0598254945702255,0,0,0,0,0,0
X601328.CH.EQUITY,0.110372554861475,0.38280303650764,0.108817537415101,0,0,0,0.344926438750306,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.0380345154945378,0,0,0,0,0,0,0,0,0,0.0221280121371424,0,0,0,0,0,0,0,0,-0.0930285690089006,0,6.93889390390723e-18,0,0,0.154417454146774,-0.342770522087365,0,0
