,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.357517102037457,0,0.270115905737793,0,0,0,0,0.0914076953745134,0,0.102378121122183,0,0,0,0,0,0.151251007852394,0,0,-0.0326736771717191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280122400714224,0,0.0061918272918685,0
X601939.CH.EQUITY,0.406252263256163,0,0,0.0914554635754542,0,0,-0.130628543987098,0,0,0.021000406223447,0,0,0.322926956616911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.125502790238477,0.0456917199399639,0,-0.0157775395593435,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.229201882422685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.120808764973341,0,0,0,0,0.0955206667881837,0,0,0,0,0,0,0,0,0,0.236530376926283,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.463934358792817,0,0,0,0.178511661462309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486295419053864,0,0,0,0,0,0,0.0424504141667659,0,0,0,0.0265486197964832,0,0,0.0761387218605867,0,0,0,0,0,0,0,0,0,0.0400779399171603,0,0,0,0,0.0903368541134469,0,0
X601988.CH.EQUITY,0,0.278107603580886,0,0.143513980824723,0,0,0,0,0,0.244275772442087,0,0,0,0,0.211444587050955,0.0999051205797242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0793626953254903,0,0,0,0.017297231381288,0,0,0,0,0.398742172125501,0,0,0,0.0722970841653319,0,0,0,0,0.0961150171853307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202207699287389,0,0,0,0,0.0621018107363594,0,0,0,0,0.0446320999420254,0
X1299.HK.EQUITY,0,0,0,0.137129378238181,0,0,0,0,0,0,0,0,0,0.281475769061773,0,0.201250655460055,0,0,0,0.174618839792842,0,0,0,0.0395063410932868,0,0,0,0,0,0,0,0,0,0,0,0.204880224676374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,1.38777878078145e-17,0,0,-0.0718947781973508,0,0,0,0.761731449474907,-6.93889390390723e-18,-0.735395394948658,0,0.782785206166574,0,0,0,0,0,0.263561527345673,0,0,0,0,0,0,0,0,0.218640252618373,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.254305196422466,0,0,0,0.21556809274929,0,0,0,0,0,0,0.193331403276263,0,0,0,0,0,0,0.0332824818400916,0,0,0.103674257727748,0,0.00162732882308832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.196834991433252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745141519008576,0.235143709658174,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.154782052735618,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0.126561271424045,0,0.244858738835588
X601328.CH.EQUITY,0.0743871984140348,0,0,0.406738479570122,0.00483868325972925,0,0,0,0,-0.0692294633278782,0,0,0.0958735875008137,0,0,0,0,0.286716351535374,0,0,-0.0194004073146993,0,0,0,0,0,0,0,0.159245553251633,0,0,0,0.0754671557989418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0302830783675476,0,0
X601166.CH.EQUITY,0.0176450901543135,0.0923488494457347,0,0,0,0.214426740035988,0,0,0,0,0.0811226566162411,0,0,0,0,0.0857758000909224,0.037719200475588,0.0693384732251994,0,0,0,0,0,0,0.184501372888568,0,0,0,0,0,0,0.0312928699699963,0,0,0.094800933779833,0,0,0.0445002871995101,0,0,0,0,0,0,0,0,0,0,0.0649090690588989,0
