,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X600918.CH.Equity,X601881.CH.EQUITY,X601916.CH.Equity,X2884.TT.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.1967841164771,0,0,0,0,0,0,0,0,0,0,0,0,0.221996354422082,0,0,0,0,0,0,0,0.0187111253994305,0.326508147806376,0,-0.0574482493221144,0,6.93889390390723e-18,0,0,0,0,0,0.0527447610092705,0,0.196085358306718,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.1832948453916,0,0,0.392437643200558,0,0.0489023943872694,0,0,0,0,-0.0314939971407062,0.0258785127630272,0.0477853704342801,0.261342951077091,0,-0.113073860608856,0.00854551075320318,0,0,0,0,0,0.0216962451362577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115346594128934,0,-0.144104917149537,-6.93889390390723e-18,0,0.0996308442619474,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0374040073240632,0.320304090488105,0,0.0973342474053399,0,0,0,0,0,0,0,0,0,0,0,0.160714143110369,0,0,0,0.0340325346618203,0,0,0,0,0,0,0,0,0,0.280963221222412,0,0,0,0,0,0,0,0.0261663897824546,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.399859451557942,0.0446543985920221,0,0.226617570498558,0,0.0534117329704972,0,0,0,0,0.216965832028412,0,0.0916518961481377,0,0,0.024911248137365,1.73472347597681e-18,0.0146106139464005,0,0,0,0,0,0,0,-0.0282811869485565,0,0,0,0,0,-0.0276394401763342,0,0,0,0,-0.0606462506039124,0,0,0,0,-0.0841905294904873,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.202682512386489,0,0.192220103027056,0,0,0,0,0,0.381934065254454,0,0,0,0,0,0.382966386985765,0,0,0,-0.179535092684246,0,0,0,0,0,0,0,0,0,0,0,0,0.0656760851026383,0,0,0,0,0,0,0.0745348498947518,0,0,0,0,0,0,0.115942071997673,0,0,0.147430072490407
X600036.CH.EQUITY,0,0.140161679153272,0,0,0,0,0.0477912803855112,0.23189256281074,0,0,0,0,0.166781443179162,0,0,0,0.0803156298512929,0,0,0.0553617113675681,0,0,0,0,0,0.220658720354093,0,0,0,0,0,0,0,0,0,0,0,0.0646169272162557,0,0,0,0,-0.0267265204465875,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.0243957469903154,0,0,0,0,0,0,0,0,0.233913053174214,0,0,0,0,0,0,0,0,0.243433134993212,0.0659332482407838,0,0.105074849930425,0,0,0,0,0,0,0,0.184889046123166,0,0,0,0.13919864725041,0,0,0,0,0,0,0,0,0,0,0.0858686945179849,0,0,0
X601628.CH.EQUITY,0,0.0180894223001799,0.0274896032951353,0,0,0.473045422233734,0.0733988843061499,0,0,0,-0.1433223097849,0,0,0,0,0,0,0,0,0.0578986612883548,0.199896180392848,0.010691775058964,-0.0790956707281476,0,0,0,0,0,0.150154771835253,0,0,0,-0.0163067435531529,0,0,0,0,0,0,0,0,0,0.10661434232485,0,-0.0698916964143843,0,-0.0574148309782948,0,0,0
X5.HK.EQUITY,0,0,0,-0.134224434250099,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.546212456893966,0.769447117577279,0.102025139650566,0.602280848095224,0,0,0,0,0,0.105052699663394,0,0,0,0,0,0,0,0,0,0,0,0.0937698372440915,0,0,-0.0740597285495888,0,0,0.124899953134557,0,0
X601658.CH.Equity,0,0,0,0.146719210751362,0,0,0,0,0,0,0,0,0,0,0,0,0.0121102892363446,0.282109843792217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415414051660461,0.117470160113826,0.0261139334593119,0,0.270491903198338,0,0,0
