,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0.390205439814323,0.026490581626653,0.196594650220662,0,0,0,0,0.1669717256248,0,0,0,0,0,0,0,0,0,0,0,-0.0993654281528988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147874514177475,0,0.0134506276009704,0
X601939.CH.EQUITY,0.522602162403631,0,0,0.0877668793726975,0,0,-0.0966301985268705,0,-0.0678106825258472,0.0800043037431104,0,0,0.412408558306455,0,0,0,0,0,-0.0226229582764521,0,0,0,0,-0.0746195871051311,0,0,0,-0.0306505130217784,-0.0544783253217878,0,0,0,0,0,0,0,0,0.0405536687466686,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.245171883278696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208233115949391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820247238265894,0.169912272689526,0,0,0,0.135516120936903,0,0,0,0,0,0,0.083837467221426,0,0,0,0,0
X601288.CH.EQUITY,0.489375703687192,0,0,0,0.218813893118288,0,0,0,0,0,0,0,0,0,0,0,0.00258913796942244,0,0,0,0,0,0,0,0,0,0,0.0754246866184087,0,0,0,0,0.0671188153396675,0,0,0,0,0,0,0,0,0,0.111283746689386,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.427727847847855,0,0,0,0,0,0.331973719554808,0,0,0,0,0.0339558527715924,0,0,0,-0.0623337383639549,0,0,0,0,0,0,0,0,0,0,0,0.193158315391472,0,0,0,0,0,0,0,0,0,0,0,0,0.0545424238518973,0,0,0,0.0910355196275711,0,0.0731816828483306
X600036.CH.EQUITY,0,0,0.109654770095067,0,0,0,0,0.00995694869636107,0,0,0,0.254025788884245,0,0,0,0.223451104719096,0,0,0,0,0.0631843562833311,0.0562900459114986,0,0,0.0356215040857127,0,0.129890949730387,0,0,0,0,0.00309899621186398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149317127032528,0.0126285359484725
X1299.HK.EQUITY,0.0452583571350471,0,0,0.0811470683196665,3.46944695195361e-18,0,0,0,0,0,0,0,0.0673419303499215,0.211917819589406,0,0,0,0,0,0.0228139526444128,0,0,0,0.0952938301986492,0,0,0,0,0,0,0,0,0,0.0172619992908369,0,0,0.230831033277193,-1.38777878078145e-17,0,0,0,0,0,0,0,0.135543243355462,0,0,0,0
X5.HK.EQUITY,0,-0.088412472581664,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.290185121872836,0,0,0,-0.184504786363529,0.420897310775565,0,0,0.56955428669282,0,0,0,0,0.0712332000858758,0,0,0,0,-0.268162367120732,0,0,0,0,0.0223189248764378,0,0,0.497104425821927,0,0,0,0,0,0,0,-0.0362694064441222
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236079592393044,0,0.0831938756922436,0.102294311629619,0,0,0,0,0,0,0,0,0,0,0,0,0.051470030131912,0.153111078064569,0,0,0.0288814039644085,0,0,0,0,0.188347989054749,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.156106398052806,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0578347180203975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132724907710525,0,0,0,0.623632313235101,0.0395382594418395,0.0362709882887922,0,0.0473750694118269,0,0,0
