,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X601916.CH.Equity,X2884.TT.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0533639559092828,0.0552194170706887,0,0.0893242782067501,0,0,0,-0.011920619974607,0,0,0,0,0,0,0,0,0,0,0.359610170775839,0,0,-0.153046375054176,0,0,0.207485523614293,0,0,0,0,0,-0.229225347305524,0,0,0,0,0,0,0.0789456921492174,0,0,0,-0.108945939794219,0,0,0,0.0418440041512197,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0.284363994829831,0,0,0,0,0,0,0,0,0.0729076613001692,0,0,0.331161402273241,0,0,0,0,0,0,0.0802806447522927,0,0,0,0,0.0617189014682226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126662195710943,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.687248583959991,0,0.083677698040928,0,0,0,0,0,0,0,0,0,0.0574926848152009,0,0,0,0.0106625407144501,0,0,0,0,0,0,0.0149298285774591,0,0,0.00138875036469087,0,0,0,-0.00793842937158054,0.0263512805904108,0.00506061442332668,0,0,0.0409543154885966,0,0,-1.73472347597681e-18,0,0,0,0,0.135929756904399,0,0,0
X601288.CH.EQUITY,0.00881779974484629,0,0.825218284697094,0,0,0,-0.0492074415213565,0,0,0,0,0,0,0,0,0,0.0633813244270394,0,0,0,0,0,0.110247645390773,0,0,0.019570416283845,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362098473146381,0,0,0.044780341135205,0,0,0,-0.0720141192491238,0.0852376337164277,0,0,0
X601988.CH.EQUITY,0.0618156727235062,0,0,-3.46944695195361e-18,0,0,-0.213942578013987,0,0,0,0,0,0,0.66599795451265,0,0,0,-0.150357876294842,0,0,0.0418597442861541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.312885012106414,0.14558214819112,0,0,0,0,0,-0.150378946921625,0,0.170053276690436
X600036.CH.EQUITY,0,0.00442779944907838,0.360700287900895,-1.73472347597681e-18,0,0,0,0.0332995599006938,0.00891564735602909,0,0,0,0,0,0,0.160494158202422,0,0,0,0,0,0,0.167928562844342,0,0,0,0.241101740974083,0,0,0,0,0,0,0,0.0544548614951747,0,0,0,0,0,0,0,0,0,0,0,-0.00563594423272435,0,0,0
X601628.CH.EQUITY,-0.0287584677943361,0,0,0,0,0,0,0,0,0,-0.0766209376055284,0.781299449130846,0,0,0,0,0,0,0,0.025347653901435,0,0,0,0,0,0,0.0434231162154294,0,0,0.256906340841676,0,0,-0.21449509099468,-0.00489787978587225,0,0.0782367374765429,0,0,0.079026681005689,0,0,0,0,0,0.0649974436998552,0.074462897418245,0,-0.020693606497639,0,0
X1299.HK.EQUITY,0,0.124131087768907,0,0,-0.176307163862383,0,0.102503709201004,0,0.26099453271655,0.196498085555916,-0.0133728061342601,0,0,0,0,0,0,0,0,0,0,-0.00821110657089359,0.350994451900125,0,0,0,0,0,0,0,0,0,0,0,-0.0305003362212318,0,0,0,0.113430784186142,0.284976850715797,0,0,0,0,-0.112823953962253,0.327541870343167,0,0,0,-0.0525095945899732
X5.HK.EQUITY,0,0,0,0,0,0.144685823297907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63728529848033,0.000946697892712026,0,0.124056764769142,0,0,0,0,0,0,0,0,0,0.13827279617052,-0.155351348858764,0,0,0,0,0,0,0,0.0248652162008615,0.0773452719704344,0,-0.204518998024261,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.300980459201678,0,0.306261621923575,0,-0.165783900273392,0,0,0,0,0,0,0.0131378243099798,-0.157952447198737,0,0,0,0,0,0.196587041277097,0,0,0,0,0.108719048278391,0,0,0,0,0,0.182449473888116,0,0,0,-0.246130796186303,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.215959389829942,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.235008534884868,0,0.204012803754907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545076665741339,0,0,-0.00547878645802497,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.202195726955426,0,0,0.00937600450798526,0,0,0.00815758241480615,0,0.15033738210274,0,0,0,0,0,0,0,0,0.0161543982838306,0,0,0,0.378479832513173,0,0,0,0,-0.0582980670468529,0,0.103791454672692,0.0288268448290935,0.0302810298412372,0,0,0,0,0.184876115150578,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0429983355087679,0,0,0.19188524205826,0,0,0,0,0,0,0,0,0,0,0,0.0267138934210968,0,0,0,0.337863656950819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17761870315952,0,0.0682815955455112,0,-0.0113537831699404,0,0,0.020767740302328,0,0,0,0,0,0,0,0
