,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X600958.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0.237168185793074,0,0.0448764331223268,0,0,0.48302394335039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716388081399222,0.0547648623363827,0.00576895381422433,0,0,0,0,0,0.0745638776294837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.0281376109663032,0,0.131813939008432,0,0,0,0.180832219913244,0,0,0,0,0,0,0,0.120373790977984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290099299012802,0,0,0,0,0,0,0.0150930494912827,0,0,0,0,0,0,0.205364694820704,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.262668880160348,0,0,-0.0892920594508262,0,0,0,-0.0351058982747822,0.181149785649179,0,0,-1.73472347597681e-18,0,0,0.193853407016709,0,-0.137286777101817,0,0.00782177766041283,0.140267114839143,0.484925249368364,0,0.0129158306600951,0,0,0,0,0,0,0,0,0,0,-0.0181997422734575,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.108341016895953,0,0,0.0684069000711416,0,0.309054689549571,0,0,0,0,0,0,0,0.0917868151791751,0,0,0,0,0,0,0,0,0,0.13380090417585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693894449022471,0,0,0,0,0.0919108540931438,-0.0410376252623172,0,0,0
X600036.CH.EQUITY,0.102176650453766,0,0,0,0,0.135542982637678,0.290103676089884,0,0,0,0,0,0.242494204525085,0,0,0,0,0,0,0,0.00669372867996352,0.00909601012395565,0,0.133555452192079,0.31747881813105,8.54328062921059e-05,0,0,0,0,0,0.069113058188193,0,0,0,-0.0895017696986916,0,0,0,0,0,0,0.0806318257418776,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,1.38777878078145e-17,0,0,0,0,-0.024384516072668,0,0,0,0,0,0,0,0,0,0,0.212441788269479,0,0,0,0,-0.148627177212797,0,0,0.163312372186984,0.60500237055749,-0.0744565792798438,0,0,0,0,0.110361479901316,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0534731007322494,0
X1299.HK.EQUITY,0,0,-0.122046873914438,0,0.12032719885472,0,0,0,0,6.93889390390723e-18,0.0702568703148499,0,-0.102771183120225,0,0,0,0,0,0,0,0.184860998144721,0.165471079704859,0,0,0,0,0,0,0,0,0,0.196057660399797,0,0,0.0629277885514509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.647703423680518,0.293598325750967,0,0,0,0,0,0,0,0.0360028427844915,0,0,0.146396305265805,0,0,0,0,0.0516326466355215,0,0,0,0,0,0,0,-0.0434191794008934,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0141825863106222
X5.HK.EQUITY,0,0,0,0,0,0.0492503349459283,0,0,0,0,0,0,0,0,0,0,0,0,0.24367407677144,0,0.292667797330289,0.192176954022482,0,0,0,0,0,0,0,0,-0.0612651208544492,0.100810587983609,-0.057753211198545,0,0.19865365448787,0,0,-1.73472347597681e-18,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.102268147429231,0,0.0913151046303943,0,0,0,0,0,0,0.0373934864318492,0.104316730769629,0,0.0081372121131523,0,0,0,0,0,0,0,0,0,0.135034260156694,0.369018314348916,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176605582319551,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.103479831637042,-0.250408973387854,-0.0307179873782922,0.147877874592086,0,0,0,0,0,0.0587395294532187,0,-0.0181516708413494,0,0,0,0,0.466360711568664,0,0,0,0,0,0,0,0,0,0,0,-0.0393891073657919,0,0,0.108290744872869,0,0.106303117132874,0,0,0,0,0,0,0,0,0,0,0,0.27757307230284,0
