,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.209232304779676,0,0.0598304075253497,0,0,0,0,0.274790857977602,0.0325666953054742,0,0,0,0,0,0.165148043019472,0,0,0,0,0,0,0,0,0.163093822946717,0,0,0,0,0,0,0,0,0,0,0.0381287869473894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.455952923764292,0,0,0.0152286438395942,0,0,-0.0344582351505632,0,0,0,0.197111894685448,0,0.224979684623592,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.00105813172192233,0,0,0,0.0115007300563775,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0780010314449173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115366215951737,0,0,0.0966475043461479,0,0.165397528048279,0.148794787831019,0,0,0,0,0,0,0,0,0,0,0.202609485370613,0,0
X601288.CH.EQUITY,0.482868183483018,6.93889390390723e-18,0.0983684574219378,0,0.125340148409181,0,0,0,0,0,0,0,0.0988853410515696,0,0,0,0.0221628727150141,0,0,0,0,0,0.00731766148128862,0,5.42101086242752e-20,0,0,0,0,0,0.01858710231553,0,0,0,0,0,0,0,0,0,0,0,0.0942643430988982,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.443242888043987,0,0,0,0,0,0.234555172869747,0,0,0,0,0.120351240555073,0.0116670729854714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941176235827399,0.105660586888537,0,0,0
X600036.CH.EQUITY,0,0,0.0661011329718551,0,0,0,0.035719150425644,0,0,0.0391219502755626,0,0.429674240927386,0,0,0,0,0,0,0,0.0157463353682989,0,0.0887541047585761,0,0,0,0,0,0.0553100186018518,0,0,0,0,0,0,0,0,0,0,0,0.214717891383312,0,0,0,0.0930087710551069,0.00994429510468084,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0.135815307463887,0,0,0,0,0,0,0,0,0,0.28254072635785,0,0.198693395432569,0,0,0,0.174017251588131,0,0,0,0.0383528902260642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198137374693031,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0693431135300732,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.483654536099825,0,-0.529588998166479,0,0,0,0.761481366686474,-0.865604502845138,6.93889390390723e-18,0,0.595921673642724,0,0,0,0,0,0.187229061358849,0,0,0,0,0,0,0,0,0,0,0.193954292635988,0,0,0,0,0.0731130041607829,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.25528505037974,6.93889390390723e-18,0,0,0,0,0.473605623381351,0,0,0,0,0,0,0,0.0240123223623649,0,0,0,0,0,0,0,0,0,0,0.0316189553654136,0,0,0.068572568638486,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401272803262036,0,0.446944138729018,0,0,0,0,0,0,0,0,0.10340372704045,0,0,0,0,0.536309108917242,0,0,0,0,-0.311834104084241,0.0586335808413641,0,0,0,-0.405124691842957,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.314017604536694,0,0,0,0,0,-0.108767090179303,0,0,0.29752234652742,0,0,0,0,0.0909697023348212,0,0,0,0,0,0,0.167636576032157,0,0,0,0,0.00129983988313316,0,0,0,0,0,0.140673306993293,0,0,0,0,0,0,0,0,0.0118588227911235,0,0,0,0,0.0654807816609235
