,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,-0.289490087606288,0,-0.284432099456214,0,0,0,0,0,0,0,0,0.768660068981331,0,0,0,-0.040147740274274,0,0,0,0,0,0,0,0,0,0,0,0,0.701077594674953,0.0454615837463447,0,0,0,0,-0.212809250584563,0,0,0,0,-0.0212694541755221,0,0,-0.147591193698952,-0.0629748390382269,0,0,0
X601318.CH.EQUITY,0,0,0,0.0708016217410423,0,0,0,0,0.0982052395013575,0.0200844824019191,0,0.00183019089137204,0,0.389927619789975,0,0,0,0,0,0,0,0.0881593120291623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00762622624755075,2.71050543121376e-20,0,0,0.0358320564021501,0,-8.67361737988404e-19,0,0,0
X601939.CH.EQUITY,0.1539954235946,0,0,0,0,0,0,0.206005695129264,0,0,0,0,0,-0.409633621301342,0,0,0,0,0,0,0.0678422244212408,0,0,0,0,-0.247196986729626,0,0.556424735386655,0,0,0,0,0,0,0,-0.108491138031633,0,0,0,0,0,0,0,0,0.580103677023084,0.0242016470910691,0,-0.225226040374659
X601288.CH.EQUITY,0,0,0,0,0,0.3765191869131,0,-0.0571015221877435,0.185030280702031,0.0491596867604696,0,0,0,0,0,0.054162031235882,0,0,0,0,0,0,0.200574407317194,0,0,0,0,0,0.0243045395716751,0,0.0879663980816007,0,0,0,0,0,0.11622115818331,0,0,0,0.048264122203791,0,0,0,0,0,0.0677546100291669,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00977642479680594,0,0.443275847453515,0,0,0,0,0,0,0,0,0,0.0758743955368045,0,0,0,-0.0658623798863743,0,0,0,0,0,0.233734724887472,0,0,0.104551793040723,0.000145751683794066,0,0.136257905389462,0.102392582460825
X601988.CH.EQUITY,0.178515576959011,0,0.0290292666471454,0.613655087230949,0,0,0,0,0,0,0.138044718378937,0,0,0,0.0783564546669853,0,0,0,0,0.000103167311251453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133248536687108,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.108262905684639,0,-3.46944695195361e-18,0,0,0,0,0,0,0.123394476591339,0.370012456201274,0,0.125442493365361,0,0,0.0795697957590707,0,0,0,0,0,0.155682968760998,0,0,0,0,0,0.102822122930425,0,0,0,0,0,-0.110775641994129,0,0,0,0,0,-0.00420798005071318,-0.0923535103484061,0.296179795239376,0.0664131666431948,0,0,0,0
X1299.HK.EQUITY,0,0.0267069126271283,0,0,0.0724524714768472,0,0,0,0.24369318105838,0,-0.0110639071312889,0,0,0,0.0702908530490763,0.110097963425398,0.245594578414179,0,0.230091312169932,0,0,0,0,0,0,0,0,0,0,-0.176958307093383,0,0,0,0,0,0,0,0.0547056410171146,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0125107452420818,0,0,0,0,0,0,0,0,0.123909527392791,0,0,0.282404314506664,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.239837917611134,0,0,0,0,0,0,0,0,0,0,0,0,0.115839232313215,0,0.021947915906294,0,0,0,0
X601328.CH.EQUITY,0,0.118505823167026,0,0.342594903304765,0,0,0.278519576391794,0,0,0,0,0,0,0,0,0.175227991824109,0.072555867540379,0,0,0.0186942923207059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184937165317645,0,0,0,0,0,0,0,-0.281983674871624,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.338261486102247,0,0,0.231432554088546,0,0,0,0,0.433320506087933,0,0,0,0,-0.270297107903348,0,0,0,0,0,0.154781061032891,0,0,0.249825121221055,0,0,-0.108367470267075,0,-0.0147347835400478,0,-0.0827621454665753,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.170135815833134,0
