,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.140224806643607,0,0,0,0.581428677674132,0,0,0,0,-0.178858476333974,0,0.552574298243891,0,0,0,0,0,0,0,0,-0.0121512271493231,0,0,0,0,0,0,0,0,0.116039223507433,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0353482258028766,0,0,0.0159803965372778,0,0,0,0,0,0.32801471552868,0.1134433289603,0,0,0,0,0,0,0,0,0.206101651739873,0,0,0.160738357166635,0.105644487767994,0.0520240107277719,0,0,0,0,0.0122014683310561,0,-0.0146512991262359,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.623052878747623,0,0,0,0,0,0,-0.107125200977873,0,0,0,0,0,0,0,-0.311395658003747,-0.179852938643798,-0.0317110818300598,0,0.167500212776806,0,0,0,0,-0.43628883660391,0,0,0,0.0765887582234146,0,0.778690894802347,0.262616087219197,0,0,0.0331146785204916,0,0,0,0,0,0,0,0,0,0,-0.0483517884723028,0,2.77555756156289e-17
X601288.CH.EQUITY,0,0,0,0,0,0,-0.222034452271385,0,0.162265521997348,0.0403229067292008,0.743634307271643,0,0,0,0,0,0,-0.195359135650656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231371931170569,0,0,0,0,0,0,0,0,0,1.73472347597681e-18
X5.HK.EQUITY,0,0,0,0,0,0.130245216498138,0.425414422825094,-0.0996219434774379,0,0,0,-0.017026356754764,0,0,5.42101086242752e-20,0,0.090298967855924,-0.0962713960657422,0,0,0,0,0,0,0,0,0.127157235847976,0,0.285481241541864,0,0,0,0,0,-0.102463855991839,0,0.0491101665548209,0,0,0.226693622898224,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.393123129793585,0,0,0,0.0336577581675449,0,0,0,0,0,0,0,0,-0.217000923901233,0,0,0,0.323003217813969,0,0,0,0,0,0,0,0,0.0858908147227889,0,0,0,0,0,-0.213773269767197,-0.0950596211127127,0,0,0,0,0,0,0,0,0.416824804495067,0
X1299.HK.EQUITY,0,0,0,-0.0426334979045549,0.21767218894751,0,0,0,0,0,0,0,0,0.309943869546615,0.177225615831696,0,0,0,0,0,0,0,0,0,0,0.120618796847784,-0.0926015647294884,0,-0.0310118572861503,0,0,0,-0.174112740063911,0,0,0,-0.0205123364971094,0,0,0,0,0,0,-0.0148029810208552,0,-0.0184778743334535,0,0.168017143350965
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.608698131155004,0,0.0770237753120849,0,0,0,0.154680730346125,0,0,0,0,0,0,0.0284486046230823,0,0,0,0,0,-0.0131524110414832,-0.15145076808412,0.109789793201832,0.256583040453857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0209505135724579,0,0.0154965654174688,0,0,0,0,0,0,0,0,-0.0321544747479903,-0.0641729548191353,0.0445908393285863,0.151606207178704,0,0,0,0,0,0,0,0,0.0598176494677067,0.498827038496265,0,0,0,0.247799471400222,0,0.0741289753014018,0.0520698291679394,0,-0.0425317594037866,0,0,0,0,0,0,0,-0.013623980760994,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.00312895694265779,0,0,0,0,0.716181926424952,0,0,0,0,0,0,0,0,-0.00667847220363621,0.0849017930176632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191905960389933,0,0,-0.0597333028681513,0,0,0,0,0,0,-0.0427919437484874,0,0,0.118921309281071
X601166.CH.EQUITY,0.174222105204257,0,0,0.219479329341611,0,0.0218553937525872,-0.0018453818096128,0,0.010142458175131,0.148086219267789,0,0,0.294364396128255,0,0,-1.73472347597681e-18,-8.67361737988404e-19,-0.0703156207965308,0,0.0432867796607399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158855081804356,0,0,0,0
X601319.CH.EQUITY,0,0.0193160236827819,0,0,0,0,0,0,0,-0.043392743176964,0,0,0,0.00443803557774888,0,0,-0.22071831263452,0,0,0,0,0,0,0,0,0.284704717659784,0,-0.115030283086847,0,0.0207125713589681,3.46944695195361e-18,0,0,0.508934588134866,1.73472347597681e-18,0,-0.0684687876731229,0.0654207510655339,0,0,0,0.156877476119506,0.0458024556703916,0.00422595326168551,0,-0.0268161911437861,0,0
X600000.CH.EQUITY,0,0,0,0,0.0658260673925125,0,0,0.218881164046184,0,0.105027105089775,0.313320042285849,0,0,0,0.0551879696317021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479258915127778,0,0,0,0,0,0,0,0,0.146548707032258,0,0,-0.160439124001376,0,0,0,0,0,0.115486856927223,0
X11.HK.EQUITY,0,0,0,0,0.444020169038022,0,-0.0466111630555072,0.081925602081215,0,0,0,0,0,0,0,0.0586530970022608,0,0,0,0,0,0,0,-0.289696509523351,0,0.0773764555307638,0,0,0.0488409909791916,0,0,0,0,0.429827469233282,-0.10405119916495,0,0,0,0,0,0,0,0.214767341526088,0,0,0,0.100839856372502,0
X388.HK.EQUITY,0,0,0,0,0.0721620461096675,0.0216650452934385,0,0,0,0,0,0,0,0.0506366081386292,0,0.228735420749784,0.583324644343687,0.0638331919339424,0,0,0,0,0,-0.0642974500509306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.0878225912235533,0,0,0,0,0,0.0444823366713641,0.242701195473159,0,0,0,0,0,0,0,0,-0.0171003534353209,0,0,0,0,0,0,0,0.295693265172247,0,0,0,0,0,0.0674679051252848,0,0,0,0,0,0,0,0,0,0,0.140746946846834,0,0,0,0,-1.73472347597681e-18
X2388.HK.EQUITY,-0.199759924514494,0.461592149206914,0,-0.334896069627207,0.072156800053715,-0.430599147668459,0,0,0,0,0,0,0,0.0934048741190634,0.544634733745151,0,0,-0.168279359136669,0,0,0,0,0,0,0,0,0,0,0,0,0.00755353096810283,0,-0.03307181241053,0,-0.180146605110254,0,0,0,0,0,0.00927413353048464,0,0.231780087915551,0.345039798517788,0,-0.0553429855127668,0,0
