,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X601236.CH.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0,0,0,0,0.264356233129961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348185398548867,0,0,-0.178157947255411,0,0.0959139090128165,0,0,0,-0.157588865095683,0,0,0,0,0,0,0,0,0,0.134455710151816,0,0,0,-0.0302750566767094,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.203005472603859,0,-1.73472347597681e-18,0,-0.0118083890118097,0,0,0,0,0,0,-3.46944695195361e-18,0.0279841892085265,0,0,0,0,0,0,0.0921945926666763,0,0,0,0,0,0,0.26052501525457,0,0,0,0,0.109566750031957,0,0.301278751654009,0,0,0,0,0.0389507887550927,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.746477715280778,0,0,0.00411784272354568,0,0.0110729349409,0.0527790809211014,0,0,-0.0188714754988048,0,0,0.0145700920026398,0,0,0,1.73472347597681e-18,0,0,0.0471808455964457,0,0,0,0,0,0,0,0,0,0,0,0.0208378692328304,0,0,0,0,0,0,0,0,0.0504280732616267,0,0.129445598075669,0,0,0,0
X601288.CH.EQUITY,0.0454152426968809,0,0.802922168462831,0,-0.0862735583682143,0,0.0542871407401731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390982971749856,0.0134734406105449,0,0,0.0198733436760061,0,0.101268038666384,0,0,0,0,0,0,0,-0.016725653887044,0,0,0,-1.73472347597681e-18,0,0,0,0,0.113223841068895,0,0,0,-0.0865726105324709
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.105118977910758,0,0.193732825580509,0.227106582770954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181640528292375,-0.186518321322073,0,0.408961515543949,0,0,0,0.175833117307039,0,0,0,0,0,0,0,0,0,0,0,-0.0694976698787434,0,0.116202806778091
X600036.CH.EQUITY,0,0.0152330046443631,0.404625965489862,0,0,0,0,0,0.028499886322813,-0.00535971943127935,0,0,0,0,0,0.104530536944928,0,0,0.000407866603700404,0,0,0,0.205476626850626,0,0,0.111277536538884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0754083458223137,-0.0503190593362533,0,0,0,-0.00443718372644705,0,0,-0.139811731080988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260437461038994,0,0,0.0270143556545438,0,0,0,-0.0907770809721683,0.951880264277154,0,0.149512749019093,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.17945293805358,0,0,0.154595324850663,0,0,0,0.13565660630102,0.186134996865804,-0.0298064352310505,0,0,0,0,0,0,0,0,0,-0.106974184292268,0,0.482565894180588,0,0,0,0,0,0,0,0,0,-0.144149256892445,0,-0.0715979456593845,0,0,0,0,0.201033294952465,0,0,0,0,0,0,0.0234167225145442,0,0,0.325803783275686
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212051771958701,0,0,0,0,0.60758215330663,0.0925913426322207,0,0.11498056679583,0,0,0,0,0,0,0,0,0,0.146173529116807,-0.223582977708888,-0.082986192548507,0,0,0,0,0,0,0,0.0711573608198615,-0.00106229363866278,-0.248193420165985,0,0,0
X388.HK.EQUITY,0,0,0,0,0.404884144798734,0,0,0,0.257536343167375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484082319206519,0.312453128180885,0.0450685547825321,-0.172454196711953,0,0,0,0,0,0,0,0,0.126403263721943,0,0,0,-0.295242692971452,-0.189911940618096,0,0,0.155555927337414,0,0,-0.145103601004382,0,0,0
