,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.197385675821997,0,0.404176359722171,0,0,0,0,0.167495254512444,0,0,0,0,0,0,0,0.021141786424639,0,0,-0.158026791077944,0,0,0.0805737857171655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150677608892562,0,0.0409620773220019,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.412038705955442,0,0,0.0921458077062696,0,0,-0.133340240849274,0,0,0.0204927419023288,0,0,0.325097420618726,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12443393323115,0,0.0469155346312794,0,-0.0160301372173613,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283936937225725,0,0,0,0.132163831611343,0,0,0,0,0.20095711744485,0,0,0,0,0,0.118359109188652,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.468127515252669,0,0,0,0.156373547031468,0,0,0,0,0,0,0,0.0111081454441612,0,0,0,0,0,0,0,0,0,0,0,0,0.0345813926797038,0,0.035176332436648,0,0,0,0.037617768010834,0,0,0,0,0,0,0,0,0,0,0.133222526781032,0,0,0,0.067732424787588,0,0,0
X601988.CH.EQUITY,0,0.134677228019694,0,0.320505910683114,0,0,0,0,0,0.271725050867095,0,0,0,0,0.185960940942056,0,-0.0198410683720904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611606642573864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694674302647241,0,0
X600036.CH.EQUITY,0,0,0.00673555722900328,0,0,0,-1.73472347597681e-18,0,0,0,0,0.474701737568564,0,0,0,0.0512475872262587,0,0,0,0,0,0.0914008732967728,0,0,0,0,0,0,0,0,0,0,0.061291895607861,0,0,0,0,0,0.206336674968542,0,0,0,0,0,0.0643138205991607,0.00262881413769962,0,0,0.0294023716063866,0
X1299.HK.EQUITY,0,0,0,0.135361507236776,0,0,0,0,0,0,0,0,0,0.283169498314056,0,0.19879326906417,0,0,0,0.175072266186187,0,0,0,0.0394613374844345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200741739172839,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.0982973851012903,0,0,0,0,0,0,0,0,0,0.294786089855372,0,-0.276448453947864,0,0,0,0.908283672513491,-0.785433218687764,6.93889390390723e-18,0,0.63236681065553,0,0,0,0,0,0.274799056067113,0,0,0,0,0,0,0,0,0.0111754667934634,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124820468598107,0.163022581790804,0,0.140361289120277,0,0,0,0.299729893530667,0,0,0,0,0,0,0,0,0.0416500589430853,0,0,0,0,3.46944695195361e-18,0,0,0,0.105193497604785,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.218203815153068,0.0571373944766294,0,0,0,0,0,0,0,0,-0.234766252860709,0,0,0,0,0,0.509079617057235,0,0.272206144273761,0,0,0,0,0,0,0,-0.0312122623267237,0,0,0,0,-1.38777878078145e-17,0,0.157777582287738,0,0,0,0,-0.546739321365175,0.395251946935164,0,0,0,0,-0.13787675470583,0,0.183929191289969
