,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.169867315246724,0,0.14763797123311,0,0,0,0,0,0,0.120314821681288,0.00335639279058325,0,-0.214588409504241,0,0,0,0.18335010737682,0,0,0,0,0,0,0.0690359775891381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30319008150941,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0585158038161177,-1.38777878078145e-17,0,0.267678109495549,0,0,0.359468798458039,0,0.116928647833333,0,0,0,0,0,0,0,0,0,0,0.0802195040030004,0,0,0,-0.244088462892078,0,0,0.132423533199833,0,0,0,0,0,0.0835540932454365,0,-0.0100309412565285,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.474896245092565,-0.0390819906670398,0,0,0,0.166899285830238,0,0,0,-3.46944695195361e-18,0.0217617510942323,0,0.0412945066563876,0.0344675165429754,0,0,0.0277248197610317,0,0,0,0,0,0,0,0,0,0,0,0.356292172595369,0,-0.100828674616118,0.0917885011628645,0,0,-0.0935700786886341,0,0,0,0,0,-0.026491364773974,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.547964153677911,0,1.73472347597681e-18,0,0,0.144314309790559,0,0,0.0135955290138617,0,0,0,0,-0.047661722038874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138245305252337,0.0120380094392923,0,0,0.0229073867745045,0,0.0230784799213097,0,0,0,0,0,0,0.335946007797274,0,0,0,0,-0.0279661917224523,0,0
X5.HK.EQUITY,0,0,0,0.0161283262170675,0,0,-6.93889390390723e-18,-0.307148336223525,0,0,0,0.325057563900172,0,0,0,0.826177198335298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480613995348648,0,0.0698409729851847,0.079593502485175,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.111588318149304,0.326657121291008,0.0568363915494657,0,0,0,0.208001749408447,0.136933861174615,0.158556548104566,0,0,0,-0.0314422299168459,0,0,0.114756113971253,0,-8.67361737988404e-19,0,0,0,0,1.38777878078145e-17,0,0,0.0544355895444795,0,0,0,-6.93889390390723e-18,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0105986310863592,0,0,0,0,-0.194587068864973,0
X600036.CH.EQUITY,0,0.359770791652021,0,0,0,0,0,0,0,0,0,0.183991379948338,0.16157560758931,0.0507856186489728,0,0,0,0,0,0,0,0,0,0,0.0933593015712583,0,0.013890264880218,0,0,-3.46944695195361e-18,0.0934151491327251,0,0,0,0,0.0389517992326889,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.158269088341218,0,0,0.104309216615747,0,0,-0.18763238890383,0,0.349733656025183,0.252379139934212,0,0.109209790334299,0,0,0.04053508537263,0,0,0,0.0133061091247837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969820148103318,0,0,0,-0.0576258363375093,3.46944695195361e-18,0.112715335781599,0,0,0,0
X601628.CH.EQUITY,0,0.479677453993394,0,0,0,0,0,0,0,0,0,0,-0.11715942064161,0,0,-0.177826484578135,0,0,0,0,0,0,0,0.00782503263548986,0,0,0,0,0,0,0,0,0,0,0.2095902186721,0,0,-0.206524798899438,0.0356052596356996,0,0,0,0,0,0.133991752228018,0,0,0,0
X601166.CH.EQUITY,0.0825662035081829,0,0,0,0,0.0100323411674112,0.231220317900736,0,0,0,-2.16840434497101e-19,0,0.0660020290882693,0.297820665883737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668262906191676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227943130167779,0,0,0,0,0
X601328.CH.EQUITY,0,0.0427701543411323,0,0,0.0889225042556,0,0,0,0,0.0400992864611605,0,0.167742360575313,0,0,0,0,0.202257917839705,-0.139810524061422,0,0.137199083101033,0,0,0,0,0,0,0,0,0,0.0605415087885302,0,0.218744009784172,0,0,0,0,0,0,0,0.0169056105648974,0,0,0.100585726515546,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.00760637801880821,0,0,0.187364999017121,-0.0510963938606881,0,0,0.418788371177042,0,0,-0.0530674705856453,-0.0450558992887308,0,0,0,0,0.0315455494189532,0,0,0.216827914657312,0,0,0,0,0,0,0,0,0.0370666934663405,0,0,0,0,0,0.23092473310989,0,0,0,0,0,0,0.0196258879651777,0,0.12580306784871,0,0
X000001.CH.EQUITY,0,0,0,0,0.0201348666672149,0,0,0,0,0.0911693028150598,0,0,0,0,0,0,0,0,0,0,-0.0706025906497177,0,0,-0.0111786794402907,0.230502063584921,-0.313544295727133,0,0.207531072308331,0.250627663335953,0,0,0,0,0,-0.040503519015039,0.290866565859109,0,0.259082236277355,0.0292557074190966,0,0,0,0,0,0,0,0.106267049483,-1.73472347597681e-18,0
X601601.CH.EQUITY,-0.0184602288585894,0,0,0,0,-0.238039758330018,0.0503336286602766,0,0.213205818481819,0.340498012675093,0,0,0.0418658178781748,0,0.248090547357145,0,0,0.135053572776569,0,0,0,0,0,0,0,0,0,0,0.19916506168572,0,0,0,0,0,-0.0294975435622368,0,0,0,0.122240130256025,0,0,0,0,0.068729269558977,-0.0549673752525377,0,0,0,0
