,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.153809982924813,0,0.200948951212795,0.0830143615979119,0.0500064655524612,0,0,0,0,0,0,0,0,0.177740785831499,0.126675360798182,0,0,-0.0716936498527196,0,0,0,0,0,0,0,0,0.0116329824998329,0,0,0,0,0.0632181654746419,0,0,0,0,0.0797193725442073,0.132099169744457,0,0,0.0665372807424978,0,0,0,0.000427293294455428,0,0,0
X601318.CH.EQUITY,0,0,0.0625331201573853,0,0,0,0,0,0.175334048778398,0,0,0,0,0,0.012174943023544,0,0.00601107584854327,0,0,0,0,0,0,0,0,0,0,0,0.181360970062697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290891411558636,0,0.0924947979963779,0,0,0,0
X601939.CH.EQUITY,6.93889390390723e-18,0,0,0,0.355065193299582,0,0,0,0,-0.0734597773353255,0,0.187349425527594,0,0,0,0,0,0.230845861303845,0,0.0294174096708057,-0.0588084598252099,-0.172267677546829,0.355641554291358,0,0.168104596327278,0,0,0,0,0,0,0,0,0,0,-0.0293348161970064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0913214555916259,0,0,0,0,0.0943158380452124,0.240757692725253,0.0619943514089821,0,0,0,0,0.267162912020733,0,0,0,0,0,0,0.0901676251260416,0,0,0,0.26229533253032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388290937326243,0,0.0136073862378689,0.0657562066430927,0,0,0,0
X601288.CH.EQUITY,0.06769492734648,0.0442486020225124,0.150664769620664,0,0,0.18852935576066,0,0.116544439116223,0,0,0,0,0,0,0.20578963137854,0.135604998456568,0,0,0,0,0,0,0,0,0,0.0776463616714776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220605443900948,0
X601628.CH.EQUITY,0.107711549166758,0,0,-0.126458658730245,0,0,0,0,0,0.0249299601603568,0,0,0,0,0,0,0,0.060211552156478,0,0,0,0.123364311807329,0,-0.0133443061235447,0,0,0,0,0,0.718862668451579,-0.143731185952674,0,0,0.092968582822602,0,0,0,0.046535661193942,0,0,0,0.0708194382727434,0,0,0,0,0,-0.0118128687830897,0,0
X1299.HK.EQUITY,0,0,-0.0389764809930236,0,-0.174322975029737,0,0,0,0,0.0618235986726553,0,0,-0.0469706460989078,0,0,0,0,0,0,0.142147606007378,0.127155708965728,0,0,0,0,-0.208890527214865,0,0,0.285718880647641,-0.000664420997105421,0,0,0,0.29953876922655,0,0.244973320713987,0,0,0,0,0,0,0,0,-0.0928564328107368,0,0,0,0,0.0846700522972897
X601988.CH.EQUITY,0.244896422768657,0,0.0319270323899149,0.215139127378596,0.0248307248086227,0,0,0,0,0,0,-0.0268118259819367,0.0797639100244214,0,0,0,0,0,0,0,0.159420048429654,0,0,0.073123809867087,0,0,-0.101040307450911,0,0.0397515111750757,0,0,0,0,0,0,0,0,0,0,0,0.372152531063008,0,0,0,0,0.071688336251972,-0.0697464768794704,0.107236549363588,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.259966634111768,0,0.0339025484132091,8.67361737988404e-19,0,0,0,0,0,0,-0.0121254730431592,0,0.194380039786092,0.0566975808505811,0.0405251644325597,0,0,0,0,0,0,0.150247540172588,0,0,-8.67361737988404e-19,-0.172986175551601,0.246821253647852,0,0,0.087846390883541,0,0,0,0,0,0,0,0,0,0,0,0.121461807043708,0
X388.HK.EQUITY,0,0,-0.0883194151116149,-0.266083742428055,0,-0.0527535427669615,0.205245030695058,0,0,0,0,0,0.120441940141272,0,0,0,0,0.185044161803237,0,0,0,0.278365456505517,0,0,0,0,0.0223890906266549,0,0,0,0,0,0.0045268985957679,0.0717704760058681,0,0.0611039277228086,0,0,0,0,0,0,0,0,0,0,0,0.260155865465074,0,0
X601166.CH.EQUITY,0,0,0.125636570760029,0.09746037425462,0,0.0186647396410246,0,0,0,0,0,0.0552581362682223,0.0920333423157785,0,0,0,0,0,0,0,0,0,0,0.157136863721476,0,0.397343487280921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461320226724596,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0.149362183581794,0,0,0,-0.0513968021801649,0,0,-0.0127848304994845,0.495672746405236,0,0,0,0,0.0805120393789925,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285331331836414,0,0,0,0,0,0,0,0,0,0.348545871808862,0,0,0,0
