,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X2892.TT.EQUITY,X601077.CH.Equity,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.173557149118041,0,0.109673540788666,0,0,0,0,0,0,0,0,0.509356500861481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360790258640521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143855370389364,0,0.033575225672536,0
X601318.CH.EQUITY,0,0,0,0,0,0.0755244966752664,0,0,0.111511331363624,0,0.01951161657297,0,-1.38777878078145e-17,0.202725604597938,0,0,0,0,-0.16265802912052,0,0,0,0,0,0,0,0.246583620071531,0,0,-0.154342293278158,0,0.471306932555949,0,0,0,0,0,0,0.224436942301833,0,-0.216561509850503,0,0,0.113792829402183,0,0.148847721858327,0,0,0,0
X601939.CH.EQUITY,0.209736589406638,0,0,0.258421534033022,0,0.0774518213095984,0,-0.0592410765463924,0,0,0,0,0,0.0577947896353786,0,0,0,0,0.263596606962643,0,0,0,-0.144180778975159,0,0.00736555179856028,0,0,0,0,0.416460731843303,-0.0203719855788151,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0843188115810753,-0.0646741839102228,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.445374623217355,0,0.271592564390546,0,0,0.10944798289754,0,0,0,-0.0213453319533478,0,0,0,0,-0.0546255668926588,0.0475791204541828,0,0,0,-0.027257105998011,0,0,0.023343597341303,0,0,0,-0.0784756097571736,0,0,0.0519137288030797,0,0,0,0,0,0,0,0,0,0.164652583207114,0,0,0,0,0,0.0454509591842796,0,0,-0.0704257782399886,0
X5.HK.EQUITY,0,0,-1.73472347597681e-18,0.175646246063188,0,0.0839165477134061,0,-0.385251862982709,0,0,0,0,0.137694824178072,0,0,0,0,0.394936069925054,0,0,0,0,0.530975688997301,0,0,0.0523766972009714,0,0,0,0,0,0,0,-0.108469665503642,0,0.192499277283685,0,-0.0693670229854797,-0.0207020890894162,0,0,0,0,0,0,0,0,0,-0.0517461060062311,0
X601988.CH.EQUITY,0.0297212812785294,0,0.0290247536614726,0.37679667980996,0.0591062055267883,0,0,0,0.143135637687162,0,0.0743739658305302,0.141802132584482,0,0,0,0,0,0,0,0.170634641092059,0.220536824099247,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354028021886039,0,-0.0298993063790715,0,-8.67361737988404e-19,0,-0.32240261306053,0,0
X600036.CH.EQUITY,0,0,0,0,0.0685638996727562,0,0,0.26330954787057,0,0,0,0.0349927664079595,0.338616687718056,0.228945672178902,0,0,0,0.0294790613188902,0,0,0,0,0,0,0,0,0.105822757748261,0,0.0734478624592715,0,0.030664915417409,0,0,0,0,0,0,0,0,0,0,0,-0.00738017399641159,0.0155158183869235,0,0,0,-0.0968346646754859,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.11260307796688,0,0,0,0.0513019106707093,0,0,-0.118670564221471,0.0950150594564145,0.305868359209477,0,0.301142814268389,0,0.016441970166443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292324141269083,0,0,0,0,0
X601628.CH.EQUITY,0,0.314472235814488,0,0,0,-0.0103910241134158,0,0,0,0,0,0,0,0,0,0.00203295703973933,0,-0.0328066590671372,0,1.73472347597681e-18,0,0,0,0,0.0369998808879121,0,0,0,0,0,0.0381547017423993,0,0,-0.196213824919938,0,0.0333968948955172,0,0,-0.109957382743527,0,0,0,0,0,0,0.115887418677456,0,0,0,0
X601658.CH.Equity,0,0,0,-0.101739007303242,0,0,-0.10452794567581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453505388597034,0,0,0,-0.0896121611401252,0,0,0.0827867471041332,0,0,0,-0.277718240613612,0,0,0,0,0,0,0,-0.528688984044023,0,0,0.502685058618769,0.253939882049961,0.158996241889248,0,0,-0.0829426606640308,0,0
