,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.0926971657772964,0,0.0346485264843692,0,0,0,0,0,0,0.18371833396048,0.325429930140677,0,-0.155982880240949,0.0507855165503191,0,0,0,0,0.156871127514973,0,0,0,0.0735571308803876,0,0,0,0,0,-0.0436480788242291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18377568084161,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0163996482420057,0.0339482446009217,0,0.296089583688636,0,0,0.153295475382413,0,0,0,0,0,0,0.158097983678771,0,0,0,0,0.0798110364946867,0,0,0,0,-0.253228124590261,0,0,0.227521617388935,0,0,0,0,0.127632823211649,0,0,0,-0.0669440524589652,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.492561094490122,0,0,0,0,0.182855300233296,0,0,0,0,0,0,0.0691777239394612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372929010854881,-0.113389872161085,0,0.0443376890673574,0,0,-0.0482297941668878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.440146838461664,0,0.207472948128952,0,0,0.0128037992032325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132676659042971,0,0,0.0480837415188102,0.054324146422209,0,0,0,0,0,0,0,0,0.153492803804648,0,0,0.0653911494614067,0,-0.0320998569479162,0,0
X5.HK.EQUITY,0,0,0.0540902753951107,0,0,0,0.0213624695957167,-0.302240981342047,0,0,0,0.299684975338439,0,0,0,0.774318666633665,0,0,0,0,0.00352879636705079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921791408100349,0.0950654574851948,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.161295116330935,0.271319704823571,0,0,0,0,0.0637031555362274,0.199446687879933,0.0216374923239561,0,0,0,0,0,0,0,0.145787081317963,0.101545507629211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198234160787959,0,0,0,0,0,0,0,0,0,-0.171957870575134,0
X600036.CH.EQUITY,0,0.0345500454666609,0,0,0,0,0,0.168419375267593,0,0.0213076551443405,0,0,0.206876459263275,0.0771179551796939,0,0,0,0,0,0,0,0,0,0.077368310717469,0,0,0,0,0,0.0984356310579472,0.107911577893155,0,0,0,0,0.109959686499968,0,0,0,0,0,0,0,0,-0.040510158966651,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.245998519026348,0,0,0.0187442415988618,0,-0.0952395020532792,-0.1685449843279,0,0.356444530636286,0.300388911107671,0,0,0,0.0804799921210288,0.0144195918943144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667687971322324,0,0,0,-0.0138007603410879,0.083498530353469,-4.33680868994202e-19,0.117458282967867,0,0,0,0
X601628.CH.EQUITY,0.0568681590422534,0.406931612619575,0,0,0,0,0,0,0,0.0408048143118105,0,0,-0.0828666611730255,0,0,-0.140746068170099,0,0,0,0,0,0,0,0,0.000586437815543177,0,0,0,0,0.138636816505075,0,0,0,-0.137785728727276,0,0,-0.136696536754801,0,-0.0523117107319485,0,0,0,0,0,0.154290897957115,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.175474934465202,0.231881939926755,0,0,0,0,0,0.134025111418634,0.386147046012063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137801348760702,0,0,0,0,0,0,0,0,0,0.162475333359362,0,0.0154153142793503,0,0,0,0,0,0
