,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X601838.CH.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.195830668999263,0,0,0,0,0,0.0415522252200592,0.0286013279507419,0,0,0,0.355792279781553,0,0.0581870111852013,0,0,0,0,0,0.0188500124097722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124164779106408,0,0,0,0,0
X601939.CH.EQUITY,0,0,-4.33680868994202e-19,0,0,0.126864587789268,0,0,0,0.0533424838859613,0.0533798029859745,0,0.0312696757095963,0,0,0,0.524696186303675,0,0,0,-0.0422019806475592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198799789964845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0274273080822438,0,0,0.175810173916979,-0.0122979879423585,0,0.152774689448915,0,0,0,-0.071135203569362,0,0,0.360729507824373,0,0,0,0,0.109003274486526,0,-0.0179289089720361,0,0,-0.0898680225271248,0,0,0,-0.010758427841617,0,0,0.117739244688742,0,0,0,8.67361737988404e-19,-0.0267814103603078,0,0,0,0,0,0,0,0,-0.0288318541938232,0,0.129184192678561,0,0,0
X601988.CH.EQUITY,0,0.353778090667206,0.433778270360377,0,0,0,0,0,0,0,0,0,0,0.0458344920427769,0,0,0,0,0,0,0,-0.0416354187545162,0,0,0,0,0,0,0,0,-0.112652917434415,0.0160442115242823,0.106553068733892,0,0,0,0.126121020545702,0,0,0,0.0117027356813497,0,0,0,0.0148409656224868,0,0,0,0,0.0231140956471465
X5.HK.EQUITY,0,0,0,0,0,0,-0.126739052733944,0,0,0,0,0,0,0,0,0,0,0,0,0.783873729777228,0,0,0,0,0.216352666451219,0,0,0.0432412329293493,0,0,0,0,0,0,-0.1110493143363,0,0,0,0,0.270086297107313,0,0.0625016321564046,0.0800850770813732,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.284861895217438,0,0,0,0,0,0.0167453767993847,0,0,0.071188497903825,0,0,1.73472347597681e-18,0.212814728175861,0,0,0,0,0,0,0,0.129459926814883,0.0435630267049927,0,0,0,0,0,-0.0743283045206649,0.00655803165237548,0,0,0,0.132034757149899,0,0,0,0,0,0,-0.0125119742307381,0,0,0,-0.209772994288461,0,0,0,0
X601328.CH.EQUITY,0.172712816368115,0,0.19073987806551,0,0,0,0,0,0.0946150803031567,0.086089587843882,0.117476512668208,0.152118815367008,0,4.33680868994202e-19,0.151397876286952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00883644611019415,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0713260937590138,0,0,0,0,0,0,0,0,0,0.0658018910736974,0,0,0,0,0,0,0,0,0,0,0,0.0895102366368622,0,0,0.606128375192891,0,0,0,0,0,0,0,0,0,0,-0.138991864196834,0,0,0,0,0.0700491434824945,0,0,0,0,-0.0613788842331584,-0.00319510649209755,0
X600036.CH.EQUITY,0,0.17390276466213,0,0,0.0509599707315593,0,0,0,0,0,0,0,0,0,0,0.158386760832535,0.437132390191239,0,0,0,0,0,0,0,0.296942712166146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022826238162205,0,0,0.228895466636535,0,0,0
X601166.CH.EQUITY,0.205285111730606,0,0,0,0,0,0.0716739581991804,0,0,0,0,0,0,0,0,0.00762213280726559,0.255953254938564,0,0,0,0,0.0623188554827227,0,0,0,0,0,0.189862842070381,0,0,0,0,0,0,0,0.0235386821434085,0,0,0,0,0,0,0,0,0,-0.0197945438830969,0,0,0,0
