,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2883.TT.EQUITY,X2884.TT.EQUITY,X601838.CH.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X600015.CH.EQUITY,0,0,0.0411553588404794,0.0379736513186558,0,0.0818325223612359,0,0,0,0,0,0.0227880390015411,0.0791033198368433,0.115902129353322,0.0446737546452217,0,0,0,0,0,0,0.127388180656983,0,0.135902214959348,0,0,0,0,0.01060232397005,0,0.171179499154325,0,0,0,0,0,-0.00850989685658227,0,0,0,0,0.203171307965813,-0.0608597084758558,0.017026349476923,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.155296991364886,0,0,0,0.152257154599657,0,0,0,0,0,0.0243159458302084,0,0.0897023635587646,0,0.112456941440196,0.0837790489443811,0,0,0,0.0165570036855877,0.0340401815274352,0,0,0,0,0,0,0,0,0,0,0.0748220678735333,0,0,0,0,0,0.0145924694032184,0,0,0,0,0,0.126863549084597,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.323893046713251,0,0,0,0,0,0.0735591611659834,-0.108089930077215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093460008558567,0.416834923630531,0,0,0,0,0,-0.00107378966595616,0,0,0,0,0.0512407275378415,0,0,0.0528636586827574,0.110384900147727,-4.33680868994202e-19,0,0,0
X1299.HK.EQUITY,0,0.0566042249637383,0,0,0,0,0.434941222853359,0,0.284502425472536,0,0,0.118174904673063,0,0,0,0.126875762092462,0,0,0,0,0,0,0,0,-0.0455014827043007,0,0,-0.154648329641079,0,0.0125333198595192,0,-0.581954900812398,0,0,0,0.081323910479092,0,0,0.141742552060376,0.0427100232437607,0,0,0,0,0,0,0.0889326627484416,0,0,0
X601229.CH.EQUITY,0.191623309188797,0,0,0,0,0,0,0,0,0,0.109143467837341,0,0.197025371821098,0,0,0,0,0.0565843312617887,0,0,0,0,0.0862829496529775,0.0328844278167475,0,0,0,0,0,0,0,0,0,0,0,0,0.0659692856632234,0,0,0,0,0.339313672471733,0,0,0,0,0,0,0,0.0706052444664992
X600919.CH.EQUITY,0.208707004415362,0,0,0,-0.0323447035405542,0,0,0,0,0,-0.0543380460812663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286054662408889,0,-0.147329303988797,0,0,0,0,0,0,0.108179126638823,-0.00811617880708006,0,-0.13285426768787,0.400210597851201,0,0,0,0.336124800417124,0,0.206020748475503,0,0,0
X601916.CH.Equity,0,0,0,0,-0.10682921812972,0.0574920461909442,0,0,0,3.46944695195361e-18,0,0.0888297190199451,0,0,0,0.13642991374598,0,0.0902519693206869,0,0,-0.0834627400425475,0.391004429517202,0.0640201168751643,0,0,0,0,0,0,0,0,0.120919222718943,0,0,3.46944695195361e-18,0.112073240643078,0,0,0,0,0.0714818384725107,0,0.0974616118593996,0,0,0,0,0,0,0.29745286341032
X002142.CH.EQUITY,0,0,0.194220193426983,0,0,0,0,0,0.193427133339161,0,-0.143924423102329,0.0149028049870327,0,0,0,0,0,0,0,0,0,0,0,-0.00133694556134624,0,-0.046838473423722,0,0.356257851750316,-0.138167096615825,0,0,0.0512053006917964,0,0,0,0,0,0.0883653232803546,0,0,0,0,0,0,0,0,-0.1925270702502,0,0,0
X2882.TT.EQUITY,0,0,-0.0239926182759983,0,0,-0.0025470639928686,0,0,0,0,0,0,0,0,0,0,-0.0120850411120444,0,0,0,0,0,0,0,0,0,-0.0943485591118112,0,0,0.24380447810682,0,0.118871109581137,0,0,0,0,0.0951252072148238,0.231775246244186,0,0.233306284907483,-0.110166626103753,0,0.212793822047454,0.145403556181589,0,0,-0.0039032241675411,0,0,0
X601601.CH.EQUITY,0,0,-0.0573363041658442,0,0,0,0,0.0670481578298881,0,0.175079211002124,0,0.0573452835696431,0,0,0.0152164736496057,0.186927557567553,0,0,0,0,0.0236609668005159,0,0,0,0,0,0,0,0,0.0660216779952149,0,0,0.113051328940648,0,0,0.335067857012183,0,0.0149239681983922,0.0589157302765242,-0.0428968148716841,0,0,0,0,0,0,0,0,0.0350751509684001,0
X601009.CH.EQUITY,0.0130162828057219,0,0,0,0,0,0,0,0,0.242444329452992,0,0,0,0,0.309836017205398,0.159654386251302,0.0785202956636523,0,0,0.043647091134866,-0.0943030805630787,0,0.0228878670083176,0,0,0,0,0,0.123810958956028,0.130375604524447,0,0,-0.0945793708927159,0,0.0326717030837904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,-0.0507564346866794,0,0,0,0,0,0,0.0229801268683749,0,0,0,-0.104089837122315,0,0,0,0,0,0,0,0,0,0.161908853831964,0,0,0.0503609850219866,0,0,0,0,0,0.260732657497262,0.358065537079258,0.134657092066126,0,0,0.182309766132352,0,0,0,0,-0.0809095105719806,0.0413342750460845
X2881.TT.EQUITY,0,0,0,0,-0.116952883030762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35493413142188,0,0,0.157777909322662,0,0,0,0.0568009175217806,0,0,0,0,-0.136804914074113,0,0.19640131429513,0,0,0,0.18919022532012,0.00890882150039545,-0.101098337445714,0,0,0,0
X11.HK.EQUITY,0,0,0.13799777230932,0,0.115680862685433,0,0,0,0,0,0,0,-0.0915259319922417,0,0,0,0,0.112730971979119,0,0.332861637880994,0,0,0,-0.0839106020815057,0,0,0,0,0,0,0,0,0,0,0,-0.0538186741630148,0,0.0540669178590697,0,0,0,0,0,0,0,0,0,0,0.0724516693215399,0
X600926.CH.EQUITY,0,0,0.157654628275384,0,-0.10977209331915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171430162127836,0,0.125146935717361,0,0.348346677979518,0,0,0,0,0.114035955246249,-0.10582133624085,0,0.148827376319862,0.0754155502023642,0,0,0,0,0,0,0.0358939477084614,0,0.0450986483028814,-0.0377154081546544,0.299594920972992,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.24902073690372,0,0,0.133589298958904,0.0653282863830986,0,0,0.00467199512957587,0,0,0,0,0,0,0,0,0.106553802197658,0,0,0,0,0,0,0.291725157482257,0,0,0,0,0,-0.079562317333616,0,0,0,0,0,0,0,0.0212804306257906,0,0,0,0.189246429685527,0.0422941245133876
X601077.CH.Equity,0,0,0,0,0,0.0960882384344564,0,0,0,0,0,0,0.0599223134775941,0.136494712904187,0,0,0,0.0151483940605974,0,0.0637691917677501,0,0,0,0.0424863671546949,-0.0376276984382851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462403046011627,0,0,0.285950523446683,0,0.0161566529148971
X600030.CH.EQUITY,0,-0.00791103218952017,0,0,0,0,0,0,0,0,-0.0780598069081379,0.0393254055204703,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.112398707125635,-0.00651470251542709,0,0,0,0,0,0,0,-0.173860156388297,0,0,0,0,-0.147975609909299,0,0,0,0,-0.0395445801699537,0,0,0.434980284522493,0,0.285568933751329,0,0
X601336.CH.EQUITY,0,0,0,0,0,-0.116184187072123,0,0,0,0,0.00547025708575905,0,0,-0.0297312909092285,0,0.473767222741074,0,0,0,0.114544377125314,0.0666948565693864,0,0,0.0759643227717132,0,0,0.461744286020632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732033135119161,0,0,0,0,-0.0823772610257978,0,0,0.0332895829478149,0
X5880.TT.EQUITY,0,0,-0.091861777174766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131690338204,0,0.269176521763957,0,0,0,0,0.0131200212209304,0,0,0,0,0,0,0.0196552985269838,0,0,0,0.212205269794571,0.420921258395275,0,0,0,0,0,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0.305950516112084,0.0640256596888883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210033666050554,-0.1314506125111,0.0701900616311697,0.363738630975466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305413424877104,0,0,0,0,0,0,0,0,-0.241662008799198
X2892.TT.EQUITY,0,0,0,0,0.0337292819901737,0,0,0,0,0,0,0,0,0,0,-0.0828376687457477,0,0,0,0,0,0,0,0,0,0,0,0,0.177790354428642,0,0.0476660926205935,0,0,0,0,0,0.132385854916659,0,0,0.0796633793865937,0.208367304896814,0,0,0.157618811406595,0,0,0,0,0.149337097590401,0
X2888.TT.EQUITY,0,0,0.191910816734955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498653800082904,0,0,0,0,-0.0390905046973216,0,0.439622167259103,0,0,0,0,0,0,0,0,0,0,0,-0.0376574892310056,0,0,0.256441825191696,0,0.219877935365009,0,0,0,0,0,0,0.0869416496540145
