,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0.412279795678855,0.0442722040113601,0.102838306000113,0,0,0,0,0.109336104041185,-0.0462499428256665,0,0.011074351410288,0,0,0,0,0,0,0,0,-0.09804585494925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926248073035447,0,0,0.0440411724971891,0.0722579910733895,0,0,0,0,0,0,0.112517707936797,0
X601939.CH.EQUITY,0.536244239424324,0,0,0.0906188116620417,0,0,-0.107787549036321,0,0,0,0,0,0,0.410374014885471,0,0,0,0,-0.168050506855823,0,0,-0.000568049449941981,0,0,0,0,0,0,-0.00075165426782747,0,0,0,0,0,0,0,0,0.0820934166132647,0,0,0,0,0,0,0,-0.0167430525438586,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.239068109256417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235488373851227,0,0,0,0,0.0892246048595701,0,0,0,0,0,0,0,0,0.0850100514795075,0.0773654314210525,0,0,0,0.128167624102752,0,0,0,0,0,0,0.111597680226257,0,0,0,0,0
X601288.CH.EQUITY,0.428771164260186,0,0,0,0.267089183792417,0,0,0,0,0,0.0147737552796643,0,0,0,0,0,0.0120454705170474,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0705113338149923,0.0106465795164859,0,0,0,0.0844215068389092,0,0,6.93889390390723e-18,0,0,0,0.0405413351664417,0,0,0.0796310554773709,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.08954157999098,0,0.402388040906008,0,0,0,0,0,0.376487479125572,0,0,0,0,0.229078595785682,0,0,0,-0.0442081450740053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565962192821219,0,0,0,0,0,0,0,0.103739574470042,0,0,0,0,0,0.0545010769428626
X600036.CH.EQUITY,0,0,0.100485156822488,0,0,0,0,0,0,0,0,0.165022513078654,0,0,0,0.192323915749159,0.00345073768109189,0,0,0,0.0575839195531289,0.0435030010069344,0,0,0.109115185672926,0.143657864989676,0,0,0.0423169521415255,0,0,0.0299861824961206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205380668965926,0,0,0.144629599639352,0
X1299.HK.EQUITY,0,0,0,0.104723554693968,0,0,0,0,0,0,0,0,0.21530888789288,0.0977303025575895,0,0,0,0,0,0.0309647731924792,0,0,0,0.0939733832499265,0,0,0,0,0,0,0,0,0,0.023533077420159,0,0,0.218169485392971,-1.38777878078145e-17,0,0,0,0,0,0,0,0.109228809139383,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.044654409128307,0,0,0,0,0,0,0,0,0,0,0,-0.36918116329409,0,0,0,-0.151120962030187,0.366948363837905,0,0,0.611600828463094,0,0,0,0,0.068275032174924,0,0,0,0,-0.290500771145679,0,0,0,0,0.0280221608944868,0,0,0.502455701052985,0,0,0,0,0,0,0,-0.0373984854268729
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278315564545387,0,0.0600027502354172,0.121086489436049,0,0,0,0,0,0,0,0,0,0,0,0,0.0441423344435615,0.129827475988348,0,0,0,0,0,0,0,0.183397911059566,0.033128060176513,0,0,0,0,0.00316871293059832,0,0,0
X601658.CH.Equity,0,0,0,0,0.130657047071099,0,0,0,0,0,0,0,0,0,0,0,0,0.00072819510435149,0,0.131575944021085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15551880302291,0,0,0,0.651458384326102,0.030565302797253,0.0398016292841208,0,0,0,0,0
