,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X601236.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601696.CH.Equity,X601009.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.287039206235393,0,0,0,0,0.197907857335034,0,0,0,0,0,0.254776753598324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548441943587678,0,0,0,0,0,0,0,0.10686741502237,0.0416693711946276,-1.38777878078145e-17,0,0,0.0710227264139133,0
X601939.CH.EQUITY,0,0,0,0.0778204066231458,0.00403113542464838,0,0,0,0,0,0,0,0.174582238998782,0,0.435849836121941,0,0,0,0,0,0,-0.00734174325362468,0,0,0,0,0.0622263062762382,0,0,0,0,0,0,0,0,0,0.0695581862388434,0,0,0,0,0,0,0.159988242507467,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.180289734880425,0,0.00732264632929474,0,0,0,0,0,0,0,0.0756502175618495,0,0,0,0,0,0,0.132928224227166,0,0,0,0,0,0,0,0,0,0,0,0.442361080680374,0,0,0,0,0,0,0,0,0,0,0.0883856481665239,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.370794475994583,-1.38777878078145e-17,0,0,0.392943292876006,0,0,0,0,0,0.0676391599537222,0,0,0,0.0213743662547158,0.0684307223651883,0,0,0,0,0,0,0,0,0.0274689125677829,0,0,0,0,0,0,0,0.0055078712266047,0,0,0,0,0,0,0.0190538185685349,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.300679547680632,0,0,0,0,0,0,0,0,0.29226412069561,0,0,0,0,0,0.00478650611617222,0,0,0,0,0,0,0.03090430637506,0,0.0464388741740447,0,0,0.0963196045823851,0,0,0,0,0,0,0,0,0,0,0,0,0.151214095843509,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.102849342533941,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0206953128461538,0.396182107833824,0,0,0.281454781193676,0,0,0,0,0,0,0.60369574227924,0,0,0,0,0,0,-0.188867526510336,0,0,0,0,0,0,0,-0.192469815554659,0,0
X600036.CH.EQUITY,0,0,0.102606776018342,0,0,0,0,0,0,0,0,0.146318809623111,0,0,0,0,0,0,0.121297499969779,0,0,0,0,0,0,0,0,0,0,0.0231532153412114,0,0,0,0,0,0,0,0,0,0,0.131493826650162,0,0,0,0,0.216169502766834,0.034473567036119,0,0,0.0484056678560274
X1299.HK.EQUITY,0,0,0,0,0,0.152388131235713,0,0,0,-0.0348728995731539,0,0,0,0,0,0,0,0,0,0.0271036317077793,0,-0.031205243082072,0,0.509129631139762,0,0,0,0,0,0,0,0,0,-0.205919565676317,0,0,0,0,0,0,0.412874982968078,0,0.072079440245327,0,0,0,0.0919037264291335,0,0,0
X601628.CH.EQUITY,0.0796656253931382,0.0296879384324403,-1.38777878078145e-17,0,0.127639175751364,0,0,0,0,0,0,0.0768748321358294,0,0,0,0,0,0.28862318316239,0.0380866277080489,0,0.0783081654449537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524116319695664,0,0,0,0,0,0,0.0431942226311073,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,-0.0569597767265485,0,0,0,0,0,0,-0.402655676623651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136771376535515,0,0,0,0,0,0.034167718274926,0,0,0,0,0,0,0.9411071517419,0,0,0,0.0741529459240954,0.60728825994006,0
