,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.370967390815907,0,0.0666747580383926,0.119201250978054,0,0,0.0750282564800618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276534357581823,0.168373212266968,0,0.131947987515196,-0.152988759712467,0,0,0,0,0,0,0,0.161143211368093,0,0,0,0,0,0,0,0,0,0,0,-0.208995531058459,0,0
X601939.CH.EQUITY,0.0852287008166066,0,0,0.345567985763247,0,0,0,0,0,0,0,0,0,0.17611926258489,0,0,0,-0.124533368367833,0,0,0,-0.099632331619008,0.266307716767574,0,0,0,0,0,0,0,0,0,-0.0295350477085875,0,0,0,0,0.262699157093805,0,0,0,-0.075849959427747,-0.000335828315137417,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.11711430285772,0,0,0,0.291246754217431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313093227588418,0,0,0,0,0,0,0,0,0,0,0,0.0800910622925031,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.400198770106548,0.0671573744099376,0,0.279892659541678,0,0,0,0,0,0.161749028528501,0,0.043829733505588,-1.73472347597681e-18,0,0,-0.0394935846512694,0,0,0,0,0,0,0,0,-0.0355615598817098,0,0,0,0,0,0,0,0,0,0,0,-0.0114109624925099,-0.0744975604250955,0,0,0,0,0,0,0,0,0,0.0981132473234891,0
X601988.CH.EQUITY,0,0.177834901706532,0,0.195295994945421,0,0,0,0,0,0.393264054067164,0,0,0,0,0,0,0,0.3258398193847,0,0,0,-0.206059730721462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135996134358126,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.212389392706078,0
X600036.CH.EQUITY,0,0.113247130389498,0.0292141138423188,0,0,0,0,0.0520986898882057,0,0,0,0,0.143762216778672,0,0,0.102063725940683,0,0,0,0,0,0.186688563509392,0,0,0,0,0.398224301456219,0,0,0,0.0274984150744218,0,0,0,0,0,0,0.00605581394893989,0,0,0,0,0,0,0,0,0,0,0.0673346852067176,4.33680868994202e-19
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.134187530393879,0,0.379351058957627,0,0,0,0,1.73472347597681e-18,0,0,0,0.304907570162262,0.0349558205991225,0,0.0180707808120647,0.0393227128460214,0,0,0,0,0,0,0,0,0,0,0,0.062062216492895,0,0,0,0,0,0,0,0,0,0,0,0.0419654252433479,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.13694108030429,0,0,0,0,0,-0.104317690560907,0,0,0,0,0,0,0,0.37511372534486,0,0.173980688522218,0,0,0,0,0.0282588458053087,0,0,0,0.0230312336804178,0,0,0,0,0,0,0.24538008749552,0,0,2.77555756156289e-17,0,0,0,0,0,0.021854997099639,0,0,0
X5.HK.EQUITY,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.492189189928053,0.764202904731679,0.0079926255297584,0.0394845901671004,0.669693923416142,0,0,0,0,-0.0159811449910867,0.0600645337094926,0,0,0,-0.137921628470516,0,0,0,0,0,0,-0.108026060508832,0,0.0664028707010379,0,-0.104151238170057,0.132781883997279,0,0,0,0
X601658.CH.Equity,0,0,0,0.0308939371952475,0,0,0,0,0.0405385716437466,0,0,0,0,0.135447001204496,0,0,0.338903880926233,0,0,0,0.113044857147588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603831993550081,0,0,0.0969751126953106,0,0
