,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.269587674062218,0.0543062992128535,0,0,-0.0123651695336065,0.46336291045601,0,0,0,0.0513028000496545,0,0,0,0,0,0,0,0,0,0,0,0.0909966336453873,0.0349315177066257,0,0,0,0,0,0,0.0854346096748295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.231311956005629,0.00363812033893141,0,0.124386591922181,0,0,0.0936071550055201,0,0,0,0,0,0.0766101235771341,0,0,0,0.116734950718899,0,0,0,0,0,0,0.0262394211046662,0.0100499780823571,0,0,0,0,0.0822202563220697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188437322754221,0,0,0,0
X601939.CH.EQUITY,0.447085555204271,0.345039934542398,0,0,0,0,0.0372475340730521,0.318159824566114,0,0,0,0.0811402787222681,0,0,0,0,0,0,0,-0.200838956628128,0,0,0,0,0,0.024464097724073,0,0,0,0,0,0,-0.228539265763087,0,0,0,0,0,0,0,0,0.0388197222557176,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00808632197276598,0,0,0,0.225440494114646,0,0.0709283255249431,0,0,0,-0.079061858238788,0.171792569416727,0,0,0,0,0,0,0,0,0,0,0.135056821049391,0.151959367592133,0,0,0,0,0,0,0.00567668347876046,0,0,0,0,0,0,0,0.416081127778301,0,0,0,0,0.0247076895170554,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.103755722636659,0,0,0,0.00493014431217044,0.454005051746839,0,0,-0.0254170166925992,0.0339502817206121,0,0,0,0,0,0,0,0,0.167001081821378,0,0,0.0347491954152763,0,0.149085393066889,0,0,0,0,0,0,0,0,0,0,0.0196605506806731,0,0,0,0.0512385948530669,0,0,0,0,0.0199103710206313,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0680169807350208,0.13961106437491,0,0,0,-0.253644255038369,0,-0.134275772607838,0.144920937177645,-0.0536790829564048,0,0,0,0,0,0,0,0,0.219401522102105,0,0,0,0,0,0,0,0,0,0,0.292757280893347,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.214854843090611,0,0,-0.033264129245167,0,0,0,0,0
X601628.CH.EQUITY,0.154629758774417,0,0,-0.0966561132194699,0,0,0,0,0,0,0,0,-0.0536965294547088,0,0,0,0,0,0,0.284369262281212,0,0,0,0,-0.0767688512612354,0,0,0.60853048169213,0.146441805819236,-0.132120176545742,0,0,0.0826388951588454,0,0,0.110317643413608,0,0,-0.0918509228368007,0,0,0,0,0,0.0475728042741018,0,0,0,-0.0194725774454764,0
X601988.CH.EQUITY,0,0,0.0692694216047762,0,0.434315911225317,0,0,0,0,0,0,0,0.149313993843736,0,-0.0290919795333696,0.178661133195362,0,0,0,-0.00373716092190962,0,0,0,0.0689231954301315,0,0,0,0,0,0,0.000251250079549251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.360119235081756,0,0,0,0,0,0,0,0,0.152556695576476,0.0337057373467641,0,-0.11858825747378,0,0,0,0,0.0516723405542204,0,0.358558885465361,0.109668673706913,0,0,0,0,-0.0251813379490262,0,0,0,-0.0823906215903174,0,0.218803269766535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015979978238872
X601166.CH.EQUITY,0,0,0.0843861023548793,0.0653378229817355,0,0,0,0,0,0,0,0.0823005758300808,0.206437033413378,0,0.0197806977136729,0,0,0,0,0,0,0,0,0,0.13586101873764,0.360092138587478,0,0,0,0.00500941206251625,0.00345596115711749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
