,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0,0.267760901633234,0,0.0553159159461914,-0.0126032337860099,0,0.462655096940212,0,0,0,0.0542953387620566,0,0,0,0,0,0,0,0,0,0,0.0906599929094466,0,0.033826351582251,0,0,0,0,0,0,0.085498524933584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.181517113088353,0,0.0189382248415381,0,0,0,0.223572725351838,0,0,0,0,0,0.117553805593904,0,0.010067760838343,0,0.0318617640377045,0,0,0,0,0,0,0,0,0,0,0,0,0.0395760714012669,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.143848791855905,0,0,0
X601939.CH.EQUITY,0.540355170701428,0.317489913626955,0,0,0,0,0,0.1864438900503,0,0,0,0.0470274533071053,0,0,0,0,0,0,0,-0.183478636588832,0,0,0,0,0,0.105106904020564,0,0,0,0,0,0,0,-0.30212087319758,0,0,0,0,0,0,0,0.0720664740173176,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0830962237069931,0,0,0,0,0.471211980674976,0,0,0,0.00500395809754656,0,0,0,0,0,0,0.00604750916394704,0,0.128911184424647,0,0.0436280757891856,0,0,0.180255020073476,0,0,0,0,0,0,0,0,0,0,0,0,0.0114530958469317,0,0.0667385069231374,0,0,0,0,0,0.0405690588365358,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.204723448788922,0.140730084002084,0,0,0,-0.0736488586261035,0.180525981706943,0,0,0,0,0,0,0,0.00359254480840231,0,0.10963009508267,0,0,0.100087427572565,0,0,0,0,0,0.0121019916172232,0,0,0,0,0,0,0,0.379928358977011,0,0,0,0,0,0,0,0,0,0.0311067015885491
X601628.CH.EQUITY,0.0822343050132656,0,0,0,-0.133026896526672,0,0.0130395963530834,0.0466899556901661,0,0,0,0,-0.0905447377202877,0,0,0,0,0,0,0.301936657153687,0,0.111324818991157,0,0,-0.0534424184672,0,0,0.104182795733578,0.635925201527994,-0.157561478390168,0,0,0,0.118174457169712,0,-0.11185538888881,0,0,0,0,0,0,0,0,0.0759733647920628,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0644084712890215,0,0.115394403729478,0,0,-0.19222913239476,0,-0.104119629501199,0.115968647252313,-0.0942096219162895,0,0,0,0,0,0,0,0,0.19617344236589,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.301262103741595,0,0,0,0,0,0,0,0,0,0.199708843381885,0,0,-0.0661762322709498,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0692552005058026,0.434340579603901,0.000563903906508977,0,0,0,0,0,0,0,0.149332710926927,0,-0.0294760461717362,0.180282892906174,0,0,0,-0.00369741565695007,0,0,0.0680633355872347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.165232165954998,0,0,0,0,0,0,0,0,0.131606241904768,0.0231786896476387,0,-0.201716991808556,0,0,0,0,0.288243419563526,0,0.292363147376645,0,0,0.181882092410633,0,0,0,0,0,0,-0.0939655585769458,0.00453211221490207,0,0.105689896327473,0,0,0,0,0.0705580755834609,0,0,0,0,0.0911569847882827,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0450457719224573,0,0.0274395988496302,0,-0.13344297548587,0,0,0,0,0.00651401877584878,0.0563131597898542,0,0,0,0,0,0,0,0,0,0,0,0.0343340193691501,0.495971147103232,0,0,0.106593519212141,0.0768577954733179,0.0365801084807921,0,0,0,0,0,0,0,0,0,0.0814168077309347,0,0,0,0.0279725283953654,0,-0.0289432694508857,0,0,0
