,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601916.CH.Equity,X2884.TT.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929569924577909,0.3817421598701,0.0491553397933824,0,0,-0.109492509273075,0,0,0,0,0,0,0,0,0,0.390668350047037,0.125772115229959,0,0,0,0,0.0118747264891058,0,0,0,0,-1.03279390907528,0,0
X601939.CH.EQUITY,0,0,0,0.377446268799345,0,0,0,0,0,0,0,0.103175245881423,1.38777878078145e-17,0.147748476593327,0,0,0,0,0,0,-0.0602233592177597,0,0.117524680531485,0,0.0204995221482844,0,0,0,0,0,0,0,0,0,-0.019615865887293,0.210928605907996,0,0,0,-0.0463910421618235,0,0,0.0112603744148731,0.192779125737143,0,-0.0538624604438441,0,0,0.0574789227972731,0
X601318.CH.EQUITY,0,0,0,0,0,0.38102826849917,-8.67361737988404e-19,0,0,0,0,0,0.0166335134938579,0,0,0,0,0,0.150594648645359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327641525998065,0,0,0,0,0,0,0,0.0187511165318897,0.0183049367688342,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.268367563624778,0,0,0.275792205077431,0,0.052382480761307,0,0,0,0,0.149154728060623,0,0.0954550703628196,0,0,0,0,0,0.121643467617214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665161562921704,0,0.021333687447869,0,0,0,0,0,0,-0.0821105812861899,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.413088614335029,0,0,0,0,0,0,0,0.447841293024505,0,0,0,0,0,0.451575870178713,0,0,-0.196109508432509,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316235238611065,0,0,0,0,0.154771824449679,0,0,0,0.00389849655313471,0.0313066989477071,0,0.142297363245823,0,0,0
X600036.CH.EQUITY,0,0.110630202987832,-6.93889390390723e-18,0,0,0,0.0881814455608688,0.237846591887546,0,0,0,0,0.22998571784994,0,0,0,0,0.051346284644322,0.0560260611365673,0,0,0,0,0,0,0.256597848212211,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,-0.0144285036506444,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0997138543358531,0,0,0.199203883193465,0,0,0,0,0,0,0,0,0.324747417585577,0.0240272475332427,0,0,0,0,0,0,0,0,0,0.1827495256302,0,0,0,0,0.0337992198465974,0.198709514421185,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.460507253802985,0.0722419814524258,0,0,0,-0.142229025400727,0,0,0,0,0,0,0,0,0,0.0757891339249321,0.0271463544498129,0,0,0,0,0,0,0.198944732767562,0,-0.0517657872512264,0.135715915979723,0,0.0206268173239826,0,0,-0.0409220192627691,0,0,0,0,0,0,0.0539434723696138,-0.0778846950382324,0,-0.0241948238075944,0,-0.0113872819641368,0
X5.HK.EQUITY,0,0,0,-0.131743523348662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212308848961642,0,-0.551037159689976,0.739175671119143,0.0361625620252936,0.601419724290856,0,0,0,0,0,0,0.0603621284064105,0,0,0,0,0,0,0.138476518258634,0,0,0,0.0315044948367402,0,0,0,0,0,0,0.181303521936112,0
X601658.CH.Equity,0,0,0,0.161479467009615,0,0,0,0,0,0,0,0,0,0,0,0,0.0601586381054428,0.167786274782815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427404396045826,0,0,0,0,0,0,0,0,0.111777300546464,0,0.123841399256143,0,0.168743620993055,0,0,0
