,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,-0.0173554754453328,0,0,0,0,0,0,0,0,0,0,0.378478334069725,0,-8.67361737988404e-19,0,0,0,0,-0.143565140789646,-0.235232152048503,0.283544308967462,0,0.00377587785967164,0,0,0,0.800906869310884,0,-0.323936324538602,0,0.226985024390111,-0.018316309543782,0,0,0,0,0,0,-0.0757773478028196,0,0,0,-0.0765255515916965,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.118133874028497,0.212373706903742,0.03139888178434,0,0,0,0.196153612481521,0,0,0.0711863449429115,0,0,0,0,0,0,0,0,0.000232941317081105,0,0.215069586899707,0.205070580717831,0,0,0,0.00829168984069857,0,0,0,0,0,0,0,0,0,0.115106784396825,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0293909023898133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294078851965172,0,0,0,-0.427233669942545,0,0,0,0.703674219909745,0,0,0,-6.93889390390723e-18,0,0.20421715790704,0,0,0,0,0,0.128979036851622,0,0,0,0,0,0,-0.432118176037571
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.267930498068904,0.0605590168084398,0.0411242979710085,0.70263514768492,0,0.15730006418342,0,0,0,0,0,-0.190803946582406,0,0,0,0,-0.927633061979042,0,0,0,0,-0.121827536717934,0.0569135151437259,0.816849837590524,0,0,0,0,0,0,0,0,0,0,-0.119368537755962,-0.0731561329578753,3.46944695195361e-18,0,0,-0.45165849850662,0
X5.HK.EQUITY,-0.133243122678875,-0.387497381943901,0,0,0,0,0,0.150788679782367,0,0,0,0,0,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.216664887369576,0,0.0267235585292445,0,0,0,0,0,0,0,0,0,0,0.0727650922118311,0.466693924753168,0.143140444504686,0,0,0,-0.185195637419753,0,0.155951610039616,0.404639374605935,0,0,0,0,0,0.0513516664650866,0.0909738378631038
X601988.CH.EQUITY,-0.125410303648273,0,0,0.024442551602605,0.557641641914929,0,0,0,0,0,0,0,0,-0.154871360641937,0,0,0,0,0.556367937502116,0,0,-0.160085196493745,-0.128910789219284,0,0,0,0,0,0,-0.0518937152934017,0,-0.241973705003977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132296568929818,0.427079458723694,0
X600036.CH.EQUITY,0,0.101710020566415,0,0,0,0,0,0,0,0.411876132331516,0,0.19032310802334,0,0.07171710814252,0,0,0,0,0,0,0,0,0.11334521953491,0,0,0.170235928825386,0,0,0.00862697875874806,0,0,0,0,0,-0.0645531539426087,0,0,0,0,0,0,0,0.263850857537718,0,0,0.130607921760755,0,0
X1299.HK.EQUITY,0,0.0689905523883298,0,0,0.429009319109383,0,0,0,0.164734281781644,0,0,-0.0469414623438171,0,0,0,8.67361737988404e-19,0.123427141085102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129536887108478,0,0,0.114620049339688,0,0,-0.0892671205718576,0,-0.002055607656822,0,0,0,0,0,-0.0102702617710228,0,0
X601628.CH.EQUITY,0,0.0677912183975715,0,0.0586635002757438,0,0,0,0,0,0,0.0863960221890063,0,0,0.329209754887583,0,0,0,0,0,0,0,0,0,0,0,0.139953974159708,0.193909272909214,0,0,0,0,0,0,-0.003764834526122,0.104943441279989,0,0,0,0,0.127628217312289,0,0,-0.0458373651950469,0,-0.0288986848971389,0,0,-0.084815992730987
X601328.CH.EQUITY,0,0.35252215835744,0.0952089084708984,0,0,0,0.366365254434867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111413621486428,0.00839396927149434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12368448819798,0,0,0,-0.363657870153452,0.201277218979873,0,-0.199361926857378
X601166.CH.EQUITY,0,0,0,0.317584535453631,0,0,0,0,0,0,0,0.366795280923815,-0.000256223266023749,-1.73472347597681e-18,0.124195147040433,0,0,0,0,0,0,0.0597527198192344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166612142682353,0,0,0,0.0217619254235717
X600000.CH.EQUITY,0,0,0,0,-0.0806357852429775,0,0.356523214969128,0,0,0,0.302775789155578,0,0,0,0,0,0,0,0,0,0.122842479067307,0,0,0,0,0,0,0,0,0,0,-0.118601880027972,0,0.04997169986337,0,0,0,0,0,0,0,-0.00278097961684034,0,-0.0183114647076701,-0.145258362960089,0.335408091860165,0.0137718688726289,0.0314506981737018
X601319.CH.EQUITY,0,0,0,-0.104553864347674,0,0,0,0,0,-0.0840940542759974,0,0,0,0.276524554293546,0,0.0212535349040196,0,0,0,0,0.171692610950412,0,0,0,0,0.369959037418664,0,0,0,0,0.0594533376373158,-0.0293059886262538,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.106235503589296,0,0,0,-0.0129687267321554,-0.0738707932159577,0
X601601.CH.EQUITY,0,0.06588452708294,0,0,0,-0.052739917929644,0,0,0.606756180259602,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0343706459853919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675770878954046,0,0,0,0,0,0,0,0,0,0
