,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X600926.CH.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0.0980335632787792,0,0.11955690240024,0,0.0138437914107834,0,0,0,0,0,0,0,0,0.06170645442771,0.171742706058623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033187874229985,0,0,0,0.0913080563621444,0,0,0.0483164298659006,0,0.0399818259002533,0,0,0,0,0,0.0300402901230678,0.0169779788244337,0,0,0
X601318.CH.EQUITY,0,0,0,0.249819509719013,0,0,0,0,0.106673996820482,0,0,0,0.0360169435648528,0,0,0,0.065642220008361,0,0.185787323567587,0,0,0.0341175041986844,0,0,0,0,0,0,0,0,0.0366307107315236,0,0,0,0,0,0,0,0.0185624198680079,0,0,0,0,0,0,0.0825780820287235,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.170102660713591,0,0,0,0,0,0.145393864392891,-0.0277468745589757,0,0,0,0,0,0.0497065713336442,0,-0.0490796861469694,0.536371839649318,0,0,0,0.153637463491174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.039628709733319,0,0,0,0.171931858691569,0.156826260207191,0.126231187584743,0,0,0,0,0.279096258813255,0,0,0,0,0,0,0,0,0.0947763566698024,0.18012112365883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359354010742354,0,0,0.088909021113939,0,0,0,0
X601288.CH.EQUITY,0,0.0808311690058119,0.118773639789841,0,0,0.164851997882785,0,0.262247377938359,0,0,0.00723120475776584,0,0,0,0.144148891035542,0.105476383829778,0,0,0,0,0,0,0,0,0,0.0781873344546814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441568801708292,6.93889390390723e-18,0,0.131545874152484
X601628.CH.EQUITY,0,0,0,-0.0625468478719661,0,0,0,0,0,-0.069747861050806,0,0,0,0,0,0,0,0.00394926941941959,0,0.12074761870986,0,0,-0.0354390633903331,0,0,0,0,0,0.695049058021655,-0.122527352265041,0,0,0,0,0.153422617382195,0,0,0,0,0,-0.0120833049255542,0.0995910458384145,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.264939914695558,0,0,0,0,0,0,0.109699020006709,0,0,0,0,0,0,0,0,0,0.15410879486294,0,0.10135114911432,0,-0.195802509819593,0,0,0,0,0.296771078529541,0,0,0,0.307739110909663,0.167021368728395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.199083578124279,0,0.0757455275822431,0.108133969235465,0,0,0,0,0,0,0,0,0.0706449787441438,0,0,0,0,0,0,0,0,0,0.13964795641395,0.180900615908117,0,0,0,0,0,0,0.0656676922308077,0,0,0,0,0,0,0,0,0,0.29792509729209,0,0,0.00752314869184592,0,0.0726199954403423,0,0.0126881846510444,0,0
X5.HK.EQUITY,0,0.246065806449598,0,0,0,0,0,0.102271130990271,0,-0.0328104811759717,0,0.0548641135955287,0,0,0,0,0,-0.000987224267977359,0.0264943154364487,0,0,0.0313672936439072,0,0.315569375395817,0,0,0,0,0,0,0.176114744686792,-0.154967440365433,-0.0521786473702416,0,0.389154689765959,0,0.0131102516270343,0,0,0,0,0,0,0,0,0,0,0,0,0.0405609594212887
X601166.CH.EQUITY,0,0,0.106171978738263,0.0698684601214254,0,0,0,0,0,0,0.0519025604258824,0,0.187794004735632,0,0.0133435599473769,0,0,0,0,0,0,0,0.126718153467212,0,0,0.378020801512681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0237483646769156,0,0
