,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0907221259817808,0,0,0,-1.73472347597681e-18,0,0,0.221360446378574,0,0,0,0.381903366816478,0,0,0,0,0.130957128774365,-0.186016475152642,0.481964439721517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832424967151383,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.120743165501772,0,0.25689013470255,0.0130103957459721,0,0,0,0,0.152742383530542,0,0.0731559041182848,0.0310207271679666,0,0,0,0,0,0,0,0.0844190533446257,0,0,0.0854247732087529,0.107996271473629,0.0519038377302081,0,0,0.0344071330538519,0,0,0,0,-0.00508502883259724,0,0,0,0.111337663582804,0,0,0,0,0
X601939.CH.EQUITY,0.544943538118134,-0.299945567749491,0,0,0,0,0,0,0,0,0,0,0,-0.0309353073383791,-0.206069356954192,0,0,0,0.175427657432581,0,0,0,0,0,-0.152073739745535,0,0,0,0.189130297851474,0.708744736763192,0,0,0.0622016742302953,0,0.00716772448305972,0,0,0,-0.00243815986906156,0,0,0,-0.0904305774111666,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.272929983046119,0,0.207606169348338,0,0.58451617650061,0,0,0,0,0,0,-0.0995434825925481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224006006373224,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-6.93889390390723e-18,0,0,0,0.110424161067069,0.463051182748328,0,0,0,0,0,0,0,0,0,0.0414222181799443,-0.109769221295986,0.0564087341284627,0,0,0,0,0,0,0,0,0,0.274651835774862,0,0,0,0,0,-0.10551304025729,0,0.0207675810143699,0,0,0,0.260068560739092,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.362211277187991,0,0,0,0.156540593440731,0,0,0,0,0,0,0.0182339871155196,0,-0.215197138183303,0,0,0,0.213541275000745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204453757903159,0.0687877918627874,0,0,0,0,0,0,0,0,0.401775500529389,0
X1299.HK.EQUITY,-0.119427173642799,0.0878176823037426,0,-0.0206916474055789,0.340087046115455,0,0,0,0.0883545619983436,0,0.0677438075595166,0,0,0.345129849829154,0,0.21325071100841,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.134209733430097,0,0.0347335503255203,0,0,0,-0.137541815438147,0,0,-0.00851053815756281,0,0,0,0,0,-0.172615328979252,0,0,-0.0403597016650872,0,0.16132081934805
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.512796849233841,0,0,0,3.46944695195361e-18,0.0674613568249916,0,0,0.296508541982475,0,0,0,0,0.101346442997628,0,0,0,-0.0819353116785383,0,-0.0903661801677127,0.0925477267841732,0,0,0.225275557179521,0,-0.0563290958924752,1.38777878078145e-17,0,0,0,0,0,0,0.0350295969581608,0,0,0,0.113214987387401,-0.0599229230933939
X601628.CH.EQUITY,0,0.207445277088327,0,0.0803901988697004,0,0,0,0,0,0,0,0,0,0,0.132435003305514,0,0,0,0,0,0,0.0264124618980962,0,0,0.186589878067894,0.0942102434467288,0,0,0,0,0.123757156198328,0,0.120065601320824,0.0953663171456638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.710254520101149,0,0,0,0,0,0,0,0,0,0.0845171052321075,0,0,0,0,0,0,0,0,0,0,0,0,0.0144386761252499,0,0,0,-0.194678241238662,0,0,0,-0.0627032127054457,0,-0.00380462263460244,0,0,0,-0.04080041734462,0,0,0.118350630596417
X601166.CH.EQUITY,0.173136484924747,0,-2.16840434497101e-19,0.215828039679401,0,0.0218022449218964,-0.00185121836253599,0,0.0104792024735513,0.149053138201499,0,0,0.293371145707445,0,0,0,0,-0.0714208747408847,0.0429697269318045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152421138828995,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.043830876356556,0,0,0,0.0319269268145488,0,0,-0.206000244148435,0,0,0,0,0,0,0,0,0.322653407365212,-0.101449648911003,0.0598422470585201,0,6.93889390390723e-18,0,0.405858383976248,0,0,3.46944695195361e-18,0,-0.0424565024004616,0,0.0468028781412778,0.214867475208097,0.0852793973635054,0,0,0.0534124972748797,0,-0.0326251324504815,0,0
