,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X2886.TT.EQUITY,X600926.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X601788.CH.EQUITY
X601398.CH.EQUITY,0,0,0.030558832058221,0.244415572447095,0.203612970717671,0,0,0.260910146556243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717562106999765,0,0,0,0.036592798171371,0.0729306988146269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167228349409345,0.0493006469959254,0,0
X601318.CH.EQUITY,0,0,0,0.246926965488487,0,0,0,0.025047498827066,0.0508676158625933,0,-3.46944695195361e-18,0,0.251331883773163,0,0.141997237926697,0,0,0,0,0,0.0256227599019186,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166191601135367,0,0,0.0781481448168393,0.0872136649210698,0.00805074376541078,0,0,0,0.0139004393352263,0,0,0,0,0,0.197197911257563
X600036.CH.EQUITY,0,0,0,0,0,0.103486458110969,0,0,0,0,0.00855610080321004,0,0,0,0,0,0,0,0,0,0,0,0.0759734467224128,0,0,0.0889821790530588,0,0,0,0,0,0.0428562423879787,0,0,0,0,0,0,0.413007831924894,0,-0.0560429045108634,0,0.194009292902023,0.0996546308587246,0,0,0,0.0836847670126691,0,0
X601939.CH.EQUITY,0.553927456155028,0,0,0,0,0,0,0,0.245268223699482,0,0,0,0,0,0,0,0.0158799081559129,0,0,0,0,0,0,0,0,0.0943081348334886,0,0,0,0,0,0,0,0,0,0,0,0,0.122138158053423,0,0,0,0,0,0,0.0629379402061033,0.120877990485773,0,0,0
X601288.CH.EQUITY,0,0.0373708173898576,0,0.247288143310898,0,0,0.0377102417988857,0.445764599803091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864872544443248,0,0,0.0037695251847133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309124696400203,0,0.0483324390311101,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.237987800233673,-0.149956137860732,0,-0.0239644881115693,0.178831801885543,0,0,0,0,0,0,0,0.244577012345047,0,0,0,-0.161129472163035,0,0.0729001639088514,0,0,0,0,0,0,0.0823993968830111,0,0,0,0,0,0,0.180793292965065,0,0.12823677384574,0,0,-0.0366393675755351,0,0,0
X601628.CH.EQUITY,0,0,-0.154755082743736,0,0,0,0,0,-0.0385774587086855,0.0959155567196691,0,0,0,0,0,0,0,0,0,0,0,0,0.0412578013471632,0.0862249320702146,0,0,0,0,0.197411262208265,0,0,0.441742734825669,0,0,0.0294372180595437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0774768029923657,0,0,0,0.454761925765549,0,0,0,0,0,0,0.107767607700334,-0.0726823499573965,-0.0635981647685102,0,0,0.0361947745762022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224163543059051,0,-0.0222442639734621,0,0.0547489847838079,0,0.0327373765352486,0,0.0323698673431728,0,0,0,0,0,0,0,0,0.171166438196636
X5.HK.EQUITY,0,0.357809516118306,0,0.158084192978484,0,0,0,0,0,-0.0641376499755509,0,0.0347997608717406,0,0,0,0,0,0,0,0,0,0.338866139289147,0,0,0.146357892117881,0,0,0,0,0,0,-0.15646067862367,0,0,0,0,-0.0536061269292393,0,-0.0810799262960411,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.280950947896869,0,0,0,0,0,0,0,0,0,0,0,0.10972810954054,0,0,0,0,0,-0.233111776196365,0,0,0,0,0,-0.0230702330104079,0,0,-0.404603002196453,0.0506418644347242,0.0699909404510726,0,0,0.217347920318733,0,0,0,0,0,0,0,0.153970122059653,0.313967394302811,-0.0628601510248267,0,-0.113809994734039,0,0.409662631256153
