,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601009.CH.EQUITY,X5880.TT.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.191654483836088,0,0.343611776729052,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806078208725058,0.168690358429718,0.0839967377848522,0
X601318.CH.EQUITY,0.301281505857493,0,0,0,0,0,0,0,0.081129354478747,0,0,0,0,0,0.242505010942846,0,0.0587458109620207,0,0,0,0,0,0,0,0,0.0787775614744697,0.116341788322876,0,0,0,0,-0.0742099986500842,0,0.0263273507283372,0,0,0,0,0.0872342025940481,0,0,0,0,0.0261193133693699,0,0,0,0,0,0.127837690881837
X601939.CH.EQUITY,0.550162094577904,0,0,0.00632138136802908,0,3.46944695195361e-18,0,0,0,0,0,-6.93889390390723e-18,0.304969261562158,0,0,0,0,0,0,0,0,0,0,-0.0337675475994909,0,0,0,0.0750782790060415,0,0,0,0.00929561645008919,0,0,0,0.0177418225846165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.365978248889255,0,0,0,0,0.284017832013304,0,0,0,0,0.0208162928266437,0,0,0.0233121894531033,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0.204923602941136,0,0,0,0,0,0,0.0722493552619544,0,0,0,0,0,0,0,0.0398325717232299,0,0,-0.0161400436641957
X5.HK.EQUITY,0,-0.0358647148783302,0,0,0,0,-0.0209564571004171,0,0.183252491666425,0,0,0,0,0,0,0,0.590393482452782,0,0,0,0,0,0,0.16356360511396,0.0825967023212064,0,0,0,0,0,0,0,0,0,0,-0.0176651427251705,0,0.0751844642384832,0,0,0,0,0,0,0.026037394815331,0,0,0,0,0
X601988.CH.EQUITY,0.347713080357638,0,0.293181401244603,0,0,0,0,0,0.0453488566083427,0,0,0,0,0,0,0,0.115570164698739,0,0,0,0,0.0589974745023066,0,0,0,0,0.0346808403197258,0,0,0,0,0,0,0,0,0,0.0903533454777051,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.23893783008478,0,0.0192565165186294,0.014010737723711,0,0.101775466478751,0,0.465415153372548,0,0,0,0,0,0,0,0,0.0659164737788174,0,6.93889390390723e-18,0.00035552905656324,0,0,0,0,0,0,0,0,0,0,0.0612391408760631,0,0.0615679256682708,0,0,0,0,0,0,0,0,-0.0982490772026311,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0351267794714362,0,0,0.584889599717527,0,-8.67361737988404e-19,0.0421560752983029,0,0,0,1.38777878078145e-17,0,0.468423389347395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012847232661548,0,-0.181022046666829,0
X601628.CH.EQUITY,0.229214052312442,-6.93889390390723e-18,0,0,0,0,0,0.0149709560636006,0,0,0.186080712179284,1.38777878078145e-17,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0315190211394892,0,0,0,0,0.143221386915722,0,0,0,0,0,0,0,0,0,0,0,0,0.0933780485959146,0,0,0,0,0,0.138783717255695,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222674340208082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136417880821529,0,0,0.403303657851229,0,0,0,0,0,-0.643878427382927,0,0.231164612929118,0,0,0.0490347906494539,-0.207451228427068,0.791095743706437,-0.165793082171818,0.186846991483383
X601166.CH.EQUITY,0,0,0,0,0,0,0.406139960742872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918317654619981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260283982782788,0,0,0,0,0.0752487106141572,0,0,0,0.362149962039142,0.0979989449097377,-0.0338379123166808
X601328.CH.EQUITY,0,0,0.0491156025913784,0,0,0,0,0,0,0,0,0,0.689479853636909,0,0,0,0,0,0,0,0,0.0761174653130929,0,0,0,0,0,0,0,0,0,0.0750102607944118,0,0,0,0,0,0,0,0.0318446051871884,0,0,0,0,0,0,0.0719129315716247,0,0,0
X600000.CH.EQUITY,0,0,0,0.0393125443989926,0,0,0.0294149854742302,0,0,0,0,0.169188760454472,0,0,0.257656890435958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235319112850907,0,0.126599852561146,0.121176117086288,0,0,0,0,0,0,0,0,0,0,0.0795391259013594,0,0,0
X388.HK.EQUITY,0,0,0,0.0301044028236513,0.176724327475887,0,0,0.054603970561397,0.0307176441182562,0.0347241132549043,0,0,0,0,0,0,0,0,0,0.488388592187765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000635403151318198,0.0476477566935976,0,0.104443834516036,0,0,0,0,0,0,0,0.123230157330923,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.271685314138059,0,-0.156898557758647,0,0,0,0.0784956057511114,0,0,0,0,0.116968832676555,0,0,0,0,0,0,0.267105421544908,0,0.244945751399686,0,0,0,0,0,0,0,0,0.156361218216298,0,0,0,0,0,0.0247474012860454,0.0696840859200721,0,0,0,0,0,0,0
