,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601236.CH.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X2884.TT.EQUITY,X600919.CH.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0.0178933253044156,0,0.371188981237683,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.419104714546614,0.0160104437816472,0,0,0,0,0,-0.0905543442762657,0,0,0,0,0,0,0,0,0,0.0698705150725179,0,0,0,0,0.126047794742534,0,0,0,0,0,0,-0.0425815726771064,0,0.133651176407006,0,0,0,0,0
X601939.CH.EQUITY,0.193939850286899,0,0,0,0,0,0,0,0,0,0,0.0291239448438194,0.461457492792187,0,0,0,0.00162847272081148,0.082408190279281,0,0,0,0,0,0,0,0,0,0.16477962971539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525199886670645,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.284258452597274,0,0.0205201955578419,0,0,0.0819452546613523,0,0,0,0,0,0,0.0555514675856873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480279658539068,0,0,0.188821690040413,0.120758135672233,0,0,0,0,0,0,0,0.094705219716813,0,0.0105252571990553,0,0,0,0,0,0.075027274125095,0,0
X601288.CH.EQUITY,0.320672630000043,0.125030393893537,0,0,0.381524476458862,0,0,0,0,0,0,0,0,0.0963521978769146,0.0372826744117521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.168976704932275,0,0,0,0.0181621309448566,0,0,0.165293629793007,0,0.0879885469852788,0,0,0,0,0.0722147328312727,0.0127278640708974,0,0,0,0,0,0,0.207637405102342,0,0,0,0,0,0.0439166583314241,0,0,0,0,0,0,0,0,0,0,0,0,0.185264022271212,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.248153449068971,0,0,0,0,0,0,0,0.448603850474876,0,0,0,0,0,0,0,0.375048349254789,0,0,0.628502489839928,0,0,0,0,-0.580287303345329,0,0.249840891065668,0,-0.354559519762127,0.212698930161723,0,0,0,0,-0.629965157357611,0.190966576288077,0,0,0,0.393516120116002,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0103295372485902,0,0,0.178583492976075,0,0,0,0,0,0.142242399145963,0,0,0,0,0,0,0,0,0,0.0115321825430339,0.258814813852183,0.168169714903575,0,0,0,0,0,0,0,0,0,0,0,0.0413720854823485,0,0.0281020688435197,0.0364619276471844,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0561351356951061,0,0,0,-0.0837790876810048,0,0,0,0,0,0,0,0,0,0,0.0458317584871081,0,0,0.492749309495362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403310333063874,0,0,0,0,0,0.0761672090473976,0,0,0,0
X601628.CH.EQUITY,0,0.262110803314756,0,0.0214654745498285,0.237879076478345,0,0,0,0,0,0,0,0,0,0,0,0,0.054235894476031,0.13368296249132,0,0,0,0,0,0.0959791777405218,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105026006066958
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.270224215345535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227572554902594,-0.098734381357819,0,0,0,0.996551772935802,0,0,-0.0255683510875065,0,-0.0300026908925628,-0.106187350696006,0,0.724512587712486,0,0,0,0,0.247074920904136
X601328.CH.EQUITY,0,0,0,0,0.245070304798577,0,0,0,0,0,0,0,0.00351088444046316,0,0,0,0,0,0.456872340189733,-0.0427962673479235,0,0,0.0188584405053166,0.061704090281591,0,0,0,0,0,0,0,0,0.0335001173297088,0,0.0463721765122577,0.153932444727768,0,0,0,0,0,0,0,0,0.0218561312289892,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.047672996211973,0,0,0.0452344150296705,0,0,0,0,0,0.188565177096013,0,0,0,0,0,0,0,0,0,0,0.0264983561700113,0.375956328278369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448165414906235,0,0,0,0,0,0,0,0.253358647197804
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0321482409916211,0,0,0,0,0,0,0.344037346399102,0,0.00322406716082398,0,0.098359004736854,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0320973428911218,0.120043695728965,0.361030337892867,0,0,0,0,0,0,0,0.0212437882085168,0,3.46944695195361e-18,0,0,0
X000001.CH.EQUITY,-3.46944695195361e-18,0.241606520578748,0,0,0,0,0,0,0.0273710003038331,0,0.0717988102560954,0,0.0961632773855797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405409379643618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00804241602260659,0,0,0,0,0.0335070542126191
