,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601077.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.357523316128286,0,-0.0433087574266298,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0221184129803974,0,0,0,0,0,0,0,0,0.0665114410177618,0,0,0.0452316551504904,0,0,0,0,0,-0.0163037026131883,0,-0.03703133600276,0,0,-0.0127112541823257,0,0,0.209940203906403,0,0.0151439403910511,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.164286622512207,0,0.0437520750425917,0.262655227328581,8.67361737988404e-19,0,-0.0341784423786897,0,0,-8.67361737988404e-19,0,0,0.0758258803858181,0,0,0,0,-0.268439110178516,0.288880936124569,0.207086686308328,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0583619140293928,0,-0.00894895316833686,0,0,0,-0.000420852173470232,0,0
X601939.CH.EQUITY,0.146855287970804,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0836867356669874,0,0,0,0.27287758212496,0,0,0,0,0.175398059095826,0,0.103489085738557,0,0,0,0.0524735686118967,0,0,0,0,0,0,0,0,0,0,0.0196605497976095,0,0,0,0,0.0124008066335014,0.0586880085312797,0,0
X601288.CH.EQUITY,0.282486641240314,0.0727129892467659,0,0,0,0,0,-0.0307898707614626,0,0,0,0,0,0,0,0,0,0,0.0419265425759443,0,0,0,0.0576354256691723,0,0.109271361650181,0,0,0,0.0167560120834837,0.160086778829712,0.30827254770117,0,0,0,0,0.0206676361020292,0,0,0,0,0,0,0,-0.0771394734672824,0,0,0,0
X5.HK.EQUITY,0,-0.154855104510393,0,0.428621896382156,0,0,0,-0.170780099954489,0,0,0,0,-0.154849039845201,0,0,0,-0.0354046329119242,0.214592086252459,0,0.396498082330516,-0.163888617607324,0,0,-0.0535278196739519,0,0,0,0,0,0,0,0.394785485273788,0,0,0,-0.0715490804124953,0,0,0,0,0,0,0,-0.0236952420400403,0,0,0,0
X601988.CH.EQUITY,0.0522532469443825,0,0.107661450027129,0.152631788189654,0,0,0,0,0.12923229003967,0.156393113792573,0.0427314581315304,0,0,0,0,0,0,0,0,0,0.404315571317282,0,0,0,0,0,0,0,0,0,0.109068391388879,0,0,0,0,0,0,0,0,0,0,0,-0.18016821456588,0,0,0,0,0
X600036.CH.EQUITY,0,0.37518441124242,0,0,0,0,0,0.0142401577995214,0,0,0,0.326286878837983,0,0,0,0,0.0171365086105578,0,0,0.187257190068285,0,0,0,0.198235147402275,-0.00818840937672933,0.0237989413028622,0,0,0,0.0163854923169978,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0428345546997643,0,0,0,0,-0.101355913946373,0,0
X1299.HK.EQUITY,0,0.0269168036577469,0,0,0,0,0.0361939033958103,0,0,0,0,0,0,-0.104936166611558,0,0.258413601855064,0.195548994465135,0,0.11672461765743,0.0770055751326176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104098481616833,0,0,0,0,0.144200706904176,0,0,0,0,1.73472347597681e-18,0,0,0
X601628.CH.EQUITY,0,0,0.0288477104275361,0,0.0266991357289075,0,0,0.0501795839973761,0,0.0874135818888098,0,0,0,0,0.0650424950476806,0,0,0,0,0.0823584803499298,0,0,0,-0.104815357955624,0.0333194316906261,0,0,0,0,0.344711265028608,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0589904252470048,0,0,0.182318174203687,0,0,0.0218171044855392,0,0,0,0,0,0.200199030175876,0,0,0,0,0,0,0,0,0.425449404021497,0.214888421546448,0,0,0,0,0.174051733485313,0,0,0,0,0,0,0,-0.0380004528322833,-0.0738078828857155,0,0,0,0,0,0,0,0,0
