,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X601788.CH.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X601916.CH.Equity,X2884.TT.EQUITY,X601236.CH.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0608164605916813,0.0865245884562434,0,0,0.016801064260286,0,0,-0.00763180035202846,0,0,0,0,0,0,0,0,0,0,0.39638988740471,-0.153133117422789,0,0,0,0,0,0.200297881850036,-0.270404108225611,0,0,0,0,0,0,0,0,0,0,0,0.0582906456033768,0,-0.128528455864537,0,0,0,0,0.0612413177945124,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.209567049723359,0,0,0,0,0,0,0.0472275440873383,0,0,0,0,0.199742947949362,0,0,0,0,0,0.0652069934672843,0,0,0,0,0,0.324153108606814,0,0,0,0,0,0,0,0,0.183445762788327,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.691629393235581,0.00334758737766082,0,0.0680670214553507,0,0,0,0,0,0,0,0,0.017670746119734,0,0,0,0,0,0,0,0,0,0,0,0.0370922471809406,0,0,0.0273394802398366,0,0,0,0,0.0359833550680218,0,0,0.0294718363360761,0,0,0,3.46944695195361e-18,0,0,0,0.137531001581219,0,0,0
X601288.CH.EQUITY,0.084556015177753,0,0.774141875467921,0,0.00877909708074158,-0.0477701095095841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680078912278395,0,0.0121568058406985,0,0,0,0,0,0,0.0937958121023319,0,0,0,0,0,0,0,0,0,0,0,0,-0.118474823429598,0.123224101083787,0,0,0
X601988.CH.EQUITY,0,0,0,0.0903924988748908,0,-0.0850327031753909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0621600740420979,0,0,0,0.00858943233839998,0,0,-0.0707211506130052,1.01068515187647,0,0,0,-0.0853758749233018,0,0,0,-0.0310218431590206,0,0
X601628.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0,0.0121035192908023,0,0,0,0.595259290779261,0,0.12870677671635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189326261171731,-0.190730782163094,0,0.228740399340779,0,0,-0.0709491652447377,0.155253888922154,0,0,0,0.186780103229785,0,0,0,0,0,0.0630161023486348,0.0964482103235919,0,-0.0128898773516208,0,-0.062070727531615
X600036.CH.EQUITY,0,0,0.392706702076966,0,0,0.000812224714579147,0,0,0.00106255931594662,0,0,0,0,0,0,0.151092864475487,0,0,0,0,0,0,0,0.171770500016766,0,0,0,0.214021374140991,0,0,0.0235048352921067,0,0,0,0,0.0416519619807511,0,0,0.0509131568715807,0,-8.67361737988404e-19,0,0,0,0,0,-0.0301258925333999,0,0,0
X1299.HK.EQUITY,0,0.334235036852974,0,0,0,0.0283206950641603,0,0,0.193306905257429,0.281355293434602,-0.0229376648004557,0,0,0,0,0,0,0,0,0,-0.117974117587662,0,0.0394686014876441,0.320351934878427,-1.73472347597681e-18,0,0,0,0,0,0,-0.176570736477176,0,0,0,-0.0168276967936178,0,0,0.0180776661624368,-0.0144264413610602,0.234344032531849,0,0,0,0,0.263710039091447,0,0,-0.0397405778241812,0
X5.HK.EQUITY,0,0.366511067159732,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10867943768273,0,-0.120009296985131,0.0109780787596708,0,0,0,0.524760399872893,0.0936176771291449,0.0780421802295262,0,0,0,0,0,0,0,0,0,-0.22190226107683,0.27801151757299,0,0,-0.00820520464985862,0,-1.73472347597681e-18,0,0,0,0.17195274205719,0,-0.138128890807514,0,0,-0.256647117552887
X388.HK.EQUITY,0,0,0,0,0,0.303492880033917,0,0,0.322627822738477,0,0,0,0,0,0,0,0,-0.19512002444127,0.0141813910191965,0,0,0,0,0,0.174637163293093,0,0,0,0,0,0.104050743740631,0,0,0,0.160671978473042,0,0,0,0,0,-0.241819876578256,0,0,0,0,0,0,0,0,-0.0491446688721061
X601658.CH.Equity,0.0551594895220608,0,0,0.209964881375064,0,0,0,0,0,0,0,0,0,0,0,0,0.155910481511513,0.151921575322153,0.0358398630742856,0,0,0,0,0,0.0470944290787325,0,0,0,0,0,0.0925919652621258,0,0,0,-0.0435455497943424,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0
