,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0,0.499685460709658,0,0,0,0.0132099274938469,-0.0349694168412209,0,0.00748928590252571,0.106691176288283,0,0.0784538940721128,0,0.142988267108518,0,0,0,0,0,0,0,0,-0.0316588034868961,0,-0.0737875254286578,0,0.135742308796572,0,0,-0.0227814621122538,0,0,0,0,0,0,0,0,0,0,0,0,0.0712340854946372,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.074943230499944,0.0686748019445101,0.0823075184056206,0,0,0,0,0.329793481739951,0.0815667358543908,0,0,0,0,0,0.121781633764007,0,0,3.46944695195361e-18,0,0,0.153313555114693,0,0.0206085716951315,0.0188010084978368,0,0,0,0,0,0,0,0.0884939234829953,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.273790786048562,0,0,0.377053895916465,0,0.101331540463975,0,0,0,0,0,0,-0.0194271036694334,0,0,0,0,0,0,0,0,0,0.0913024925132166,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0271932771277445,0.0332806947792236,-0.0289547559029468,0,0,0,0,0,0.086314251498614,0,0,0.0778570436732296,0
X601288.CH.EQUITY,0.119957664753984,0.0149971264044944,0.282128231401972,0,-0.0218987253544764,0,0,0,0,0.00688697344221784,0,0,0,0,0,0,0,-0.0273208345386395,0,0,0,0.215697983733019,0.258707350623354,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0594158505095834,0,0,0,0,0.100886083835988
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0957755050490246,0,0,0.189159044641758,0,0.0147641388823642,0,0,0.0254247697146699,0.177139032804445,0.137048860323588,0,0,0,0.105662097851052,0,0,0,0,0,0,0,0,0,0,0,0,-0.13949979730612,-0.160248729854842,0.199805286516939,-0.114402814504834,0,0.43802549827362,0,0,0,0.012545100069323,0,0,-0.0526389115040984,-0.0711547721286981
X601988.CH.EQUITY,0.0779487838141469,0,0.156561342180589,0,0.0253260056747701,0,0,0.0156781723163631,-6.93889390390723e-18,0,0,0,0.0878417483229179,0.138826345425523,0.160042210312082,0,0,0,0.456844906314101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476052199801128,-0.0303963200561485,0,0,0,0,0,0,0,0,-0.00889136046830983,0
X600036.CH.EQUITY,0,0,0,0,-0.0634362375953222,0,0,0,0,0,0,0.00330475158997233,-0.0251496061271688,0,0,-0.022853306213915,0,0,0,0,0,0.774948671757633,0.0806570220191296,0,0,0,0,0,0,0,0,0.150633441981468,0,0.0406771746780491,0,0,0,0,0,0,0,0,0,0,0,0,0.0654605614092416,0
X1299.HK.EQUITY,0,0.10491109550742,0,0,0.177263303924112,0,0,0,0,0.0967193013156668,0.22228493568901,0,0.227951534917333,0,-0.0538532728060225,0,0.286583788928831,0,0,0,0,0,0,0,-0.0134218363746251,0,0,0,0,0,0.280460301402161,0,0,-0.135736048510474,0,0,0,0.0734098388036066,0,0,0,0,0,-0.495737630115464,0,-0.227493583074814,0,0
X601628.CH.EQUITY,0,0.15027410477614,0,0.000632906950626175,0,0,0.00570766735506639,0,0,0,0,0,0,0,0.0775897560416877,0,0,0,0,0,0,0.166956263461301,0,0,0.36558342486434,0,0,0,0.207725575078455,0,0,0.0111600745357719,0,0.0302681431973485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0230127804039215,0.219093122927231,1.0842021724855e-19,0,0,0.0864891132921679,0,0,0,0,0,0,0.192871719374569,0,0,0,-0.0364706116167997,0,0.267555580661751,0,0,0.0621205364312036,-0.0254810563807695,0.00394478319840689,0,0,0.194947647472847,0,0,0,0,0,0,0,0,0.0712137893010288,0,0,0.0184099826269164,0,0,0,0,0,0.0197085151687873,0.0136074713868925,0
