,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601077.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0.328467954071633,0,-0.0634973447258248,0,0,0.0798857370985119,0,0,0,0,0,0,0,0,0,0,0,0.0396943294074794,0,0,0,0,0,0,0,0,0,0,0,-0.0404488063678264,0,0,0,-0.00333242740630142,0,0,0,0.185734692436349,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.177679761111559,0,0,0.268850927755469,-0.00325898634080373,0,0,0,0,0,0,0,0.0550460613328952,0,0,0,0,-0.2373643300686,0.275517694956324,0,0.188450127925594,0,0,0,0,0,-0.00766448045716366,0.0819529612292924,0,0,0,0,0,0,0,-0.0226223725391107,0
X601939.CH.EQUITY,0.457098394432625,0,0,0.0459220574296918,0.104469096170342,0,0,0,0.0419595143671772,0,0,0,0,0.154003775513825,0,0,0,0.0283343325388478,0.132408395964039,0.0132946261793624,0,0,0,0,0,0,0,0,0.308248043383124,0,0,-3.46944695195361e-18,0,0,-0.141865066348912,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.349668765689527,0.023002106075435,0.0569842661328194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719173961437064,0,0,0,0,0,0.0184248487221235,0,0,0,0.105345412422362,0,0,0.293889115710661,0,0,0,0,0,0,0,0,0,0.199118828351845,0,-0.025125893238523,0,0,0,0
X5.HK.EQUITY,0,-0.190071055115122,0,0.181137694318868,0,0,0,-0.176912832484844,0,0,0,0,0,0,0,0,-0.128263035171512,0.295842191679671,0,0.415165888343072,0,0,0,0,0,0,0.039806555471535,0,0,0,0.27719702365351,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105228385239117,0,0,0,0
X601988.CH.EQUITY,0,0,0.212199728480546,0.156778474830536,0,0,0,0,0,0.202953309516373,0.146934333755115,0,0,0,0,0,-0.0749114476978856,0,0,0,0.488383017367155,0,0,-0.0283241667407786,0,0,0,0,0,0,0.0216084159700585,0.0245957129642747,0,0,0.0741477851342016,0,0,0,-0.0355281177508416,0,0,0,-0.225279291606687,0,-0.00783090157076369,0,0,0
X600036.CH.EQUITY,0,0.408254411531172,0,0,0,0,0,0,0,0,0,0.0982410439448459,0,0,0.0335388786304322,0,0.0367995138601646,0,3.46944695195361e-18,0.22293543651014,0,0,0,0.24432868640038,0,0,0,0,0,0.0240543238245952,0,0,0,0,0,0,0,0,0.0283628817539545,0,0,0,0,0.100415172441134,0,-0.0102225151260278,0,0
X1299.HK.EQUITY,0,0.198630486671801,0,0,0,0,0.102976957754454,0,0,0,0,0,-0.0639961046413427,-0.169277351136599,0,0.29402063669166,0.291768350753255,0,0.103048339756468,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442487463688862,0,0,0,0,0,0,0,0,0,0.0128252244736248,0,-0.01007558054381,0
X601628.CH.EQUITY,0,0.166007898776811,0,0.619766560909581,0,0,0,0,0,0.0233430878240421,0,0,0.129019063012206,0,0,0,0,0,-0.113194271069629,0,0,0,0,-0.194461954753547,0,0,-0.0219104844449669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601641177568163,0.0600967876823522,0,0
X601166.CH.EQUITY,0,0,0.0207644976749163,0,0,0.155599385266281,0,0,0.0928098715413906,0,0,0,0,0,0.205067370853415,0,0,0,0,0,0,0,0,0.495465444385453,0.195523669344506,0,0,0,0,0.238824734200817,0,-0.155732528971936,0,0,0,0,0,0,-0.00219167831293667,0,-0.121668957867949,0,0,0,0,0,0,0
