,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X2884.TT.EQUITY,X600926.CH.EQUITY
X601328.CH.EQUITY,0.154350892171706,0,0,0.0738648211616941,0,0,0.00702249493965811,0,0,0,0.0620447962801862,0,0,0,0,0.0978465041241719,0,0,0,0.383513456292998,0,0,0,0,0,0,0,0,0,0,0,0,0.010133400006456,0,0,0.0794736517517673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.103554581295825,0,0,0,0,0,0,0,0,0.0852112547310911,0,0,0,0,0,0.375581617801996,0,0.0882639786797092,0,0.186111701088118,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0657778488614154,0.221902629405911,0.0383685415589689,0,0,0,0,0,0,0.094927975297491
X000001.CH.EQUITY,0,0,0,0,0,0.230196343292789,0,0,0,0,0.0703512354882102,0,0,0.0246912845482414,0,0.0465107920545636,0,0.00128160300961005,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0.182672333948835,0,0.138138334855287,0,0,0,0,0,0,0,0,0,0,0.0937256771429713,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.191957833502664,0,0,0,-0.0172425751276153,0,-0.0148976176453175,0,0,0.00948009938294481,0,0,0,0.0206217152875255,0,0.14185202845061,0,0.103526770429761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361587612370616,0,0,0,0,0,0,-0.0507978667651466,0.0466358801616247,0,-0.0168978957167755,0,0
X601601.CH.EQUITY,0,0,0,0,0.263110476751249,0.136078906858815,0,0,0,0,0,0,0,0,0,0,0,0.426398747950489,0,0,0,0.103146253431674,0,0.149166346625987,0,0,0,0,0,0,0,0.0171197148523183,0,0,0.221740732948279,0,-0.172588172905223,0,0,0,0,0,0,0,0.00824048689394476,0,0,0.19059579778236,0,0
X600016.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0,0,0,-0.262310484234792,0,0,0,0,0,0,0,0,0,0,0,0,0.236406337212735,0,0,0,0,0,0,0,0,0.00271793995241312,0,0,0,-0.129945723495586,0,0,0.0633158005014604,0,0,-0.106284034778179,0,-0.0411667687029238,0,0.645305455130644,0,0,0,-0.0648701095255148,0.0848683324781955
X601998.CH.EQUITY,0.198514599377852,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494231610616925,0.0161158779519367,0,0,0,0,0,0,0,0,0,0,0,0,0.328661922187153,0.50872290941196,0,0,0.0655211998427878,0,-0.0988715261727028,-0.048198301709179,0,0,0,0.0039943018460432,0
X002142.CH.EQUITY,0,0,0,0,0,0.16611989772335,0,-0.142615440761865,0,0.11831002468402,0,0,0,0,0.00592468928295831,0,0.0593311658822999,0,0,0,0,0,0,0,0,0,-0.207042940675261,0,0,0,0,0.667330158680171,0,-0.130193486305564,0,0,0,0,0,0,0,0,0.14562289597337,0.0885858430880579,0.164645631716243,0,0,0,0.0346517987508086,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.259337628374286,0,0,0.0283243675880536,0,0,0,0,0,0,0,0,0,0,0,0,0.0414344623120123,0,0.293077943050457,0,0.198038221997564,0,0.00144587404350972,0,0,0,0,0.151219979850735,0.0371636949979519,0,0.042570036320454,0,0,0,0.0174748730606786,-0.191603802222223,0,0.0114861681057224,0.0600760792188289,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.115258719504145,0.402664377023786,0,0.185330827888398,0,0,0,0,0,0,0,0.0463879560519714,-1.73472347597681e-18,-0.203976782408016,0,0,0,0.157174512013049,0,0,0,0,0,0,0,-0.0134936640865165,0,0.0369004531303075,0,-0.0370391027295716,0,0,0,0,0,0,0,0.0102068316421394,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,4.33680868994202e-19,-0.0493391384755949,0,0,0.101385000894142,0,0,0,0,-0.121383615743021,0,0,0,0,0,0,0,0,0,0,0.346582825915879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119182149548202,0,0,0,0,0,0,-0.0725222880100782,0,0.179239870129625
X601818.CH.EQUITY,0,0,6.93889390390723e-18,0.00695330247535407,0,0,0.0572879551903409,0,0,0,0,0,0,0,0,0.0773898298541648,0,0,0.0142727540920945,0,0,0,0.0562458188847044,0,-4.33680868994202e-19,0,0.144391420358304,0,0,0,0,0,0,0,0,0.1020483242496,0.0158362980655424,0,0,0,0,0,0,0,0,0,0.258832838919654,0,0,0.0256869820868991
X267.HK.EQUITY,0,0,0,0,0.147948330053563,0,0,0,0,0.151719666413468,0,0,0.094252941125834,0,0,0,0,0,0.194387267908791,0,0,0,0,0,0.468308011945499,0.14844443996824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030074850184046,0,0,0.0606845547153631,0.0720507135575758,-0.106389541431686
X601688.CH.EQUITY,0.0665269357598582,0,0,0,0,0,0,0.0207706952428112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185830094539876,0,0,0,0,0,0,0.276187710299544,0.371625937687533,0,0,0,0,0.0140778860382842,0.0586630196489412,0.111153879112907,0,0,0,0,0.0525843460106905,0,0,0,-0.00629996157124138,0,0,0
X600999.CH.EQUITY,0,-0.0190602810061328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365805616086152,0,0,0,0,0,0,0,0,0,0.17188261008549,0,0,0,0,-0.0213268771594606,0,-0.0142884934952311,0,0,0.0304795925831777,-0.0385588637616158,0,-0.0869660041314783,0.13172503847565,0,0,0,0,0.555912633104186,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0.00191225379647121,0,-0.0101821377626491,0.189884538039403,0.00564363074969462,0,0,0,0,0,0,0,0,0,0,0.0829274174725539,0.0445988387532115,0,0,0,0.565097102941745,0,0,0,0,-0.0252111189773012,0,0,0,0,0,0,0.0921971449400447,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0234844122751529
X601211.CH.EQUITY,0,0,0,0,0,0,0.020579144162853,0,-0.106082750825544,0,0,0,0,0,0,0,0,0.249160651125985,0,0,0,0,0.158587501038456,-0.0599952717754742,0,0,0,0.211466769241867,0,0,0,0,0.0566575237300812,0.0596643970846493,0,0,0,0,0,0.0584398365299918,0,0,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201648904054117,0,0,0,0.111894955866414,0,0,0,0.0569941480944076,0.265834622309638,0,0,0,0,0,0.0421578071210056,0,0,0.127143264007731,0,0,0,0,0.080658328507423,0,0,0,0,0,0.0962617875441047,0,0.1063594696134
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.268465977847405,0,0.115354654011934,0,0.0462221973436328,0,0,0,0,0.00433506450937928,0,0,0,0,0,0,0,0,0.112310706113778,0,0,0.169930397173502,0,0,0,0,0,-3.46944695195361e-18,0.0361891706972183,0,0,0.0834613367351927,0,0,0,0.210937630095355,0.048142882502769,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291122479322092,0,0,0,0,0,0,0,0,0.280336812273191,0.193715810342783,0.0473435283078491,0,0,0,0,0.0470137274318471,0.0159638920169555,0,0.0142147150045861,0.0779767673091062,0,0,0.0580954623978692,0,0,0.0777884993917065,0,0,0
X2882.TT.EQUITY,0.0696829614822288,0,0,0,0,0,0,0,0.162748476801587,0.160183661491923,0.234610167578207,0,0.285881462954139,0,0,0,0,0,0.124746485722631,0,0,-0.0583524855030322,0,-3.46944695195361e-18,0.0462987856556792,-0.229331132542667,0,-0.0969233358944751,0,0,0,-0.0716808703469042,0,0,0,-0.140011347722448,0,0,0,0,0.67661287580509,0,0,-0.039994379236242,0.115372362425514,0,0,0,0,0
X601229.CH.EQUITY,0.297227064107878,0,0.229531072114493,0,0,0.109506888979674,0,0,0.248163652238872,0,0,0,0,0,0,0.112584492269742,0,0,0,0,0,0,0,0,0,0,-0.138436592868863,0.00951309573138654,0,0,0,0.156136773207307,0,0,0,0,0.0284683633048005,0,0,0,0,0,0,0,0,0,-0.369328992215025,0,-0.0432668292265306,0
X600918.CH.Equity,-0.0290922183913766,0,0,0,0,0,0,0.00382655432429643,0,0,0,0,-0.00902714869796958,0,0,0,0,0,0,0,0,-0.142602473334904,0,0,0,0,0,0,0,0.279804369156909,0,-8.67361737988404e-19,0,0.0755846303060151,0,0,0,0.0956165501255216,0,0,0.0841312809073687,0.0585164600271609,0,0,0,0,0,0.250868642693494,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453033620486389,0,0.162289742938281,0.0518557742001654,0,0,0,0,0,0,0.0654654223072547,0.00105929512209892,0.210110371901035,0.11114016622748,0,0,0.0234386944151851,0,0,0,0,0,0,0,0.035864091476542,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0.686298638012317,0.0527418221084971,0,0,0,0,0,0.131490156973856,0,0,0,0,0,-0.0229308314473557,0.0894677335064345,-0.0219436849334517,0.0473821749453238,0,0,0,0,0,-0.0493549597052606,0,0,0,0.0243555404788459,0,0,0,-0.000906060732949667,0.0296697876175004,0,0,0,0,-0.0245026996684629,0,0,0,0,0,0,0
X601881.CH.EQUITY,0,0,0,0,0,0,0.0337256604888634,0,-0.10711254526504,1.73472347597681e-18,0,0,-0.00146863361325004,0.0564488714003928,0,0,0,-0.108267004286868,0,0,0,0,0.0196726510316584,0,0,0,0,0.425842908869784,0,0,0,0,0,0.405484745553841,0.0356837775212685,-0.0105984392065057,0,0,0,0,0.00437493624865194,0,0,0,0,0,0.143002160023984,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,-0.139079503178682,0.000806306770599457,0,0,0,0,0,0,0,0.022258434175544,0.0262311916285507,-0.120837437427222,-0.253760183746113,0,0,0,0,0,0,-0.0878720216106018,0.191618799769698,0,0,0,0,0,0.147884917228355,0.267337766205504,0.604793857577316,0,0,0,0,0,0,0,0,0,0.113870379995336,0.0209431685581137,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.106341905996737,0,0.0610249373051373,0,0,0,0,0,0.216082037411311,-0.0235792360632546,0,-0.0232089215994122,-0.0441211758596084,0,0,0,0,0,0,0,0,0,0.0521121428124659,0,0,0.115915025133667,0,-0.0228318860050618,0.0740673585238972,0,0.193620517043193,-0.0591595644123222,0,0.523413931716103,0,0,0.00740127847372166,-0.0223995578952817
X2886.TT.EQUITY,0,0,0,0,0,0,0,0.28226968501789,0.0628393301726318,0,0,0,0,0,0,0,0,0,0,0,0,0.494233875395849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839554326123373,0,0,0,0,0.173527433309072,0,0,0.0592770407297231,0,0,0,0,-0.598291411321168
X601788.CH.EQUITY,0,0,0,0,0,0,0,0,0.0482068218515542,0,0,0,0,0,0,0,0,0,0,0,0,-0.0786672895787949,0.179809611279471,0,0,0,-0.0634224456633673,0,0,0,0.0997987116123541,0,0,0,0,0,0.126076581748416,0.576606306497521,0,0,0.0639355831205655,0,0,0,0,0,0,0.112677397445471,-0.074994724697825,-0.201733337042207
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24840886489291,0,-0.241823310259954,0,0,0,0.818028399204027,0,0.0239602046879895,-0.135404316351683,0.188215526941931,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,-0.0779022119670799,0,0,0,0,0.35766539949115,0,0.0753036961030972,0,0,0,0,0,0.0608586344050161,0
X601009.CH.EQUITY,0,0,0,0,0,0.0582456045025578,0,0.0609593025267063,0,-0.179810744890713,0,0,0,-0.109552138930586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133619083565549,0.0767024655716452,0,0,0,0,0,0,0,-0.014407284912309,0.806774991854162,0,0,0,0,0,0,-0.0622054401420746,0
X601916.CH.Equity,0,0,0.334114527753887,0.346512660719108,0,0,0.0447458238036932,0,0,0,0,0,0,0,0,0,0,0.0939732378109595,0,0,0.0512960304984176,-0.0333114719650547,0,0,0,0,0,0,-0.0537917426280653,0,0,0.120695527185775,0,0,0,0,0,0,0,0,0,0,0,0.0667361855929687,0.0687682970464502,0,0,0,0,0
X601696.CH.Equity,0,0,0,0,0,-0.0606396332100656,0,0,0,-0.022145218268992,0,0,0,0,0,0,0,0,0,0,0,0,0.118016841387492,0,0,0,0,0,0,0,0,0,0,0,-0.0166801917319802,0,0.18063853043696,0.339344612378822,0.19602665808983,0,0,0,0,0.0109019352697372,0,0,0,0,0.131590624432699,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0204521968757853,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0845783088052945,0.125594458468832,0,0,0,0,0,0,1.04718364984081,0,-0.425121929964811,0,0,-0.102305734147102,0,0,0,0,0,-0.0120632648002106,0,0,0,-0.090128374433398,0,0,0,0.127073887661725,0,0
X600926.CH.EQUITY,0,0,0,0,-0.133855719361665,0.0665408519627311,0.0938266376854014,0,0,0,0,0,0,0.237652166841788,0,0,0,0,0,0,0,0,0,0,0.188493827144413,0,0,0,0,0,0,0,0,0,0,0.15378326181457,0,0,0,0.11052944276055,0,0,0,-0.0481646386243678,0,0,0,0,0,0
