,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X000001.CH.EQUITY,X601628.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.0141588950960094,0.366039111774924,0.306346698089764,3.46944695195361e-18,0,0,0,0,0,0,0,0.0268852550442462,0,0,0,0,0,0.0324414195158993,-0.0816234503425784,0,0,0,0.225205720690887,0,0,0.118492953316034,0,0,0,0,0,0,0,-0.117788681203708,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.160450209854439,-0.0349638687781814,0,0.102289608540009,0,0,0,0,0,0,0.217491519737189,0.136218060183099,0,0,0,0.00582618406412575,0,0.184241168503124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.340748128277395,0.178406698767244,0,0,0,0,0,0,0,0,-0.00164934429054774,0,0,0,0,0,0,0,0,0,0,0.0569050158253551,0,0,0,0,0.128358875773957,0,0,0,0,0,0,0,0,0,0,0,0,0.0792730366686999,0,0,0,0,0,0,0,0,0,0.152436640263661
X601988.CH.EQUITY,0.0478687422711826,0,0.471722837835346,0,0.102524178443278,0.144412817319227,0,0,0,0.10617971976805,0,0,0,0,0,0,0,0,0,0,0.171259500188465,0.0067622843124082,0,0,-8.67361737988404e-19,0,0,0.160161730059749,0,0.0695043983281764,0,0,0,-0.107069731019385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.408042078351296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111516396928004,0.71612576772551,0,0,0,0,0,0.280693475876948,0,-0.132614739915817,0,0,0,0.127949096735954,0,0,0,0.0559596619333955,0,0,0,0,0
X601658.CH.Equity,0,0,0.11400075202686,0.0563035129694244,0,0,0,3.46944695195361e-18,0.228693641905126,0,0,0,0,0.13280490664415,-6.93889390390723e-18,0,0,0,0,0.0411676174336896,0,0,0,0.122473920274238,0,0,0,0.0615593194103839,0,0,-0.020063690486306,0,0,0,0,0.0249453703911672,0,0,0,0.136409668144308,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.222363088411858,0.0931971089530118,0,0.236848291966745,0,0,0.0165917456769245,0.196541929491959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0515912036042484,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0533034938441405,0,0,0,0,0,0,0,0.0950623161675088,0.0831550757374377,0.0557128034520779,0.21987492248421,0.0349307452652522,0,0,0,0.0664901939664678,0,0.0295708095577181,0.112062426358848,0.0777799675079854,0,0,0,0,0,0,0,0,0,0.083028072120385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.427123924167697,0,0,0,0,0,0,0,0.275214543957355,0,0,0,0,0,0,0.25327628772853,0,0,0,0,0,0,0,0,0.0277365777469203,0,0,0,0,0,0,0.0764237860094165,0,0,0,0,0.185511535276458,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0452889641406418,0,-4.33680868994202e-19,0.0862170388656905,0,0,0,0.222907371579395,-6.93889390390723e-18,0,0,5.6157959508793e-05,0.0937724664799219,0,0,0,0,0,0,0,0,0,0,0,0.339373580929997,-0.101234172091813,0,0,0,0,0.00903574451838743,0,0,0,-0.135386572950276,0,0.21471664605587,0,0,0,0,0,0,0,0,0.0645047191605617,0
