,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0260752882260367,0.228747057728591,0,0,0,0,0.466932913771115,0,-0.0466298885973282,-0.129097887036237,0,-0.240943284491012,0,0,0,0,0,0,0.863868509157845,-0.0967132674766256,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0200913269302814,0,-0.0909275554969927,0,0.00820315968228259,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0695058466975174,0.226700562753528,0.0212815868471801,0,0,0,0,0,0,0.0698292871689043,0.0057713738882324,0,0,0,0,0,0,0,0.245468293977729,0,0,0.0456915270033875,0.20786459488423,0.0100859325455123,0,0,0,0,0,0,0,0,0,0,0,0.0634711102346851,0,0,0,0,0
X601939.CH.EQUITY,0.512408706407236,-0.204659740396461,0,0,0,0,0,-0.065244745472622,0,0,6.93889390390723e-18,0,0,-0.053182128229398,0,0,0,0,0,0.146650981882883,0,0,0,0,-0.142247120800527,0,0,-0.037427891001827,0.711353872554927,0.0736781952418448,0,0,0.0341865774735381,-0.0458089095879044,0,0,0,0,0,0,0,0,-0.0423564902859646,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.243759076349792,0,0,0,0.184581206651579,0,0.555589590152957,0,0,-0.140894468270978,0,0,0,-0.134363784615603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0871791727780932,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0625195066844864,0,0.463948712439121,0,0,0.022570058206431,-4.33680868994202e-19,0,0,0,0,0.0424712807031194,-0.0365793356408289,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.230543825037654,0,0,0,0,0,0,0,0,0,0,0,0.324660102296628,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.283160598125079,0,0,0,0.0215425746612114,0,0,0,0,0,0,0.0424009527959796,0,-0.0396534255931885,0,0,0,0,0,0,0.373423109242546,0,0,0,0.104317462376643,0,0,0,0,0,0,0,-0.124360106521153,0,-0.0486995512043582,0,0,0,0,0,0.0136253854638629,0,0.102030361752358,0
X600036.CH.EQUITY,0.0910109972225355,0.216412751668111,0,0,0,0,0,0,0,0.266959264678684,0,6.93889390390723e-18,0,0.124789802206787,0.155119040154296,0,0,0.114828722741478,0,0,0,0,0.13468386466681,0,0,0,0,0,0,-0.110082400583998,0,0,0.381410966164514,0,-0.0384892636668139,0,0,0,0,0,0,0,0.241877639028921,0,-1.73472347597681e-18,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.442968880059895,0,0,0,0.17922285465503,0,0,-0.0233259994160858,0,0,0,0.145186824184713,0.127767733454011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1540334300878,0,0,0,0,0,0,0,-0.101961629591591,-0.0583502569089237,-0.12036476273471,0,0,0,0.1807062485752
X601628.CH.EQUITY,0,0.283488850106967,0.00961655355520103,0.0415234393378929,-0.114496501554725,0,0,0,0,0,0,0,0,0,0.242914058651986,0,0,0,0,0,0,0,0,0,0.128656195790059,0.0827277860316028,0,0,0,0,0.165760432859893,0,0.0839326120605714,0.0978002957811125,0,0,0,0,-0.0069252176719139,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0396900670017156,0,0,0,0.67788319054919,0,0,0,0,0,0,0,0,0,0,0.0991542175209672,0,0,0,0,0,0,0,0,0,0,0,0,0.0109186819463264,0,0,0,-0.299060347747562,0,0,0,-0.072975837932211,0,-0.0908797923476708,-0.199430390890336,0,0,0,-0.14042583153052,0,0.256898281135073
