,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.1507846672833,0.433612422250524,0.212226762963934,0,0,-0.184273646667544,0,0,0,0,0.12411581794776,0,0,0,0,0,0.00669930843677847,0,-0.0936711211181077,0,0,0.317388427034586,0,0.0574524901830936,0,0,0,0,0,0,0,0,-0.144948810388914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.111964587114748,0,0,0.170475758154774,0,0.18709234089427,0,0,0,0,0,0,0.333759662241949,0,0,0,0,0.136402629060313,0,0.147256407206682,0,0,0,0,-0.0280947023719676,0,0,-0.0311936780085909,0,0,0,0,0,0,0,0,0,0,0,0,0.00281983622180424,0,0,0,0,0,0,0,0,-1.38777878078145e-17
X601288.CH.EQUITY,0.351216339601762,0.246932931044566,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,1.73472347597681e-18,0,0,0.0447279856634033,0,-0.0246557784577749,0,0.166102546033146,0,0,0,0,0,0.0807519562167324,0,0,0,0,0,0,0,0.0235846862441774,0,0,0,0,0,0,0.0520060637294088,0,0,0.0848111566705563,0.0263607033425661
X601988.CH.EQUITY,0.111743600653804,0.114249756204023,0.144792005210357,0,0.0840534885059645,0.190800449267756,0,0,0.343624066253277,0,0,0,0,0,0,-0.0824534892582117,0,0,0,0.165624583466171,0,0,0,-0.218407907966814,0,0,0.0420645540083625,0.0215411319367468,0.120019614536476,0,0,0,0,-0.0164806178396123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0807783255382025,0,0,0.0693087500143116,0.240123196955878,0,0,0,0,0,0.154396769289695,0,0,0,0,0,0,0,0,0.145249881525276,0,0,0,0,0,0,0,0.039090588485261,0,0,0,0.02564644479716,0,0,0,0.0470875590308962,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.168558903894186,0,0.129138809359543,0,0,0,0,0,0,0,0.0929010740699077,0,0.139241795645836,0,0,0,0.378583584537275,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116757350961317,0,0,0,-0.0297328986077168,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.105573555559269,0,0,0,0,0,0,0,0.129406158204384,0.0237386341190007,0.15720648288877,0,0.220108382984819,0,0,0,0.0621310685498754,0,0,0.0934861418539619,0,0.0379327122689053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057371690967757,0,0,0,0
X600036.CH.EQUITY,0,0.382836395662072,0,0,0,0,0.117366012101155,0,0.166144924860931,0,0,0,0,0,0.13459353030878,0,0,-0.0521131604166732,0,0,0,0,0.0231492685225926,0.00743288468270389,0,0.100084669734019,0,0,0,0.0857325675843491,0,0,0,0,0,0,0.189924820331871,0,0,0,0,0,0,0,0.148826897153222,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.119440249730902,8.67361737988404e-19,0,0,0,0,0.3088105961543,0.059468893179682,0,0,0,0,0.349233508591052,0,0,0,0,0,0,0,0,0,0,0.152190796681538,0,-0.0725707647413625,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.161999744528874,-0.172623058702641,0,0,0,0,0,0,0,0,-0.0479223516038772,0
X267.HK.EQUITY,0.0912158334603803,0.151834894024632,-0.0954518108170072,0,0,0,0,0,0.328689573944911,0,0,0,0.190564369926846,0,0,0,0,0,0.218804023162723,0,0.0751836953103806,0.233528949350183,3.46944695195361e-18,-0.148296775138919,-0.0391259498047127,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.0517259813733763,0,-0.169221491659942,0,0,0,0,0,0,0,0,-0.1998689292049,0,0
