,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY,X601901.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.115715545152931,0,0.264076924016838,0,0,0,-0.0408910569112603,0,0,-0.0568538936440617,0.106321172887285,0.217056497097907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163726155807147,0,-0.103484091548225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0881529310590317,0,0.22934434510576
X601318.CH.EQUITY,0,0,0,0,0,0.142303836018268,0,0,0.164912603343416,0,0,0,0.217923911624987,0,0.0615825518644755,0,0,0.114204743444912,0,0,-0.139075893371301,-0.0661901758588417,0,0,0,0.0178465506709275,0.237956612893698,0,0,0.376637637510551,-0.163404156279515,0,0,0,0,0,0,0,0,0,0.27866887074383,0,-0.0507757882641228,0,0,0.0690147400088347,-0.105124681411511,0,0,0
X601939.CH.EQUITY,0.767136935584899,0,0,0.045151488487807,0,0,0,0,0,0,0,0,0.102855770008734,0,0,0,0,0,0,0,0,0,0.0706339564352997,0,0,0,0,0,0.14374071162994,0,0.0295112113559409,0,0,0,0,0,0,0,0,0,0,0,-0.0341075882951376,3.46944695195361e-18,0,0,0,0,0,0
X601288.CH.EQUITY,0.380952574574432,0,0.0345442965458761,0,0,0.304228024930347,0,0,0.0165366100152785,0,0.0586269765497898,0,0,0,0.0314377407724251,0.0747585183016098,0,0,0,0,0,0,-0.034827210789154,0,0,0,-0.0658698678120157,0,0,0,0.196783321390926,0,0,0,0,0,0,0,0,0,0.044616815430289,0,0,0,0,0,1.73472347597681e-18,0,-0.0753857986028475,0.0253371542451594
X5.HK.EQUITY,0.0421889960747558,-0.0462438981211416,0.0767602774273695,0.0444402111472864,0,0.146585645447302,0,-0.340346493614605,0,0,0,0.0942805142645334,0.136166496047263,0,0,0,0,0.664065179424946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0818525591161003,0,0,0,0,0,0,0,0,0,0,0.152117157227448,0.117379417519512,-1.0842021724855e-19,0,0
X601988.CH.EQUITY,0,0.0746887821352488,0.161406975559,0.276637290989192,0,0,0,0,0.135823772862738,0,0,0.114833233306894,0,0,0,0,0,0.254112551655321,0,0.101268021328892,0,0,0,0,0,0,0,0,0.0355682846838797,0.0649695112165885,0,0,0,0,0,0,0,0,0,0,0,0.0785235535460037,0,0,0,0,0,0,0,-0.231149269655519
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.227076389646445,0,0,0.00497575196678775,0,0.104608660188662,0.393443808847592,0,0,0,0,0,0,0,0,0,0,0.080282917284447,0,0.104830250647256,0,0.0997751074734672,0,0,0,0,0,-0.0684205078240829,0,0.0148186267719035,0,0,0,0,0.00975876162930396,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.216055204655543,0,0,0,0,0,0,0,0.0151556872198744,0.189622356352739,0,0.202976972762378,0,0,0.272382910161099,-0.0672271475074135,0.103486530680862,0,0,0.0442531924873704,0,0,0,0,0.0174393224530025,0,0,0,0,0,0.0614750576547606,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.163004365155173,0.210578143275464,0,0,0,0,0,0.0868563434102202,0,0,0,0,0,0,0.0428422301185414,0.0914572910452867,0,-0.186870734348856,0,0,0,0,0,0,0,0,0,0,0,0.0237331278585208,0,0.131907774016039,0,0,0,0,0,0,0,0,0,0.0132662353751825,0,0,0,0.0664598421598142,0,-0.0224212733173241,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.258801982000224,-0.533704499333724,0,0,0,-0.0738370861099696,0,0,0,0.801367128201035,0,0,0,-0.00125096897167014,0,0,0,0,0,-0.150255830627773,6.93889390390723e-18,0,0,0,0,0,-0.210237551685798,-0.100822141964382,0,0,0,0,0.39977543620358,0.139524701167723,0.0203791074083632,0,0.0875206548093341,-0.294444748236979,0.0842889264859395,-0.0257107555348555
