,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X601997.CH.EQUITY,X000166.CH.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X601066.CH.EQUITY,X002958.CH.EQUITY,X002736.CH.EQUITY,X600958.CH.EQUITY,X600928.CH.EQUITY,X000627.CH.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0.303484464731546,0,0,0.0895015925187226,0.0780750233216199,0,0,0,0,0,0,0.0577834798582266,0,0.248530524404201,0,0,0.0540069639164182,0,0,0,0,0,0,0,0,0,0,0,0.160009454087694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0955220027633321,0,0.12418188784133,0.0467347565320855,0,0,-1.38777878078145e-17,0,0,0.248726899171932,0,0,0,-4.33680868994202e-19,0,0,0,0,0.145380707856822,0.0343640684911892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0.267149553629713,0,0,0,0.0884696219022349,0,0,0.000313038451440916,0,0,0.215998621127452,0,0,0,0,0.0865276072204921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0367148308509501,0,0,0,0,0,0.0677940895706895
X601988.CH.EQUITY,0.1053948751779,0.283908722456256,0.235338761765518,0,0,0,0,0,0,0,0,0,0,0.00617694597537177,0,0.0525091743064591,0,0.122152186113921,0,0,0,0,0,0.0559722141466705,0,0,0,0,0,0,0,0.122444527868387,0,-2.16840434497101e-19,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0151905852082424,0,0,0.0363575746806584,0
X5.HK.EQUITY,0.25831487877996,0,-0.11691853875141,0,0,0,0,0,0,0.0909635435663143,0.183988585841596,0,0,0,0.0162170534504299,0,-0.451447482699727,0,0,0.143109561304828,0.0869045604857972,0,0.236384937776569,0,-0.21630539327363,0,0,0.315814986699894,0,0.00596224872225552,0,0.0762762378891152,0,0,0.102968171736139,0,0,0,0.128972315378646,0,0,0.27334610921439,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0.349894763703861,0,0,0,0,0,0,0.0418076547560472,0,0,0,0,0,0,0,0.171812963905893,0,0.310050800981246,0,0,0,0,0,0,0.0683638379338399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.117344214658531,0.108155192590437,0,0,0,0,0,0,0.00556759184327384,0,0,0.0238388106150938,0,0.0144350450253656,0,0,0,0.127427705830296,0,0,6.93889390390723e-18,0.22537053024914,0,0,0,0,0.108179543832992,0,0,0,0,6.93889390390723e-18,0,0,0.048653196297733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.000116149541937229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373596353210713,0.156522181185036,0,0,0.18916546158536,0,0.0345345664460885,0,0,0,0.0413989721990325,0,0.0607983966301998,0,0,0,0,0,0,0,0,0,0.0669951118116507,0.158513326530913,0,0,0.00276369350535742,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.275551630240691,0,0,0,0,0.0318483163685386,0.418850393183252,0,0,0,0,0.146419048814533,0,0,0,0,0,0.0197665853925656,0,0.0888219900244694,0,0,0,0,0,-0.106870399225734,0,0,0,0,0,0,0,0,0,0,0,0.390381626871495,0,0,0,0,0,0,0.113450331311042
X601166.CH.EQUITY,0,0.247531996638649,0,0,0,0,0,0,0.0617602837665495,0,0,0,0.0506591780517718,0,0,0,0,0,0,0.0787234260358113,0,0,0,0,0.00209916391258487,0,0.0683454124061155,0,0,0,0,0,0,0,0.0555024270306026,0,0,0,0,0.152094838668122,0,0,0,0,0,0,-0.000495837306859649,0,0,0
X267.HK.EQUITY,0.335253971246271,0.0953140348274977,-6.93889390390723e-18,0,0.185080215559961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290885660614597,0,0,0,-0.0487684680621914,0,0,0,0,0.0930356820462477,0,0,-0.207268977291474,0,0,0,0,0,0,-0.207379013036118,0,0,-0.137352612833238,0,0,0,0,0,-0.147484581463114,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0.298144780485212,0,0,0,0,0.476446833789568,0,-0.0591637422647176,0,0,0,0,0,0,0.0854227037744105,0,0,0,0,0.0720238712600311,0,0,0,0,0,0,0,0.223430526091502,0,0,0,0,0,0,0,0,0,0,0,0,0.0932608430149048,-0.0750564084111609
X601998.CH.EQUITY,0,0,0,0.0607720117756027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102967888047118,0.485719840033105,0,0.0172699716549547,0,0,0,0,0,0.0422418666466631,0.0519338164251683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0641231202165215,0.217966987531092,0,0,0,0,0,0,0,0.014278186142019,0,0,0.21768057681241,0,0,0.260415236986803,0,0,0,0,0,0,0.0367651646185242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259525205012688,0,0,0,0
