,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,-0.29480714834459,0,-0.145848778593849,0,0,0,0,0,0,0,0,0.743589008794445,0,0,0,0,0,0,0,0,-0.219344589219043,0,0,0,0,0,0.0346994343746204,0.742591082698404,0,0.0689347408719377,0,0,0,0,-0.237695483990718,0,0,0,0,-0.170177394323839,0,0,0,-0.0468402441627189,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0407235357683939,0,0,0.0308383079851021,0,0,0,0.244846472008962,-0.0244680807469056,0.106323132779448,0,0,0,0,0,0,0,0,0,0,0,0.000119123312956784,0,0.413236253181331,0,0,0,0,0,0,0,0,0,0.0760622629056333,0,0,0.039240900065439,0.0329568066495907,0,0,0,0
X601939.CH.EQUITY,0.262613774986186,0,0,0,0,0,0,0.0851760726138486,0,0.0243887851712141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165947436524426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229912940822942,0,0.255107218418384,0,0.0571353444791937,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.27340585894965,0,0,0.0312233686681688,0.0212527982307212,0,0,0.249520010508279,0,0,0,0.0267607736874508,0,0,0,0,0,0.245289027701056,0,0.0483249607565478,0,0.0806671981072102,0,0,0.101382055073158,0,0,0,0,0,-0.059802952293991,0,0,0,-0.0344123136647266,0,0,0,0,0,0,0.0307287240564239,0.0913983042824367
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149153157896973,0,0,0.354067474123484,0,0,0,0,0,0,0,0,0,0.104462339082196,0,0,-0.105022617325216,0,0,0,0,0,0.299182414014142,0,0,0,0.129749419503061,0,0.072574550659958,0.0768996120343143
X601988.CH.EQUITY,0.173607716139651,0,0,0.563279268921294,0.110180441586442,0,0,0,0,0,0.112669781397959,0,0.16600238434517,0,0,0,0,0.0402880098296142,0,0.00845058077703159,0,0.024006033344692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125518041866809,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.421640477908956,0,0.128691016658808,0,0,0,0,0,0,0,0.0485078010698861,0,2.77555756156289e-17,0,0,0,0.0510262984796536,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.205773942141061,0,0,0,0,-0.198813267814763,0.0452500706651092,0,0,0,0.269077812293011,0,-0.155327225466339,0.207904224139684,0,0,0,0,0
X1299.HK.EQUITY,0,0.242582490177381,0.0349529892265507,0,0,0,0,0,0,0,-0.051488959847147,0,0,0,0.311485098552699,-0.190242973369462,0.224107677548426,0.300672766781573,5.42101086242752e-20,0,0,0,0,0,0,0,0,0.00588348035084311,-0.166750071627967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0662854280963375,0,0.0180828750916427,0,0,0,0,0,0,0.0584799564978249,0,0.0283744302725996,0.367424994444776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573172306123094,0,0,0,0,0,0,0,0.13689814450486,0,0,0,0.0837669471927151,0,0,0.0768478490692708,0,0,0
X601328.CH.EQUITY,0,0,0.0360295032617278,0.418355124269884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203771968154625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
