,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X601788.CH.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0885505588970864,0.0460879083157139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497927053720125,-0.148292584547556,0,0,0,0,0.189607225747728,0,-0.286128459153463,0,0,0,0,0,0,0,0,0,0,0,0,0.0740474817045829,-0.173219283682613,0,-1.73472347597681e-18,0,0,0,0.0698326715668844,0
X601318.CH.EQUITY,0,0,0,0,0,0.198002930659213,0,3.46944695195361e-18,0,0,0,0,0,0,0.0302859950862745,0,0,0,0.225551962247657,0,0,0,0,0,0.0857098317246889,0,0,0,0,0,0.339608456670171,0,0,0,0,0,0.0327450689381836,0,0.139040516260973,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.775754682223341,0,0.00720740020940928,0.00248128930772991,0,0,0,0,0,0,0,0,0.00210394477861219,0,0,0,0,0,0,0,0,0,0,0.0105275961613067,0,0,0,0,0,0,0,0,0.0252154655866626,0,0,0,0.0731156832925596,0.0780798989593041,0,0,0,0.0225548908104774,0.0733898735941507,0,0,0,0
X601288.CH.EQUITY,0,0,0.895838663606644,0,-0.0733749816094721,0,0.0335336092071733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020625174801596,0,0,0,0,0,0.102037679274174,0,0,0,0,0,0,0,0,0,-0.027710423468335,-0.0987738097922288,0,0,0.106222200679067,-0.0524491834759636,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.686299239615949,0,0,0.0344548976684161,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183358867737162,0,0.342674681032223,0,0,0,0.0825197397861669,0,0,0,0,0.121060196478557,0,-0.0501505479569324,0,0,0.0841177204819582,0,0.0889453556580717,-0.0996133351088402,-0.0169495198199316,0
X600036.CH.EQUITY,0,0,0.354411262800957,0,0.000113397428766105,0,0,0.036129722535851,0.00872887569609512,0,0,0,0,0,0,0.161567238716318,0,0,0,0,0,0,0.169033989559723,0,0,0,0.244842781582323,0,0,0,0.0094255060102946,0,0,0,0,0.0576493948976298,0,0,0,0,0,0,0,0,0,-0.0105304882898276,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0633128408095296,-0.0840352276785048,0.0194082910862,0,0,0,0,0,-0.148507514635924,0.107209433546327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494151028553009,0,0,0,0,0.861830801011633,0,0.13087698515882,0,0,-0.0434368630903006,0,0,0,0,-0.063220250473651,0.0402132541887759
X1299.HK.EQUITY,0,0.264281615193247,0,0,0,0,0,0,0.166106128174535,0.179782616392319,-0.00969066359586759,0,0,0,0,0,0,0,0,0,-0.0141139300711026,0,0.357083730842399,0.0332207280581872,0,0,0,0,0,0,0,0,-0.136261681411562,0,0,0,0,0,-0.17090408755144,0.0484270239535374,0,0.291294450859706,0.0629400833921415,0,-0.0729912663831881,0,0.339998733253521,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107765472410122,0,0,0,0,0.121780293997299,0.597413423852236,0.110201743519521,0,0,0,0,0,0,-0.00167645215957866,0,-3.46944695195361e-18,-0.230495277250517,0.162122319283678,0,0,0,0,0,0,0,0,0.115994994518296,-0.0142813257500054,0,-0.212126520894159,0,0
X388.HK.EQUITY,0,0,0,0,0.28824950824576,0,0,0,0.305382419709547,0,0,0,0,0,0,0,0,-0.119029745656892,0,0,0,0,0,0,0.194431014492913,-0.0641247018818289,0,0,0,0,0.131130974306383,0,0,0,0.179242703226911,0,0,0,0,0,0,-0.282647639501557,0,0,0,0,0,-0.0688108226546169,0,0
