,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X600926.CH.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X600919.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0,0,0.313936297683662,0.0698393285912493,0,-0.0158706860309847,0.336029280739716,0,0,0,0,0,0,0,0,0,0,-0.0596107483151291,0,-0.0110583629840394,0,0.180914544295222,0,0,0.11701578527566,0,0,0.0592616642392371,0,0,0,0,0,0,0,0,0,0,0,-0.041769262758076,0,0,0,0,0.0150683876961562,0,0,0.0418266632944691,0
X601318.CH.EQUITY,0,0,0,0.136535914474878,0,0.042972099967728,0,0.131857528986347,0.1210611499002,0,0,0,0.296841314715523,0,0,0,0,0.0779628904210635,0,0.0390995558700434,0,0,0,0,0,0.0677563204791066,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.168934923188285,0.00799070826912563,0,0,0,0.0219549790736692,0,0,0.0419390743204732,0.00376782087367014,0,0.193960231918279,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.236283206495716,0,0,0,-0.174903130710463,0,0,0.279346699492729,0,0,0,0,0,0,0,0,0,0.209164864519199,1.38777878078145e-17,0,0.122668617809879,0.00689260832243531,0,0,0,0,0.0493508801864879,0,0,0,0,0,0,0,0.375335822239986,-0.0144645148537155,0,0,0.0262927519849608,0.00498217353084274,0,-0.0948284602566723,0,0.0228403243908058,0
X601939.CH.EQUITY,0.555854816303965,0,0,0,0,0,0,0,0.249857707201067,0,0,0,0,0,0,0,0.0267987383812102,0,0,0,0,0,0,0,0,0,0.0985211252662676,0,0,0,0,0,0,-0.00502655596151483,0,0,0,0,0,0.122469591036756,0,0,0,0,0,0.135596849888559,0.0632069746450785,0,0,-0.00883223023887011
X601288.CH.EQUITY,0,0.0222729950656683,0,0.210667320671988,0,0,0.045110822875454,0.48204239057438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434028036572664,0,0,0,0.0207608844586782,0,0,0,0,0,0,0,0,0,0,0,0.0361338514444446,0,0,0,0,0,0,0.0855042088772158,0,0,0,-0.0466567525567179
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.235997715680517,0,-0.122148039747228,-0.107560864790591,0,0.107678215516213,0,0,0,0,0,0.361631977600083,0,0.0272920103062293,0.0290839375890607,0,0,-0.19547534433344,0,0,0,0,0,0,0.0399688080782209,0,0,0,0,0,0,0,0,0.094098201674817,0,0.176017947094475,-0.0320407704152162,0,0,0,0
X601628.CH.EQUITY,0,0,-0.118746209265333,0,0,0,0,0,0,0.144782108133794,0,0,0,0,0.125459404156478,0.15890246541137,0,0,0,0,0.161089000686111,-0.0172325360324288,0,0,0,0,0,-6.93889390390723e-18,0,-0.0673124935562886,0,0.422037393128721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0490243227565966,0
X601988.CH.EQUITY,0.110765931914704,0,0,0,0.434673889513954,0,0,0,0,0,0,0.111165926965782,-0.0768825473159948,0,-0.0688920343194028,0,0.13782241830582,0,0,0,0,0,0,0,0,0,0,0,-0.0244209458393537,0,0,0,0,0.173335543227964,0,0.132715533454443,0,0.0966858681666486,0,0,0,0,0,0,0,-0.0548936542665311,0,0.0983930770169508,0,0
X5.HK.EQUITY,0,0.362639595421964,0,0.198651877272091,0,0,0,0,0,-0.0921139134760357,0,0,0,0,0,0,0,0,0,0,0.313500399563028,0,0,0,0.171071286044408,0,0,0,0.0232723158796204,0,0,-0.150556110263248,0,0,0,-0.0373610364459259,0,0,0.0123591020970731,-0.13499258450274,0,0,0,-0.0148937595903865,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.105486612465345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0809487436662643,0,-0.139006979392569,0,0,0,0.174241933753656,0,0,0.313512340229405,0,0,0,0,0,0.0616974877915451,0,0,0,-0.275496235833404,-0.0337010290191314,0,0,0.164222129080305,0
