,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X000069.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.713511319498977,0,0,0,0,0,0,0,0.0622508515181395,0,0.0923014549185895,0,0,0,0,0.00090368882843396,0,0,0,0,0,0,0,0,0,-0.0140878449342429,0,0.0634307073641187,0,0,0,0,-0.0256584660346925,0,0,0,0,0,0,0,0,0,0,-0.000147716795431474,0,0,0
X601939.CH.EQUITY,0.206856946175745,0,6.93889390390723e-18,0.35559099195735,0,0.0534056383885219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181379175632611,0,0,0,0,0,0,0,0,0,0,0,0,0.0380921951033391,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0964753821767941,0.00646044900300429
X601318.CH.EQUITY,0,0,0,0.0571091395373802,0,0,0,0,0.00876342962047989,0.0738524009294761,0,0,0,0,0,0,0.221360865136444,0,0,0,0,0.037334997243771,0.127118003769853,0,0,0,0,0,0.109892675326396,0,0.0710564493563995,0,0,0.158831988923962,0,0,0.0938767152186247,0,0,0,0,0,0,0,0,0.0293445796980765,0,0
X601288.CH.EQUITY,0,0.339144460749031,0,0,0,0.0821551719098277,-0.000702933673920633,0,0,0.218145096754181,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.16483922673892,0,0,0,0,0,0,0,0,0,0,0,0.114264694701474,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0359373399351124,-2.16840434497101e-19,0,0.0150676556369851,0,0
X5.HK.EQUITY,0,0,0,0,0,0.251280610649083,0.00999860424686166,0,0,0,0.411211710709534,0,0,0,0.218796411666851,0.256452226134645,-0.0721871869607833,-0.192231359113491,0,0,0,0,0,0,0,0,0,0,0,0.15708622725638,0,0,0,0,0,0,0,0,0,0,0,-0.0527116491694809,0.24701037858995,0.119306448131102,-0.865902858277411,0.202704721012523,0,0
X601988.CH.EQUITY,0.323410489251635,0,0,0,0,0,0,0,0.164998301121256,0,0,0,0.102833440752268,0,0,0,0.0306189690494624,0,0,0.342128972226637,0,0,0,0,0,0,0,0,0.0271500805127224,0,0,0,0,0,0,0,0.0521984566188772,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.185541119819655,0,0,0,0,0.0783619485622818,0,0,0,0.0939464458091965,0,0,0.378421956290293,0,0,-0.0892884970133148,0,0,0,0,0,0,-0.135062173956155,0,0,0,0,0,0,0,0,-0.0432957726708184,0,0,0,0,0,0,0,0,0,0,0.0375089922590637,0,0,0
X600036.CH.EQUITY,0,0,0,0,-0.130641730413641,0,0,0,0,0,0,-0.00383573340068347,0,0.0322702554104983,-0.00137380061765572,0,0,0,0,0,0,0.629994290969874,0.218169601699398,0,0,0,0,0,0,0,0.0994206341246984,0.181570483826258,0,0,0.00553442732390306,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0
X601628.CH.EQUITY,0,0,0.172957420356949,0.0728213847511092,0,0,0,0,0,0,0,0,0,0.056780832534443,0,-0.0324822044341389,0.100876884897431,0,0,0,0,0,0,0,0.298078369397325,-6.93889390390723e-18,0,0.0468057423562218,0,0,0,0.103169377293012,0,0.0935793562213737,0,0,0.0105863301825461,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.13387477302346,0.0392591311573922,0,0,0,0,0.119788793656163,0,0,0.0088643598738367,0,0.114604493907895,-0.0404836350259147,0,0,0,0,0.302741138937036,0,0,0,0,0,0.00753377743233201,0,0,0.0353534163155172,0.228208252516804,0,0.0319454833848734,0.0178162448795323,0,0,0.0300544321573555,0,0,0,0,0,0,0,0,0,0,0,0,0.0279454496609319
X601166.CH.EQUITY,0.12580536972654,0.198421162394659,0.0451816093776283,0,0,-8.67361737988404e-19,0,0.113749110307496,0.0738554376442486,0,0,0,0.140099159715925,0,0,0,0.0297748483043938,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152454823775118,0
X11.HK.EQUITY,0,0,0,0,0,0,0.261261684690619,0,0,0,0,0,0,0,0.234730457181102,0.371361975897876,0.321195828215593,0,0,0,0,0,-0.307559126983253,0,0,0.0894906522854893,0,0,0,0,0.156257268403228,0,0,-0.0469095016687257,0,0,0,0,0.0878799683633961,0,0,0,0,0,0,0.0213264861605023,0,0
X600000.CH.EQUITY,0,0,0,0,0.0787143888684073,0,0,0.235758812982423,0,0,0.186443422494727,0.0310660382014387,0,0,0.109614246387383,0,0,0.0330764376195196,0,0,0,0,0,0,0,0,0,0,0.0875265096440503,0,0,0,0,0.0644605523035433,0,0,0,0,0,0.0329574271464168,0,0,0,0.0419941789436655,0,0,0,0.000263485317983304
X601319.CH.EQUITY,0,0,-0.0620127611262457,0,0,0,-0.342765994612957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263213155148574,0,0,0,0,0,0.619546355821774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101409559352161,0,0.132216117078158,0.227974773819047,0,0.0343295804365092,0,-6.93889390390723e-18
