,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2884.TT.EQUITY,X600926.CH.EQUITY,X600919.CH.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0,0,0.054942051903481,0,0.160163745225329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550313555775989,-0.323760309048399,0,0,0,0,0,0,-0.107309432679892,0,0,0,0,0,0,0,0,0.0919006567781972,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0492133649498758,0,0,0.0796073046434139,0,0,0.0994066710923259,0,0.373325588107161,0.135955248253038,0,0,0,0,0,0,0,0,0,0,0.0750506606947325,0.00770273396090376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343258030955976,0,0
X601939.CH.EQUITY,0,0.070965542847945,0,0.782787262613273,0,0,0,0,0,0.0394632250089502,0.058507702538411,0,-0.0449401887351673,0.00701651598015725,0,0.0713287318588632,0,0,0,0.00277763540901242,0,0,0,0.042471144541142,0,0,0,0,0,0,0.0729448752890476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.801885918863259,0,0,0,-0.0367869356195465,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0606227044762114,0,0.06461173358142,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.181139509750034,-0.0548607257431788,0,0.0467718929367154,-0.0119923169503647,0,0.00409470831413383,0,-0.214056030270296
X601628.CH.EQUITY,0.00338931229820531,0.0259259505371387,0,0,0,0,0,0,-0.0254749836578333,0.248195863730738,0,0.302423975442344,0,0,0,0,0,0.232481646724398,0,0,0,0,0,-0.145181809215252,0,0,0,0,0,0,0.339210498248375,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314875080598234,0,0,0,0,0,0.130833088420647
X600036.CH.EQUITY,0,0,0.0964811727837442,0.278810764144527,0,0,0.0123747662697368,0,0.0544633814037533,0,0,0,0,0,0,0.0508459527001072,0.0856657745670157,0,0,0,0,0,0,0,0.0240571918067035,0,0,0.0283380107464839,0,0,0,0,0,0,0,0.0783780236364543,0,0,0,0,0,0,0.0154547139645134,0,0.173200374071649,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.420441608587556,0,0,0,0,0.0315718809403518,0,0,0,0,0,-0.112891197199327,0,0.301539467938622,0,0,0,0,0.132789467886383,0,0,0,0,0,0,0,0,0,0,0,0.0330249525954793,0,0,0,0,0,-0.0858299877389073,0.230829847824883,0,0,0.170313044984592
X601988.CH.EQUITY,0,0,0,0.0605493001077275,-0.0496167877743286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316339972293595,0,-0.121219885392087,0,0.995325074380046,0,0,0.072849758904951,-0.00664471293062775,0,0,0,-0.0103476792180693,0,0,-0.0178211118558804
X5.HK.EQUITY,0,0,0,0,0,0,-0.121258961774516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529254359737678,0.0464563945574776,0,0,0,0.146932492124632,0,0,0,0,0,0,0,0.23757352071181,0,0.155537079962438,0,-0.259770997996464,0,0,0,0,-0.288659499016509,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.395036906095386,0,0.162211418438186,0,0.215528709262509,0,0,0,0,0,0.113579382284368,0,-0.144824507817296,0,0,0,0,0.289819516426251,0,-0.0709670111177752,0.128460505492819,-0.274007720658981,0,0.334292318392765,0,0,0,0,0,-0.230406434307412,0,0,0,-0.321715419588206,0,0,0,0,0,0.215374509871205,-0.132650108543939,-4.33680868994202e-19,0,0,-0.136396282661183,0
