,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601009.CH.EQUITY,X5880.TT.EQUITY,X2880.TT.EQUITY
X601398.CH.EQUITY,0,0.186297627776811,0,0.337950284204837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787811822561225,0.16560894146079,0.0822049797170007,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.242066413286322,0.0621495862130104,0,0.0541851286689475,0,0,0,0,0,0,0,0,0,0,0,0.23163750460421,0,0,0,0,0.128872424942094,0,0,0,0,0,0,0.215305152021798,0,0,0,0,0,0.139092920382221,0,0,0,0,0
X601939.CH.EQUITY,0.49954560957293,0,0,-1.38777878078145e-17,0,0.00912399789914792,0,0,0,0,0,0,0.18500881944101,0,0,0,0.0141296286666121,0,0,0,0,0,0.113940391481794,0,0,0,0,0,0.0920438722925444,0,0.115741575307932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.410908863564633,0.00322247979845954,0,0,0,0.203046802998359,0,0,0,0,0,0,0,0.0119417334009937,0,0,0,0,0,0,0,0.0217411062162294,0,0,0,0,0,0,0,0,0.213898868627346,0,0,0,0.0139604584852889,0,0,0,0.0573505034770245,0,0,0,0,0,0,0,0.0641783681251379,0,0,0
X5.HK.EQUITY,0.250926421837782,-0.105640279732512,0.0513791788468601,0.351403269879586,0,0,0,-0.215377917843135,0,0,0,0,0,0,0,0.566019941919877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177825425866886,0,0,0,0,-0.115866360797337,0,-0.218085864955179,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0785601225319453,0.123180316219351,0.330079908804931,0.0448756888199006,0,0,0,0.0688376271191245,0,0,0.102309951860053,0,0,0,0,0.145736562349259,0,0,0,0,0,0,0,0,0,0,0.0323800030187408,0,0.0895809301535079,0,0,0.0180861361342502,0,0,0,0,0,0.0840080960188472,0,0,0,0,0,0,0,0,-0.108469117052709,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.180024332441832,0,0,0,0.0233950848906894,0,0,0,0,0.552293953625315,0,0,0,0,0,0,0.0685595518191178,0,0,0.0909627465251809,0,0,0,0,0,0,0,0,0,0,0.020949410017744,-0.00926188333479188,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0343410929827467,0,0.556825379795375,0,0.0430040028159977,0,0,0,0,0,0,0.432850167903382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118772931700779,0,-0.172996594501643,0
X601628.CH.EQUITY,0.130996901644685,0,0,0,0,0,0,0.155665246801441,0,0,0,0.100475477356896,0,0,0,-0.103039177465012,0,0,0,0,0,0.00778379231477033,0,0,0,0.31307358327073,0,0,0,0,0,0,0,0,0,0,0,0,0.18008437562119,0,0,0,0,0,0.0885256967448234,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0.077269146142026,0,0,0,0,0,0,0,-0.105466585806544,0,0,0,0,0,0,0.50690869278509,0,0,0,0,-0.114938896351331,0,0,0,0,0.0899513286334232,-0.832834153306544,0,0.0652517420746635,0,0,0,0,0,-0.527700566705665,0,0,0.142531498426506,0.594165624763168,0,0.236553630367743,0,0.591145647865186,-0.0523578314022951,-0.244904604676613
