,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X2884.TT.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.132233039171907,0,0,0,0,0,0,-0.0506014901568067,0,0,0,0,0,0,0,0.617704817257339,-0.173874912790279,0,0,0.107731728337792,0,0,0,-0.29035274238578,0,0,0,0,0,0,0,0,0,0,0,0,0.167986372616388,0,-0.0632543056817277,0,0,0,0.0838917236655835,6.93889390390723e-18,0
X601318.CH.EQUITY,0,0,0,0,0,0.142941720935418,0,0,0,-0.0353001084843249,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0810916360722625,0,0,0,0,0,0.461971708348471,0,0,0,0,0.0537265614523436,0,0,0.33877590880218,0,0,0,0,0,0,0.00339726622847678,0,0,0
X601939.CH.EQUITY,0,0,0,0.78690558024129,0,0,0.0176750383432696,0,0,0.00987274225376294,0,0,-0.0246780819827891,0,0,0.025951639799454,0,0,0,0.0258711996960518,0,0,0.0355827284909382,0,0,0,0,0,0,0,0,0,0,0,0.019248414838759,0,0,0,0.0449993040259227,0,0,0,0,0.0613215730074091,0,0.0815515276830488,0,0,0,0
X601288.CH.EQUITY,0.0302860842545772,0,0.78793427289809,0,-0.0675393373118575,0,0.172735652070776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.00240533914616648,0,0,0.0935997010589354,0,0,0,0,0,0,-0.0466175354056098,0,0,0,0,0,0,0,0,0.114130024774456,-0.0936551147794574,0,0,0
X601628.CH.EQUITY,-0.0267089083579241,0.0757245198375103,0,0,0,0,0,0.0761058280104546,0,0.0738851095922128,0,0.414404697629458,0.0527403808764331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146949171566683,0.0195474100674032,0,0.315263464094746,0,0,0.288172019506504,0,0,0,0,0,0,0,0,0,0,0,0.127296316040125,-0.0565006683286216,0,0
X600036.CH.EQUITY,0,0.0153243592909188,0.406003565402582,0,0,0,0,0,0.0272209220682378,-0.00537507670006455,0,0,0,0,0,0.104397097238272,0,0,0.000407514329223939,0,0,0,0.200538750425532,0,0.108522704682317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0999357345145721,-0.0599257350726663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0469426020513007,0,0,0,0,0,0,0,0.0500167146925238,0,0,0,0,0,0.923006573622314,0.165234480990076,0.00954769986080101,-0.012907230867406,0,0,0,0.0385722828447982,0,-0.183610047619151,0
X1299.HK.EQUITY,0,0.288310531847647,0,0,0,0,-0.0560490591017391,0,0.213639938951252,0.235302818641328,-0.0175364864087149,0,0,0,0,0,0,0,0,0,-0.0799385758938388,0,0.390841003855502,0,0,0,0,0,0,0,0,0,-0.137962925188855,0,0,-0.0396348757599675,0,0,0.0417933505209417,0,0,0.222637761925528,0,0,-0.11903918187365,0,0.30431972317753,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.003628479088356,0,0,0,0,0,0,0,-0.0405490495437279,0,0,0,0,0.0545035315315898,0.622417263323729,0,0.147947203818914,0,0,0,0,0,0,0,0,-0.228998899958609,0.161131384320606,-0.0757764537429869,0,0,0,0,0.00238114305247343,0,0,0.103800701809025,0,0,0,0,-0.26888693647134
X388.HK.EQUITY,0,0,0,0,0.387838910703914,0,0,0,0.238421417649525,0,-0.409700572344169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108291251586298,0.333999876890381,-0.0195867266178054,0,0,0,0,0,0,0,0.137569269282307,0,0.268834123523322,0,0,0,-0.285715297739409,-0.231346638293622,0,0,0,0.0846059888982668,0,0,0,-0.163661727539744
