Datetime,btc,eth,usdt,xrp,ltc,bch,ada,dot,bnb,link,xlm,usdc,wbtc,bsv,xmr,eos,trx,cel,xem,xtz,snx,okb,theta,neo,vet,cro,dai,atom,aave,leo,dash,busd,mkr,uni,doge,ceth,miota,fil,cdai,zec,ht,cusdc,yfi,etc,sol,ftt,zil,comp,dcr,hbtc,ksm,waves,egld,pax,AVAX,sushi,uma,renbtc,ont,stx,omg,lrc,near,luna,nano,dgb,icx,alink,bat,rsr,tusd,grt,algo,esd,zrx,ren,bcha,nexo,qtum,husd,rune,hbar,nxm,chsb,zen,ampl,btt,aeth,ewt,knc,xvg,ust,qnt,sc,btg,SNT,lsk,band,iost,bal
2020-11-01,13748.08,387.27,1.00,0.24,54.99,261.20,0.09,4.15,28.22,11.18,0.08,1.00,13713.66,164.38,125.10,2.51,0.03,1.40,0.10,1.96,2.84,4.51,0.60,14.71,0.01,0.09,1.01,4.72,29.25,1.27,69.61,1.00,527.56,2.27,0.00,7.77,0.25,31.02,0.02,57.78,4.16,0.02,10288.29,5.20,1.55,3.66,0.02,91.14,12.30,,30.38,3.22,7.35,1.00,3.64,0.60,6.76,13717.75,0.44,0.16,3.09,0.15,0.62,0.30,0.74,0.02,0.33,11.09,0.19,0.01,1.00,,0.25,0.91,0.33,0.27,,0.17,1.96,1.00,0.40,0.03,21.96,0.06,5.55,1.02,0.00,411.92,6.27,0.78,0.00,0.99,14.19,0.00,7.13,0.02,1.02,4.32,0.00,9.66
2020-11-02,13570.75,386.78,1.00,0.24,54.42,259.32,0.10,4.08,28.53,11.21,0.08,1.00,13531.86,162.05,120.70,2.47,0.03,1.40,0.10,1.93,2.71,4.43,0.61,15.30,0.01,0.08,1.01,4.66,30.60,1.26,66.69,1.00,534.96,2.29,0.00,7.73,0.25,29.84,0.02,56.45,3.99,0.02,10499.98,5.08,1.50,3.56,0.02,92.67,12.13,,30.40,3.19,7.49,1.00,3.68,0.59,6.87,13554.04,0.45,0.15,3.04,0.14,0.62,0.30,0.72,0.02,0.33,11.14,0.19,0.01,1.00,,0.25,0.92,0.34,0.27,,0.18,1.98,1.00,0.40,0.03,21.76,0.06,5.53,1.13,0.00,411.92,6.14,0.78,0.00,1.00,13.65,0.00,7.04,0.02,1.01,4.34,0.00,9.41
2020-11-03,13556.52,381.39,1.00,0.24,52.97,241.45,0.09,3.96,26.75,10.38,0.07,1.00,13526.22,151.65,118.72,2.34,0.02,1.39,0.10,1.87,2.52,4.22,0.58,14.66,0.01,0.08,1.01,4.44,28.23,1.25,64.07,1.00,519.06,2.13,0.00,7.63,0.24,28.56,0.02,52.74,3.60,0.02,9648.77,4.82,1.45,3.45,0.02,85.78,11.77,,29.25,3.13,7.31,1.00,3.41,0.52,6.55,13524.67,0.42,0.15,2.89,0.14,0.58,0.28,0.72,0.02,0.32,10.34,0.18,0.01,1.00,,0.23,0.98,0.33,0.25,,0.17,1.84,1.00,0.37,0.03,19.69,0.06,5.46,1.12,0.00,411.92,5.69,0.74,0.00,1.00,12.96,0.00,6.88,0.02,0.98,4.04,0.00,8.85
2020-11-04,13856.83,383.80,1.00,0.24,53.47,238.86,0.09,4.00,26.53,10.27,0.07,1.00,13834.61,151.23,118.80,2.34,0.02,1.45,0.10,1.85,2.53,4.15,0.58,14.24,0.01,0.08,1.01,4.39,27.82,1.25,63.89,1.00,512.89,2.06,0.00,7.69,0.24,28.70,0.02,52.96,3.53,0.02,8870.28,4.80,1.36,3.40,0.02,86.29,12.41,,28.68,3.13,7.17,1.00,3.20,0.51,6.51,13832.62,0.42,0.15,2.86,0.13,0.55,0.28,0.71,0.02,0.31,10.26,0.18,0.01,1.00,,0.23,0.99,0.32,0.25,,0.17,1.83,1.00,0.36,0.03,19.29,0.07,5.38,1.21,0.00,411.92,6.07,0.72,0.00,1.00,12.95,0.00,6.95,0.02,1.00,4.05,0.00,8.73
2020-11-05,14553.51,404.08,1.00,0.24,55.72,244.81,0.10,4.11,27.43,10.51,0.07,1.00,14543.79,153.93,115.82,2.39,0.02,1.63,0.10,1.87,2.73,4.32,0.59,14.27,0.01,0.08,1.01,4.42,27.75,1.26,64.75,1.00,528.23,1.93,0.00,8.09,0.24,28.97,0.02,54.13,3.59,0.02,8557.94,4.89,1.40,3.44,0.02,88.23,13.10,11209.02,29.30,3.26,7.20,1.00,3.19,0.50,6.62,14550.95,0.42,0.15,2.82,0.12,0.60,0.28,0.71,0.02,0.31,10.65,0.19,0.01,1.00,,0.24,0.95,0.32,0.25,,0.18,1.85,1.00,0.41,0.03,19.62,0.07,5.22,1.24,0.00,411.92,6.33,0.72,0.00,1.00,13.58,0.00,7.03,0.02,1.01,4.06,0.00,8.89
2020-11-06,15507.01,437.79,1.00,0.25,61.19,254.54,0.11,4.45,28.78,11.48,0.08,1.00,15500.62,162.94,120.21,2.50,0.03,1.77,0.11,2.02,3.34,4.60,0.66,15.42,0.01,0.08,1.01,4.77,36.15,1.26,69.17,1.00,532.67,2.51,0.00,8.72,0.26,30.34,0.02,57.93,3.72,0.02,9867.20,5.22,1.68,3.56,0.02,95.25,14.35,,32.16,3.50,7.85,1.00,3.48,0.56,7.09,15531.63,0.46,0.17,3.09,0.13,0.72,0.30,0.77,0.02,0.34,11.61,0.20,0.01,1.00,,0.26,0.94,0.36,0.29,,0.18,2.01,1.00,0.48,0.03,20.86,0.08,5.45,1.33,0.00,411.92,6.90,0.80,0.00,1.00,14.64,0.00,7.47,0.02,1.08,4.65,0.00,9.62
2020-11-07,15470.95,458.65,1.00,0.26,63.24,266.87,0.11,4.62,28.99,12.86,0.08,1.00,15480.41,169.87,121.53,2.57,0.03,1.86,0.13,2.12,3.75,4.72,0.69,15.88,0.01,0.08,1.01,4.99,41.14,1.28,70.73,1.00,542.28,2.76,0.00,9.17,0.27,32.10,0.02,60.83,3.83,0.02,14554.42,5.41,2.18,3.59,0.02,103.39,14.92,,33.25,3.62,8.33,1.00,3.69,0.65,7.41,15447.18,0.48,0.17,3.32,0.15,0.74,0.31,0.78,0.02,0.36,12.92,0.20,0.01,1.00,,0.28,0.95,0.38,0.32,,0.17,2.10,1.00,0.52,0.03,22.42,0.09,5.82,1.33,0.00,411.92,8.28,0.84,0.00,1.00,14.41,0.00,7.60,0.02,1.12,5.72,0.01,10.32
2020-11-08,15119.00,442.89,1.00,0.25,59.80,258.27,0.11,4.31,28.16,12.24,0.08,1.00,15089.46,162.63,114.00,2.52,0.03,1.84,0.12,2.09,4.08,4.66,0.65,15.25,0.01,0.07,1.01,4.75,47.69,1.28,67.74,1.00,524.79,2.66,0.00,8.87,0.26,30.49,0.02,58.21,3.76,0.02,14501.91,5.16,2.10,3.49,0.02,95.92,16.53,,32.00,3.48,7.96,1.00,3.50,0.62,7.00,15091.70,0.46,0.18,3.15,0.15,0.73,0.30,0.75,0.02,0.34,12.31,0.19,0.01,1.00,,0.26,0.98,0.36,0.30,,0.17,2.01,1.00,0.52,0.03,21.85,0.08,6.08,1.25,0.00,411.92,7.80,0.80,0.00,1.00,14.07,0.00,7.39,0.02,1.10,5.47,0.00,10.02
2020-11-09,15390.10,450.09,1.00,0.25,60.05,266.26,0.11,4.37,28.27,12.51,0.08,1.00,15385.98,163.35,117.66,2.52,0.03,1.89,0.13,2.09,4.26,4.63,0.64,15.26,0.01,0.07,1.01,4.81,53.60,1.28,67.84,1.00,528.63,2.69,0.00,9.01,0.25,30.87,0.02,59.21,3.75,0.02,14811.16,5.12,2.07,3.53,0.02,96.34,16.34,11209.02,33.24,3.51,8.18,1.00,3.41,0.62,7.10,15352.48,0.47,0.19,3.14,0.16,0.84,0.30,0.76,0.02,0.34,12.62,0.19,0.01,1.00,,0.26,1.00,0.35,0.31,,0.17,2.00,1.00,0.60,0.03,22.18,0.08,6.13,1.24,0.00,411.92,8.08,0.81,0.00,1.00,14.04,0.00,7.47,0.02,1.10,5.79,0.00,10.21
2020-11-10,15304.92,447.80,1.00,0.25,58.48,259.69,0.11,4.38,28.11,12.83,0.08,1.00,15285.72,159.17,116.14,2.50,0.02,1.87,0.13,2.13,4.51,4.65,0.64,15.48,0.01,0.07,1.01,5.09,59.96,1.29,68.78,1.00,533.82,2.86,0.00,8.96,0.25,30.72,0.02,60.83,3.71,0.02,17456.00,5.11,2.16,3.63,0.02,100.17,16.02,11209.02,33.32,3.80,8.27,1.00,3.51,0.62,7.23,15288.71,0.48,0.19,3.18,0.16,0.92,0.31,0.75,0.02,0.35,12.91,0.20,0.02,1.00,,0.27,1.01,0.37,0.33,,0.17,2.00,1.00,0.64,0.03,22.25,0.09,6.28,1.22,0.00,411.92,7.68,0.85,0.00,1.00,14.01,0.00,7.32,0.03,1.13,6.22,0.01,11.25
