,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.289004375717832,0,0.0735555841329165,0,0,0,0,0,0,0.190419337490543,0,0,0,0,0,0,0,0,0.0844225908560419,0,-0.0456076335617408,0,0,6.93889390390723e-18,0.149656647767614,0.104409480176382,0,0,0,0,0,0,0.132316987541125,0.227406616393619,0,0,-0.249944203056298,0.112580837194044,0,0,0,0,0,-0.0767569052182692,0,-0.133517612074533,0,0,-0.129079870540131
X002142.CH.EQUITY,0.209341865043269,0,0,0,0,0.150373345642675,0,0,0.0193151378430484,0,0,0,0,0,0,0,0,0,-0.122641130894446,0,0,0,0,0,0,0,-0.134834784609608,0,0,0,0,0.0893871016001317,0,0,0,0,0,0,0.10984173522014,0,0.0851387858449153,0,0.125425861192674,0,0,0,0,0,0,-0.141153456017759
X600000.CH.EQUITY,0,0,0,0,0.0485434024941193,0.118481149281552,0,0,0,0,0,0,0.425850325112912,0,0.181103847173809,0,0,0.00143542065630883,0,0.102614309287107,0,0,0.0236475989101275,0,0,0.256365553093419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221437545664065,0,-0.0633672929481944,0.0119506874537207,0,0,0.058374280735339
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.262165215881419,0.00928735295572454,0,0,0,0.38294221757325,0,0,0.0140492233551847,0.0104548524046988,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0694126988108349,1.38777878078145e-17,0.103727241628778,0,0,0,0,0,0,0,0.052852688682513,0,0,0,0.0704387384277775,0,0,0
X600016.CH.EQUITY,0,0.0174611549705695,0,0,0,0,0,0,0,0,0.178226710230607,0,0.338746205681915,0,0,0,0,0,0,0,0,0,0,0,0,0.0677633950050751,0,0,0.128204721201845,0,0,0,0,0,0.313832791952603,0,0,0,0.0828917052779149,-0.0304023295458591,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0327956673138727,0.13025030250963,0.399666239567043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589065442618699,0,0,-0.0552688878173065,0,0,0,0,0,0,0,0.0379060715184618,0,0,0.0387028352655253,0.00133319488105487,0,0.157919725856415,0,0.0806439758409465,0.21101711498548,0,0.0530662698053465,0,0.0276513663009922,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.305540454646312,0.0183675088914176,0,0,0,0,0.187612535105517,0,0.0555880432990784,0,0,0,0,0,0,0,0,0,0,0.0112693194938815,0,0,0,0,0,0,0,0,0,0,0,0,0.104160780404073,0,0,0.130538800611237,0,0,0,0,0
X601009.CH.EQUITY,0.119871045685818,0,0,0.443580530670247,0,0,0.119120640667396,0,0,0,0.0585348465284692,0.0529788257531625,0,0.0729777765917812,0,0,0,0,0,0,0.122704611295978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156806086036925,0,0,-0.166090476970778
X601166.CH.EQUITY,0.0427552214387528,0.20060973784979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293150981524646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245377234044404,0,0,0,0,0,0,0,0.0581041319749411,0,0,0,0.187559186503259,0.472720889570502,0,0,0,0,0,0
X601169.CH.EQUITY,-0.0232022191389523,0.070846149114331,0.207069640534075,0.452780540723018,0,0,0,0,0,0,0,0,0.263183620080892,-0.0287396461092929,0.0623443760121755,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0878713855966773,0,0,0,0,0,0,0,0,0,0,0.0060781866903034,0,0,0.0918912428369435,0,0,0,0,0,0,0,0.0759834180276053,0
X601229.CH.EQUITY,0.124897461083368,0,0,0.155952412505585,0.00135198116731524,-0.0163629737935349,0,0,0,0,0,0,0,0.336451688039131,0,0,0,0,0,-0.202325483259195,0,0,0,0,0,0,0,0.159152354531976,-0.139849232241708,0,0,0,0,0,0,0.275842088108265,0.205855164661934,0,0,0,0,0,0,0,0,0,0,-0.0919082955652422,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.201368607247691,0,0,0.551810373406026,0,2.77555756156289e-17,0.158904102161871,0,0,0,0,0,0,0,0,0,0,0,0,0.176457021574315,0,0.0235974045544005,0,0,0,0.0144710283491638,0,0,0,0,0,0,0,0,0,0,0.0283245142552724,0,0,0.0252416185875808
X601328.CH.EQUITY,0,0,0.300347230151214,0,0.0871708243816864,0,0.0944434538789637,0,0.0543077511461535,0.16687279390054,0,0,0,0,0,0,0.0305034779796233,0.186623904065461,0,0,0,0.0605124064110061,0.0878929439246336,0,0,0,0,0,0,0,0,0.0301281964793599,0,0,0,0,0,0,0,0,0.029695045209808,0,0.0178957110386948,0,0,0,-0.0547548952441669,0,-0.119315078273587,0
