,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601236.CH.EQUITY,-0.102330981741349,0,0,0,0,0,0.0088411340008673,0,0,0,0,0.0273202310472113,0,0,0,0,0,0,0,0,0.0210115341737331,0.0894157489417365,-0.0448910485605215,-0.0665623417786141,0,0,0,0,0.0855502099458668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096653963810989,0.011173164848726,0.118449850622687,0.0816995229061739,0,0,-0.00551915225341053
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.067242869103441,0.00587933687288882,0,0,0,-0.133021130066577,0,0,0,0,0,0,0,0,0,0,0,0.195549385262619,0,0.313192457342554,0,0,0,0,0,0,0,0,0.340202513317107,0,0,0.0354987289673834,0,0,0,0,-0.0608684782441367,0,0,-0.0204972332652029
X601881.CH.EQUITY,0,0,0,0,0.0419103137562482,0,-0.00317965832226573,0,0,0,0,0,0,0,0.114917315173078,0,0.182573808152219,0,0,0.0361148818873145,0,0,0,0,0,0,0.154141906426616,0,0,0,0.139522345891718,0.294732992696826,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215388618211371,-0.0624038710241343,0,0
X388.HK.EQUITY,0,-0.0341202276966945,0,0,0,0,-0.0776853420300999,0,0,0,0,0,0.021791267177818,0,0,0,-0.0138960761118032,0.0527027569218587,0,0.345818856278599,0.0281024611597408,0,0,0.11664837750379,0,0,0,0,0,0,0,0,0.0971266336361723,-0.165453731825607,0,0,0,0,0,0,0,0,0.17863727706857,-0.106318882081532,0.377425860209197,0,0,0,0
X601318.CH.EQUITY,0.0686065521916494,0,0,0,0,0.0300036909914765,0,0.0542861118141497,0,0,0,0,0.0174538513261359,0,0,0,0,0,-0.0133713146308095,0,0,0.0663867164061726,0,0.0411839666881424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308041681527456,0.203085651424124,0,0,0,0.113627073187698,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.050505334761779,0,0,0,0,0,0,0.194739442440555,0,0,0,-0.0125315791580739,0,0.0377819269858223,0,0.290939255262033,0,0,0,0,0,0,0,0,0,0,0.0723223469961572,0,0,0,0,0,0.272982213729863,0,0,0,0,0.0585799739135505,0
X601336.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0.156370724042969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272232337732263,0,0,0,0.104357714893578,0,0,0,0,0.277071754784173,0,0,0,0,0,0,0,0,0,0,0.120757983235952,0.0400121222423254,0,0
X601601.CH.EQUITY,0.0304381315613,0,0.0855575510760277,0.174696755165067,0,0.126213905334742,-0.282036847532623,0.0308158242045985,0,0,0,0,0,0,0,0,-0.182900979374166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181018890927653,0,0,0,0,0,0,0,0,0,0,0.518556887280387,0,0,0.0455937612728303,0,0.000818414984849699
X601628.CH.EQUITY,0.107674174411961,0,0,0,0,0,0,0,0.00529035739122193,0,0,0.061414336348466,0,0,0,0.0167918147381838,0,0,0,0,0,0,0,0,0,0,0.0127204650417885,0.0422102866641979,0,0,0.187633540838117,0,0,0,0,0,0,0,0,0.0296125858586024,0,0.064454153473879,0.392579870064805,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0331362737976103,0,0,0,0,-0.0132202802425896,0,0,-0.0348756408893778,0,0,0,0,0,0,0,0.0155516785942059,0.112074557858262,0.533292275453556,-4.33680868994202e-19,0,0,0,0,0.0394984761419716,0.0332561963203973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145994344680871,0,0,0,0,0
X2881.TT.EQUITY,0,0.457553848069599,-0.3231220350424,0,0,0,0,-0.27413137462047,0,0,0.379791839792813,0,0,0,0,0,0,0,0,0,0,-0.0836105270486892,0,0.190627549879216,0,0,0,0,0,0,0.239651040745095,0,0,0,0,0,0,0,0,0,-0.372897526234463,0.0771660160372026,0.208232909135607,0,0,0,0,0.282437900205165,-0.367572614908212
X2882.TT.EQUITY,0,0,0,0,0,0.0673385635791614,0.0198594059654057,0,0,0.0545998059612129,0,0,0,0.053753522092056,-0.153189804316909,0,-0.0255436806295513,0,-0.0500279225692846,0,0.209375479183618,0,0,0,0,0.0329959100379533,0,0,0,0,0,0,0,0,0.192191844307484,0,0,0,0,0,0,0,0,0,0,0.421923041799243,0,0,0.0605117222791355
X267.HK.EQUITY,0,-0.0425280136065377,0,0,0,0,0.0914497695046547,0,0,0,0.0345763636038916,0,0.0685367932989691,0,0,0,0,0,0,0,0,0,0,0,0.21393960531736,0,0,0,0,0,0,0.0290401375672338,0,0.12386851683819,0,0,0,0.250339028117032,0.1534724349749,0,-0.0684899692581356,0,0,0,0.136879299180135,0,0.0131052077792541,0,0.136076146073619
macro_return_add,0,-0.288429856226941,0,0,0,0,0.381926709148329,0,0,0,0,0.0674435945937992,0,0,0,0,0,-0.0556520379156003,0.0121341456625826,0,0,0,-0.0515353627617519,0,0,0.105732533546178,0,0.0607250533284311,0,0,0,0,0,0,0,0.041914794214823,0,0,0.193713025057627,0,0,-0.151770285174391,0,0,0,0,0,0,0
