,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X601818.CH.EQUITY,0,0,0.0925564005312506,0,0.10990013643873,0.220578013648248,0,0,0,0.0415012530999391,0.0688488144672668,0,0.0998911070244139,0,0,0.155585868609547,0,0,0,0,0,0,0,0,-0.107704993172816,0,0,0,0,0,0,0,0,0,0,0,0.0421451435369414,0,0,0,0.161419117373258,0,0,0,0,0,6.93889390390723e-18,0,-0.0380359974255348
X601939.CH.EQUITY,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0955247497343612,-4.33680868994202e-19,0,0.189680829603479,0.0202767718071741,0.488284433354694,0.0376666938447838,0,0.0807783145226491,0,0,0,0,0,0,0,0.0258776638990579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.297073235742812,0,0,0,0,0,0,0,0,0,0,0.291148696114291,0,0,0,0,0.0950237451485269,0,0,0,0,0,0.0261684073616826,0,0,0,0,0,0.0266078948071286,0,0,0,0,0,0,0,0,0.143342964148672,0.221233757787826,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.0759105456248036,0.247516636088727,0,0,0,0,0,0,0.139009657723984,0.236930437202659,0,0,0,0.046603375187775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125830270642982,0,0,0,0,0,0,0,-0.0197658221001386
X11.HK.EQUITY,0,-0.000496384916443201,0,0,0,0,0,0,0,0,0,0,0,0,-0.405057741185168,0,0,0,0,0.256652586848637,0.0434599722583258,0,0.214517381350198,0,0,0,0,0,0,0,0,0,0,0,0,0.0149041438278301,0,0.291984384201774,0,0,0,0.0763920839275053,0,0.0467634426002724,0,0.225508074093364,0,0.261391612319429,0
X2388.HK.EQUITY,0,0,-0.0722026474073495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108441111133168,0,0.166024372089425,0,0,0.0736783186586217,0,0,0,0,0.138593961104572,0,0,0,0,0.0292998468382882,0,0.0364480480925898,0,0,0,0,-1.73472347597681e-18,0,0,0.0455566657072165,0.00111626105059837,0,0,0.0107036282447361,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.199396540640592,0,0,0,0,0.106409427969259,0,0,0,0.469938293722358,0,0,0.231443524821434,0,0.321281385248951,-0.00207269165276128,-0.0994343728090409,0,0,0,0,0,0,0,-0.727678745563613,0,-0.0644819368799329,0.0941346369574813,0,0.186899474144647,-0.126065855087319,0,0,0.0938367312124356,-0.368060537324851,0,0.201229695783953,0,0,0,0,-0.216151340902475
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153352204921628,0.037524760827224,0,0,0,0.455426612086229,0,0,0,0,0,0,0,0,0.0909677130798277,0,0,-0.0383584742861476,0.13404216592056,0,0,0,0.0196479205700217,0,0,0.213798715330694,0,0,0,0
X2886.TT.EQUITY,-0.0141672268779977,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0405713582405203,0,0,0,0,0,0,0.0322851921138287,0,0.165471250816792,0,0,0,0,0,-0.255082622213487,0.106672916682859,0,0,0,0,-0.0846223552062567,0,0,0,-0.104763205745313,0.266091989189237,0.103479825931612,0.0474810218851553,0,0
X2891.TT.EQUITY,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.237078030785547,0,0,-0.0308947047835155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156428372723859,0,-0.142036728631286,0,0,0,0.165964067280546,0.121288841581872,0,0,0,0,0,-0.0984553414217522,0.064445076444516,0.267730215523285,0,0.0624555431593552,0
X2892.TT.EQUITY,0,0.104736735062187,0,0,0,0,0,-1.38777878078145e-17,0.333097924882338,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.102744554679999,0,0,0.280714512846012,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13612888697653,0,0,0,0,0,0,1.73472347597681e-18,0.158719663774001,0,0,0.0628619144757834,0,0.0916237967438716
