,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.232863316071927,0,0.129568840677371,0,0,0,0,0.252017091701207,0.0618505466944126,0,0.132386400896946,0,0,0,0,0,0,0.0959811207554459,0,0,0,-0.0775810214945806,0,0,0,0,0,0,0,0.00234907738821888,0,0,0,0,0.0731085602684964,0,0,0,0,0,0,0,0,0,0.0180411186844496,0.026571332252179,0,0,0,0,0
X601939.CH.EQUITY,0.457672970140093,0,0,0.0182109824896667,0,0,-0.0318891582466193,0,0,0,0.19261974664613,0,0.226727795783739,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085244645749645,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0481442064181158,0,0,0,0,0,0,0,0.25844907149789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204051232043489,0,0,0,0,0,0,0,0.0620227935644613,-6.93889390390723e-18,0.0429541085380557,0,0,0.206542388454345,0,0,0,0,0
X601288.CH.EQUITY,0.472536719687871,0.0317319861994388,0,0,0.171271103133937,0,0,0,0,0,0,0,0.0722081460120093,0,0,0,0,0,0,0,0.0673005081056255,0.0535780673292995,0,0,0,0,0,0,0,0,0.0365792461455172,0,0,0,0,0,0,0,0,0,0,0.0465661090401269,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.342454668473994,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.165343279045601,0,0.0104071301657249,0,0,0,0,0,0,0.387914614591659,0,0,0.0988656111050158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10503820708954,0
X600036.CH.EQUITY,0,0,0.0217004927686636,0,0,0,0,0,0,0,0,0.415787387798557,0,0,0,0,0,0,0,0,0,0,0.0541268768839023,0.125025997639801,0,0,0,0,0,0,0,0,0,0,0,0,0.0850053623497114,0,0,0.0599456293014874,0,0,0,0,0,0,0,0,0,0.26975884155883,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.113917535178264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535725376463684,0,0,0.200474036796035,0,0.0540238558997268,0,0,0.193865248362339,0,0,0,0,0,0,0,0,0.00135893816383665,0,0,0,0.190132764641602,0,0,0,0
X5.HK.EQUITY,0,-0.256043101592183,0,0,0,0,0,0,0,0,0,0,0,-0.0294866068994378,0,0,0,0,0,0,0,0,1.17102927503676,-3.46944695195361e-18,-0.765211618104692,0,0,0.49513515261413,0,0,0,0,0,0,0,0,0,0,0,0,0.402803389915169,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0719674388534628
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0924421915792351,-6.93889390390723e-18,0,0,0,0,0,0.11252407050871,0,0.133988663484038,0.198194327955526,0,0,0,0.180940291839598,0,0,0,0.0533413913049132,0,0,0,0,0,0.0249156021301839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512973928171452,0
X601658.CH.Equity,0,0,0,0.568373628553176,0,0,0,0.00409343623603742,0,0,0,0,0,0,-0.374049176037549,0,0,0,0,0,0,0,0.104633259104714,0.0349292654243453,0,0,0,-0.00928488139466082,0,0.947873049141136,0,0,0,0,0,0,0,0,0,0,-0.113123951456996,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.130291020219406,0,0
X601328.CH.EQUITY,0,0,0,0.230242070530409,0,0,0,0,0,-0.0789281285658299,0,0,0.246911206829413,0.00616839575150522,0,0,0.0419192701411122,0,0,0.191660272239064,0,0,0,0,0,0,0,0,0.0188489442667056,0,0.22121476474065,0,0,0.112589911943672,0,0.0151397398300774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168991448671792
X601166.CH.EQUITY,0,0.0887587925476126,0,0,0,0.276310844833434,0,0,0.0456685019917352,0,0.0416465583740731,0,0,0,0,0,0,0,0.0141941667974662,0.0201712519728686,0,0,0,0,0,0,0,0,0,0,0.198429710033445,0,0,0,0,0,0,0.0274270402566307,0,0.00986582328098134,0,0,0.0148805535000631,0,0,0.186518769684783,0.0671226946399901,0,0,0.048055157025671,0.00690473820891468,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.376114489758204,0,0,0,0,0,0,0,0,0.173874576215606,0,0,0,0,0.0500174058287453,0.122294142393229,0,0,0,0,0,0,0.0522383165478653,0,0,0,0,0,0.00740386340617885,0,0,0.0530720231474647,0,0,0.102681331114945,0.0646753540903504,0,0,0,0,0,-0.0278566360689769
