,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.188566537053736,0,0,0,0.512487278216914,0,1.0842021724855e-19,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,-0.156793440763094,0.491975020344084,0,0,0,0,0,0,0,0,-0.0162426379915108,0.0989585310337971,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0666116423586997,0,0.110233459434054,0,0,0,0,0,-3.46944695195361e-18,0,0.0682970437569886,0,0.0561261819521528,0.00491820605579512,0,0,0,0,0,0.163136066690445,0,0.0482770962570515,0,0,0,0,0,0,0,0.254418546281258,0,0,0,0.131333629113034,0.04929795913358,0,0,0,0.116104455548828,0,0,0,0,0,0
X601939.CH.EQUITY,0.803938037355563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228968076161891,0,0,0.0704894546888103,0,0,0,0,0,3.46944695195361e-18,-0.49535616316015,0.100977705289744,0,-0.0875467058067487,0,0,0,0,-0.218722071157056,0,0,0,0,0,0.717382173167029,0,0,0.0955419511448142,-0.0459056379537136,0,0.0917699422595827,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0487449635530476,0,0.154655566874647,0,0.257973311276288,0,0.0202412878872336,0,0.346199838594453,-0.104606107031409,0,0,0,0,-0.0746769950140899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.15555817119847,0.390484460329119,0,0,0,0,0,0,0,0.175571671288584,0,0,0,0,0,0,0,0.0967027724263043,0,0,0,0.046231313427603,-0.131614792646248,0,0,0,0,0,0,0,0,0.057842445754821,0,0,0.141677630273607,0,0,0,0,0,0,-0.177724933552694,0,0.132564596477688,0,0
X601988.CH.EQUITY,0,0,0,0,0.267782903920976,0,0.00771234066501447,0,0.0794974897635447,0,0.124649584382033,0,0,0,0.165421741305577,0,0,0.109789227864744,0,0,-0.0448524540382077,0,0,0,0.070104170270896,0,0,0,0,0,-0.231348315091765,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191471319766091,0.0985624155067429,0
X1299.HK.EQUITY,0,0,0,6.93889390390723e-18,0.236006113372397,-0.00389261770292517,0,0,0,0,0,0,0,0,0,0.128381885142206,0,0.0829718042795169,0,0,0,0,0,0,0,0.133223015646208,0,0.0548851427633423,-0.0644696392638733,0.0923681510883405,0.0730725768560606,0,0,0,0,0,0.332969333035272,0,0,0,0,0,0,-0.0758138708442437,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0489686210022298,0,0,0,0,0,0,0,0.502538122157535,0,0,0,0,0,0.0195446593409861,0.0894421001420032,0,0,0,0.251925881140144,0,0,0,0,0,0,0,0.167073685712317,0,0,0,-0.239407658337727,0,0,0,0,-0.183525342704218,-0.0105562906146649,-0.0324939266591559,0,0,0,0.190726797215993,0,0,-0.0206083658931996,0,0,0.0561857032866773,0
X601628.CH.EQUITY,0,0.236999616788173,0,0.0587581183128418,-0.0511231261709514,0,0,0,0,0,0,0,0,0,0,0,0.143806323946579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146074110410377,0.136223030343157,0,0,0,0,0,0.151115092136676,0,0.11607095331363,0.107546752984735,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.70296346065271,0,0,0,0,0,0,0,0,0,0,0,0,0.132839697970576,0,0,0,0,0,0.0351140650049095,0,0,0,0,0,0,0,0,0,0,0,-0.00871009602246266,0,0,0.020405852941691,0,0.00342751732228138,0,0,-0.183233837079391,0,0,0.0476248207876158,0
X601166.CH.EQUITY,0.135082163204477,0,0,0.23147984498964,0,0,0,0.100909792129237,0.0396966407824058,0,0,0,0,0.255924493306661,0,0,0,0,0.02316815976434,0.00689710669374759,0,0,0,0,0.0536834601588558,0,0,-0.0224343144995238,0,0,0,0,0,0.14057900687062,0,0,0,0,-0.166358132576285,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,-0.0302856426378986,0,0,0,0,0,0,-0.00331836310414458,0,0,0,0,0,0,0,0,-0.164084768128056,0,0,0,0,0,0,0,-0.123255263016131,0,0,0,0,0,0,0.0386109008315983,0,0.415173211144789,0,0,0,0,0,0,0.294546402993232,0,0,0,0.25002246909677,0,-0.00126561823449749,-0.091178600763534,0
X16.HK.EQUITY,0,0,-0.0394654561956265,0,0,-0.0925789189582251,0,0.035132469177021,0,0.0687570709000815,0,0,0,0,0,0.26112376752581,-0.396511946246062,0,-0.0409535566888438,0.0652456440639623,0,0,0,0,0,0,0,0,0,0.470051074671641,0.122413426313394,0,-0.0513215749356573,0.0948831558699144,0.03053945186578,0,0.514978729956865,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108011806810487
X600000.CH.EQUITY,0,0,0.0889393230238106,0,0,0,0,0,0,0.171485603253103,0.434903081269076,0,0,0,0,0,0.125859833425273,0,0,0.0596765490588791,0.0739644653017965,0,0,0,0,0,0.288116073186284,0,0,0,0,0,-0.06760813592005,0,-0.092596599645165,0,0,-0.22817599561943,0,0,0,0,-1.38777878078145e-17,0,-0.0217424397907091,0,-0.043066172361125,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734710705325653,0.440544204609312,0.0131088067827995,0,0,0,0,-0.0213996139263727,0.205790002510629,0,0,0.166496441462057,0.0227543059948386,0,0,0,0,0.122525055778825,-0.0146216767101551
