,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.152701568528942,0,0,0.00386524153062395,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994285487878223,0.358695751713337,0.0892289989295495,0,0,0,0,-0.111933995863306,0,0,0,0.190908715090806,-0.205998795067485,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170014672031405,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0789637464058978,0.0168105016170553,0.0606594659176853,0,0,0,0,0,0,0,0,0,0,0,0,0.299743396995598,0,0,0,0,0,0,0,0,0,0,0.150521051936486,0,0,0,0,0,0,0,0,0.317517062115042,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.877993023430237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610347400214407,0,0,0,0.0264818836767439,0,0,0,0,-0.105899625728306,0,0.092357464490298,0,0,0,0,0,0,-0.0166832250656866,0,0,0,0.0525966029121029,0,-0.0651491753836131,0,0,0.0455764637270395,0,0,0,0.0687059662120633,0
X601288.CH.EQUITY,0,0,0.75931308760926,0,0.00482928010527885,-0.022824185550931,0,0,0,0,0,-0.0286894169931041,0,0.309932012056593,0,0,0,0.113036120222557,-0.0036199695030944,0,0,0,0,0,-0.111847850209356,0,0,0,0,0,0,0,0,0,-0.0871164594407148,0,-0.103824740151895,0,0,0,0,-0.0441405461050692,0,0,0,0,0,0,0,0,-0.0225257655140166,-0.0170404103226711
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.653115354968,0,0.296332568283398,0,0,0.112445292418027,0,0,0,0,0.0103188042751566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0834998192653515,0,0,0,0,0,0,0,0.049601557950186,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0419006394712184,1.73472347597681e-18,0,0,0,0.294224673855224,-3.46944695195361e-18,0,-0.0541148186760892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196966926262327,0,0.127968160706694,0.0589548176986293,0,0,0,0,0.0639681853795007,0.102332430975722,0.0811864741252724,-6.93889390390723e-18,0
X600036.CH.EQUITY,0,0,0.280575713160368,0.164947226214821,0,0,0,0.0805381256812412,0.0608863707841613,-0.0712894485025279,0,0,0,0,0.109086852076751,0,0,0,0,0.0303618564455821,0,0,0,0,0,0,0.0189663447774914,0,0,-0.00620789389093832,0,0,-0.0136167798051083,0.246473627727565,0,0,0,0.0551843475552711,0,0,0,-0.0997878281438822,0,0,0,0,0,0.0552234878142147,0,0,0.0864557765294844,0
X1299.HK.EQUITY,0,0,0,0,0,0.0857381643540755,0,0,0,0,0,0,0,0,0,0,0.0348764555471031,0,0,0,0,0.183295751226359,0,-0.0613341068375113,0,0,0,0,0.165333963169185,0,0,0,0,0,0,0,0,0.0382985554240707,0.0229881699427379,0,0,0.175753855865385,0.116693385196278,0,0,0,0,0.443767253742841,0,0,0.0840033531361203,0
X5.HK.EQUITY,0,0,0,0,0,-0.251697016675226,0,0,0,0,0,0,0,0,0,0,-0.108904528908401,0,0,0.163499171056079,0,-0.0733123032739695,0,0,0,0.808758800076121,-0.287611639959652,0,0,0,0.691763907608874,0,0,0,0,0,0.164170075953747,-0.145263760055772,0,-0.0936590534601842,0,0,0,0,0.0907264978519248,0,0,0,0.221821972678881,0,0.258433162515989,0
X388.HK.EQUITY,0,0.130993001375372,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.0850291464802534,0,0,0,0,0,0,0,0.323427035091525,0,0,0,0.15707290742398,0,0,0,0,0,0,0,0,0,0.111125373467177,0,0,0,0,0,0,-0.0676731513092808,-0.149761309324594,0,0,0,0,0,0,0
